ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
TISI,-0.0677887955902458,33,1,4,0.4,0.15
TITN,-0.16164517640950543,17,1,7,0.7,0.2522
TJGC,-0.010862868994175087,57,1,1,0.75,
TJX,-0.10391832538592866,26,1,11,0.55,0.1888
TK,-0.13652417104119696,20,1,11,0.65,0.1966
TKC,-0.10144560709546546,26,1,9,0.5,0.2777
TKLF,0.07106114450857778,78,0,0,0.5,0.3996
TKNO,0.36102220847052713,95,0,0,0.15,0.0999
TKO,-0.106012689136979,26,1,8,0.65,0.2528
TKR,0.06482474483699616,77,1,4,0.2,0.0726
TLF,-0.02415031650101469,52,0,0,0.5,0.1415
TLIH,0.29446951279645855,94,0,0,0.0,
TLK,-0.10853713737328999,25,1,68,1.0,0.4106
TLN,0.0400320437739219,72,1,8,0.5,0.1603
TLNC,-0.032136723015890635,48,1,2,0.6,0.1536
TLNCU,-0.03282156999736354,48,1,2,0.45,0.1497
TLPH,0.6934570325498678,98,0,0,0.0,0.0
TLRY,-0.24644443613752287,9,1,54,1.0,0.5939
TLS,0.07771047219103742,79,0,0,0.4,0.2335
TLSA,-0.11106667123770916,25,1,1,0.65,0.3504
TLSI,0.0519188955663554,75,1,4,0.2,0.386
TLX,0.08824437516080036,81,0,0,0.2,0.1016
TLYS,-0.19929207828101037,13,1,17,0.85,0.2843
TM,-0.09262652593266464,28,1,2,0.85,0.3616
TMC,-0.21171107067179754,12,1,24,1.0,0.595
TMCI,0.7446231266271889,98,0,0,0.0,0.0769
TMDE,-0.20927430354417614,12,1,1,0.7,
TMDX,-0.11909330493645685,23,1,10,0.6,0.5686
TME,-0.0749364892896219,32,0,0,0.8,0.5292
TMHC,0.05515574357580062,75,1,1,0.05,0.0627
TMO,0.04117353459647059,72,0,0,0.3,0.2505
TMP,0.002823309340407046,61,1,3,0.15,0.0622
TMQ,-0.23913870417648067,10,1,25,1.0,0.5704
TMS,-0.31770462730150384,6,1,10,0.7,0.4077
TMUS,-0.03801339403436027,44,0,0,0.7,0.2638
TNC,-0.03159774571503754,48,1,9,0.45,0.0937
TNDM,-0.1511628532021069,18,1,9,0.95,0.5097
TNET,0.24104616223121195,92,0,0,0.1,0.1961
TNGX,0.15300619228621218,88,0,0,0.05,
TNK,-0.07809146642866298,31,0,0,0.5,0.1803
TNL,0.013467312072098413,64,1,3,0.15,0.1277
TNMG,-0.49256844007360123,2,1,6,0.85,
TNON,-0.7069724458975931,1,1,40,1.0,
TNXP,-0.03770915154990787,45,1,1,0.35,0.4016
TNYA,0.06486378432870007,77,0,0,0.65,0.1884
TOI,0.37033068249180484,95,0,0,0.0,0.0
