ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.04483458507520711,73,1,2,0.35
AA,-0.07013393875006321,34,1,6,0.35
AACB,-0.029514205851921792,50,0,0,0.65
AACBU,-0.028221183157820295,51,1,6,0.7
AACG,-0.11486326700165464,25,1,16,0.9
AAL,0.23207040464333797,91,0,0,0.1
AAME,-0.29892166658753844,6,1,33,1.0
AAMI,0.26040471445435204,91,0,0,0.0
AAOI,0.11988489597701674,83,1,2,0.4
AAON,0.22473327984507743,90,0,0,0.3
AAP,0.07450941349833345,78,0,0,0.15
AAPG,-0.2496073110521886,9,1,42,1.0
AAPL,0.02347495747686195,68,1,7,0.35
AARD,-0.22549221747290052,10,1,23,1.0
AAT,0.13999506672573625,85,0,0,0.0
AAUC,-0.17430122082229907,16,1,1,0.95
AB,-0.08674533959411805,30,1,5,0.95
ABAT,-0.04252981922913972,42,1,4,0.5
ABBV,0.021614449794980346,68,0,0,0.2
ABCB,0.010681155646778608,65,0,0,0.55
ABCL,0.3306762076133888,93,0,0,0.25
ABEO,0.04336083330607101,73,0,0,0.55
ABEV,-0.008482801034088584,59,1,2,0.6
ABG,-0.029476952827503813,50,1,1,0.6
ABLV,0.2870035309040354,92,0,0,0.0
ABM,0.05912153479879024,75,0,0,0.55
ABNB,-0.0038003372134190402,61,0,0,0.8
ABOS,-0.12971709292499667,22,1,3,0.75
ABR,-0.27167201427598686,7,1,29,1.0
ABSI,0.7905162705274408,98,0,0,0.05
ABT,-0.09746698025445033,28,1,1,0.65
ABTC,-0.27179231463022435,7,1,29,1.0
ABTS,-0.1169069882880564,24,1,8,0.75
ABUS,-0.01803000777879199,56,0,0,0.65
ABVC,0.12831229526948143,84,0,0,0.2
ABVX,-0.18666136608759173,14,1,12,0.65
ABX,-0.006698083666136757,60,0,0,0.6
ACA,0.11120967968569459,83,0,0,0.5
ACAD,-0.012366809457513016,58,0,0,0.75
ACB,-0.18599105641721356,14,1,12,0.8
ACCL,0.17529172118992203,88,0,0,0.4
