ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.20084435095386044,89,0,0,0.05
AA,-0.028343314900297914,46,0,0,0.6
AACB,-0.02672473107757301,47,1,13,0.65
AACBU,-0.02631248240876152,47,1,13,0.65
AACG,-0.049951366210041176,35,0,0,0.75
AACIU,-0.036492138781232045,40,1,13,0.65
AACOU,-0.0272325611416703,46,1,13,0.65
AAL,-0.08960015224658191,26,1,10,0.8
AAME,-0.2432969601251806,9,1,76,1.0
AAMI,0.10860576594504077,80,0,0,0.0
AAOI,-0.15161384540149697,17,1,1,0.45
AAON,-0.34744144789310755,5,1,38,1.0
AAP,0.00011865078391679051,58,1,1,0.65
AAPG,-0.10048114032905407,24,1,3,0.6
AAPL,-0.017898662474331365,52,0,0,0.65
AARD,0.34626791754962954,94,0,0,0.25
AAT,-0.0883624614222754,26,1,19,0.95
AAUC,-0.04090314212259907,38,0,0,0.6
AB,-0.04458720965683785,37,1,15,0.75
ABAT,-0.14344316063022094,18,1,5,0.8
ABBV,0.10805791159155674,80,0,0,0.6
ABCB,-0.06275245519162503,31,1,14,0.85
ABCL,1.2174637287693049,98,0,0,0.5
ABEO,-0.005479665184421865,56,1,5,0.55
ABEV,-0.12155140120997439,21,1,13,0.7
ABG,-0.022597372813329346,50,1,12,0.6
ABLV,-0.1415799488458106,18,0,0,0.9
ABM,0.02104730122746515,64,1,9,0.45
ABNB,0.29058163022203165,93,0,0,0.15
ABOS,0.36022851806240286,94,0,0,0.55
ABR,-0.005517811055949156,56,0,0,0.65
ABSI,0.4005638539692073,95,0,0,0.6
ABT,0.19158949114232288,88,0,0,0.0
ABTC,-0.13336203112634148,19,0,0,0.6
ABTS,0.053069231018545104,71,0,0,0.45
ABUS,0.06709289346575488,74,0,0,0.75
ABVC,-0.24972051705540899,8,1,27,1.0
ABVX,-0.006682105123154515,56,1,8,0.8
ABX,-0.11370300379433378,22,1,15,0.95
ACA,0.03781171357386004,68,1,13,0.65
ACAAU,-0.033515549635049824,42,1,12,0.6
ACAD,0.272161046006471,92,0,0,0.05
ACB,0.33686574507866407,94,0,0,0.3
ACCL,0.6250043362591196,97,0,0,0.0
ACCO,0.033322414522382576,67,0,0,0.2
ACCS,-0.2858277874863103,7,1,14,0.85
ACDC,-0.21288970623757897,11,1,1,0.65
ACEL,-0.07276132595598717,29,1,14,0.9
ACET,0.1209599456303057,82,0,0,0.55
ACFN,0.03853198444906136,68,0,0,0.45
ACGL,-0.017971104797642648,52,1,14,0.7
ACGLN,-0.03234916872299766,43,1,13,0.65
ACGLO,-0.04371046072511027,37,1,13,0.65
ACH,-0.6231536311778394,1,1,12,0.85
ACHC,-0.09603843717373942,25,1,10,0.7
ACHR,0.14344383682911604,84,0,0,0.35
ACHV,0.43419177938812614,96,0,0,0.0
ACI,-0.23112832066446415,10,1,20,1.0
ACIC,-0.1284464713084945,20,1,12,0.8
ACIU,0.07377559507946815,75,0,0,0.6
ACIW,0.012288238620904703,61,1,10,0.55
ACLS,-0.2249546190018344,10,1,2,0.85
ACM,-0.10245436464260288,24,1,8,0.5
ACMR,-0.07172524639887339,30,1,1,0.85
ACN,0.2613941179533591,92,0,0,0.05
ACNB,0.05768862474688838,72,1,1,0.1
ACNT,0.022422213372939412,64,0,0,0.55
ACOG,0.22902801212696172,90,0,0,0.1
ACON,-0.06209413282870585,32,0,0,0.85
ACP,-0.03355439993704454,42,0,0,0.85
ACR,-0.20290971317883466,12,1,14,0.8
ACRE,-0.023278138681601515,50,0,0,0.35
ACRS,0.2791764068456141,92,0,0,0.15
ACRV,0.40527265070585156,95,0,0,0.5
ACT,0.09831269416075174,79,0,0,0.1
ACTG,-0.03878746801244368,39,1,1,0.55
ACTU,-0.4120862813780701,3,1,24,1.0
ACU,0.3119282845725494,93,0,0,0.0
ACV,-0.04369136240466683,37,1,20,1.0
ACVA,0.03617195732892263,67,1,3,0.45
ACXP,-0.1256272039169656,20,1,2,0.8
AD,-0.08628219319169861,27,1,14,0.95
ADAC,-0.02421108119463216,49,1,13,0.65
ADACU,-0.03370566195877855,41,1,12,0.6
ADAG,0.10709357786158845,80,0,0,0.55
ADAM,0.09374107663795268,78,0,0,0.3
ADAML,0.0017241141692077439,58,0,0,0.6
ADAMM,-0.012015462217648244,54,0,0,0.55
ADAMN,0.01945562581457151,63,0,0,0.45
ADAMZ,-0.017144377989492646,53,0,0,0.65
ADBE,0.19926030913088183,88,0,0,0.1
ADC,-0.06238795461418438,31,1,15,0.75
ADCT,-0.27109307721454073,7,1,5,0.95
ADEA,-0.07297689139927915,29,1,2,0.7
ADGM,-0.022776936554389032,50,1,1,0.45
ADI,-0.10707784203959007,23,1,2,0.85
ADIL,1.4504526514578373,98,0,0,0.0
ADM,-0.044027586324432884,37,1,1,0.75
ADMA,0.1285286061511714,82,0,0,0.4
ADNT,-0.12470368552900596,20,1,12,0.65
ADP,0.14505842357472576,84,0,0,0.05
ADPT,0.3644687605155567,94,0,0,0.0
ADSE,-0.01830419439479443,52,1,13,0.65
ADSK,0.14032519464586934,84,0,0,0.05
ADT,0.03690746270569539,68,0,0,0.2
ADTN,-0.41932626627808384,3,1,50,1.0
ADUR,0.032263511557874186,66,0,0,0.35
ADUS,0.13365891339108726,83,0,0,0.15
ADV,-0.13625165050729626,19,1,11,0.8
ADVB,0.42567143241924416,96,1,1,0.55
ADX,-0.0003022807136322525,58,1,5,0.65
ADXN,-0.1411750656512637,18,1,13,0.95
AEAQ,-0.02391328844078833,49,1,12,0.6
AEAQU,-0.0065275645974086915,56,1,12,0.6
AEBI,-0.034630544318964486,41,1,4,0.5
AEC,-0.11955035451278642,21,0,0,0.7
AEE,-0.04988243699660043,35,1,15,0.8
