ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.12127296063466711,87,0,0,0.25
AA,-0.2666401401156439,10,1,31,1.0
AACB,-0.005900545833546457,51,0,0,0.7
AACBU,-0.003965828787549287,53,0,0,0.75
AACG,-0.17504290056883168,16,1,16,0.95
AAL,-0.03646417831532365,38,1,10,0.5
AAME,-0.21545663048253821,13,1,58,1.0
AAMI,0.144881497952394,90,0,0,0.25
AAOI,-0.3593967897879025,6,1,27,1.0
AAON,-0.1838433976161015,15,1,20,1.0
AAP,-0.044407585580553376,36,0,0,0.7
AAPG,-0.050763252840343484,34,1,1,0.3
AAPL,0.12437029670706881,87,0,0,0.2
AARD,0.27901134543927075,96,0,0,0.0
AAT,0.05048407805724551,72,1,3,0.15
AAUC,-0.19759047432791518,14,1,26,1.0
AB,0.008034148038648534,59,0,0,0.35
ABAT,-0.2632326106061171,10,1,29,1.0
ABBV,0.16819151057233442,91,0,0,0.0
ABCB,0.00036922306520973183,55,1,1,0.15
ABCL,-0.0022215070337880255,54,1,11,0.55
ABEO,0.08001051153728156,79,1,3,0.15
ABEV,-0.02581831150952417,41,1,1,0.7
ABG,0.11769681942575952,86,0,0,0.05
ABLV,-0.06613595038455261,31,1,13,0.7
ABM,0.1234404342920278,87,0,0,0.0
ABNB,-0.0037666264644086195,53,1,4,0.2
ABOS,-0.1359171122675947,21,1,9,0.45
ABR,-0.12024313886185345,23,1,5,0.9
ABSI,0.1896600500698752,93,1,8,0.4
ABT,0.1431337522528884,89,0,0,0.2
ABTC,-0.5901862647053013,1,1,54,1.0
ABTS,0.06306580332229456,75,1,1,0.8
ABUS,-0.01187033202009187,47,1,6,0.45
ABVC,-0.07437159832187853,30,1,12,0.6
ABVX,0.19989918415656543,93,1,1,0.15
ABX,0.11685234705085859,86,1,7,0.35
ACA,0.09311154311365272,82,0,0,0.0
ACAD,0.0984597629941257,83,0,0,0.0
ACB,-0.14504910994365436,19,1,37,1.0
ACCL,0.3507842309437544,97,0,0,0.0
ACCO,0.056604658208686494,73,0,0,0.4
ACCS,-0.050708068493830305,34,1,6,0.35
ACDC,-0.31829785261190774,7,1,28,1.0
ACEL,-0.04416773490557801,36,1,9,0.85
ACET,-0.0601857097136729,32,1,1,0.3
ACFN,0.18103630845717603,92,0,0,0.15
ACGL,0.06615211738795368,76,0,0,0.1
ACGLN,-0.003127989813448074,53,0,0,0.5
ACGLO,0.002731887190654477,56,0,0,0.5
ACH,-0.0006963692890532228,55,1,3,0.3
ACHC,0.3793033289239071,97,0,0,0.0
ACHR,-0.14847320606246397,19,1,1,0.75
ACHV,0.24855108420210534,95,0,0,0.05
ACI,-0.2735154121064371,9,1,3,0.65
ACIC,-0.08393212505213157,28,1,9,0.5
ACIU,-0.18554785684233358,15,1,11,0.7
ACIW,0.2580754712405689,95,0,0,0.0
ACLS,-0.16602818458978982,17,1,16,0.8
ACM,-0.0323586659556169,39,0,0,0.85
ACMR,0.06109348179562731,75,1,3,0.65
ACN,-0.019317749523833805,43,0,0,0.8
ACNB,0.11918899536171632,87,0,0,0.0
ACNT,0.035828153927444616,68,0,0,0.0
ACOG,0.22500075923965904,94,0,0,0.0
ACON,-0.19484801993436335,14,1,15,0.95
ACP,-0.005285912624390545,52,1,1,0.55
ACR,-0.06219449968000409,32,0,0,0.85
ACRE,-0.008448070890752835,49,0,0,0.6
ACRS,0.11185465949455217,85,1,1,0.05
ACRV,-0.0736633053725046,30,1,7,0.35
ACT,0.06161276744885106,75,0,0,0.1
ACTG,-0.02238301926880251,42,0,0,0.65
ACTU,-0.46650417019052004,3,1,7,0.9
ACU,0.20186429430326855,93,0,0,0.15
ACV,-0.010570635349953186,47,1,2,0.5
ACVA,0.26214615681700976,95,0,0,0.05
ACXP,-0.17055801609438068,17,1,7,0.8
AD,-0.08777868394356764,27,1,28,1.0
ADACU,-0.00013584990765319778,55,0,0,0.7
ADAG,-0.20749476883505802,13,1,15,0.75
ADAM,-0.01855368922842624,44,1,6,0.6
ADAML,0.011909285934370493,61,0,0,0.15
ADAMM,0.0040481712194282305,57,0,0,0.35
ADAMN,0.007854491430708831,59,1,1,0.25
ADAMZ,0.024207615504792675,64,0,0,0.15
ADBE,0.025814148406022815,65,0,0,0.4
ADC,0.059820418246814465,74,0,0,0.0
ADCT,-0.3138545106122981,7,1,5,0.95
ADEA,-0.11650004828622482,23,1,16,0.8
ADGM,-0.3933756974909796,5,1,62,1.0
ADI,-0.09469830904848545,26,1,20,1.0
ADIL,0.3067673124856027,96,0,0,0.1
ADM,0.1406074046708982,89,0,0,0.3
ADMA,-0.08543072454140335,28,1,4,0.5
ADNT,-0.03600703459601389,38,0,0,0.8
ADP,0.14703408762977802,90,0,0,0.0
ADPT,0.3682880040479589,97,0,0,0.0
ADSE,0.028129413981138912,66,0,0,0.1
ADSK,-0.024649338040126357,41,0,0,0.6
ADT,0.027921900487125867,66,0,0,0.35
ADTN,-0.35203554487564404,6,1,34,1.0
ADUR,-0.06701692242086332,31,1,8,0.4
ADUS,0.1916092126511862,93,0,0,0.0
ADV,-0.11206847330928277,24,1,9,0.75
ADVB,3.0108357943637793,99,0,0,0.15
ADX,0.03692453704639999,68,0,0,0.0
ADXN,-0.07048589458979332,30,1,7,0.9
AEAQ,-0.007775274013794509,49,0,0,0.75
AEAQU,0.02006590469530841,63,0,0,0.65
AEBI,0.04916510891965143,72,0,0,0.45
AEC,-0.018759294137146647,43,0,0,0.55
AEE,0.004334888759714248,57,0,0,0.45
AEF,-0.06876744741667695,31,1,17,0.9
AEG,0.09986390053682995,83,0,0,0.0
AEHL,-0.4461112665449014,3,1,44,1.0
AEHR,-0.2094724885048242,13,1,1,0.8
AEI,-0.251994587561119,11,1,16,0.85
AEIS,-0.14868445662727872,19,1,1,0.75
AEM,-0.14386415026389807,20,1,25,1.0
AEMD,-0.6427369984694857,1,1,37,1.0
AENT,-0.028978968327167905,40,0,0,0.3
AEO,-0.04897296610594429,35,0,0,0.55
AEON,-0.6928045088014049,1,1,18,0.9
AEP,0.0022041090935033363,56,0,0,0.45
AER,0.04602736975734372,71,0,0,0.2
AERO,-0.10662029150628125,24,1,15,0.75
AERT,0.056760896164826845,73,1,2,0.5
AES,0.00484447831873832,58,0,0,0.55
AESI,-0.2947776934325077,8,1,19,0.95
AEVA,-0.27289490267563027,9,1,16,0.85
AEXA,0.019779547776410784,63,0,0,0.2
AEYE,-0.14964023835001683,19,1,6,0.5
AFB,-0.030857873496047617,39,1,4,0.7
AFBI,0.007835136760547444,59,0,0,0.6
AFCG,-0.20436039281266588,14,1,29,1.0
AFG,0.0484765822425513,71,0,0,0.05
AFJK,-0.665159391875597,1,1,31,1.0
AFJKU,-0.6662420830705142,1,1,36,1.0
AFL,0.06128330773034656,75,0,0,0.1
AFRI,0.032997305458586215,67,0,0,0.2
AFRM,-0.012856805316587717,46,1,6,0.3
AFYA,-0.04314936720789866,36,1,12,0.6
AG,-0.09050474054223379,27,1,2,0.95
AGCC,-0.11402300827932071,23,1,2,0.75
AGCO,0.043409980170210256,70,0,0,0.5
AGD,0.005220297947348393,58,0,0,0.75
AGEN,0.9078182200905249,99,0,0,0.25
AGI,-0.15331114195473514,18,1,26,1.0
AGIG,-0.05915250587961881,33,1,1,0.75
AGIO,0.1601649647905248,91,1,4,0.2
AGL,0.5320248523477755,98,1,2,0.1
AGM,0.13345161916401468,88,0,0,0.05
AGMH,0.06266562616876445,75,0,0,0.75
AGNC,0.019115553554593344,63,1,4,0.2
AGNCL,0.006487287009225972,59,0,0,0.45
AGNCM,0.00974951415107713,60,0,0,0.25
AGNCN,0.006144459938677904,58,0,0,0.5
AGNCO,0.0076145870503604995,59,0,0,0.4
AGNCP,0.011002431789866363,60,0,0,0.3
AGNCZ,0.005457237176228848,58,0,0,0.4
AGNT,-0.25466615665099795,10,1,15,0.75
AGO,0.07268362933047659,78,0,0,0.0
AGPU,0.09606714326753701,83,1,1,0.45
AGRO,-0.021774922450575766,42,0,0,0.65
AGRZ,-0.12306776550285656,22,1,8,0.4
AGX,-0.18865477663394795,15,1,16,0.8
AGYS,0.20530134006532655,93,1,4,0.2
AHCO,0.0032515227567131294,57,0,0,0.3
AHG,-0.013297845392695136,46,0,0,0.2
AHMA,0.11348809618266334,86,1,11,0.6
AHR,0.1381510229543167,89,0,0,0.0
AHRT,0.05624103614715397,73,0,0,0.0
AHT,0.03276125773917856,67,0,0,0.1
AI,-0.11980389678925607,23,1,26,1.0
AIFA,-0.3186821278613043,7,1,38,1.0
AIFC,-0.4136855243048095,4,1,47,1.0
AIFF,-0.2466491136428456,11,1,56,1.0
AIFU,-0.16676663102557565,17,1,19,0.95
AIG,0.02648824997175575,65,0,0,0.2
AIHS,-0.014628290013340477,45,1,1,0.45
AII,0.028621276002015562,66,0,0,0.15
AIIA,-0.007219656488823891,50,0,0,0.75
AIIO,0.47601156999485467,98,1,5,0.35
AIIR,-0.2486527588607692,11,1,8,0.9
AIM,-0.2645966731112605,10,1,32,1.0
AIMD,-0.19038629567678744,15,1,14,0.85
AIN,0.14780341962640708,90,0,0,0.15
AIO,-0.030856182994200974,39,1,16,0.8
AIOS,-0.1132506289307676,24,1,10,0.6
AIOT,0.026641271262358275,65,1,3,0.3
AIP,-0.1431622058923308,20,1,16,0.8
AIR,0.061679420558285965,75,1,3,0.35
AIRE,-0.44500813863943084,3,1,67,1.0
AIRG,-0.11391280566649772,23,1,32,1.0
AIRI,-0.122807279804904,22,1,13,0.9
AIRJ,-0.041363938828082016,36,1,1,0.6
AIRO,-0.05162271719251882,34,1,1,0.85
AIRS,0.12581817468813797,88,0,0,0.7
AIRT,0.17533026616985012,92,0,0,0.0
AIRTP,-0.004461487922604847,52,0,0,0.45
AISP,-0.2583451901140384,10,1,21,1.0
AIT,0.08399704469784491,80,0,0,0.3
AIV,-0.11190170117321743,24,1,15,0.75
AIXC,-0.3619587986987695,6,1,23,1.0
AIXI,-0.7304175371946997,1,1,41,1.0
AIZ,0.08209905315959787,80,0,0,0.0
AJG,0.14097227730112816,89,0,0,0.05
AKA,0.11184651625134673,85,0,0,0.0
AKAM,-0.05330236772448598,34,1,2,0.6
AKAN,-0.5191732350121433,2,1,25,1.0
AKBA,0.09383630483838737,82,1,3,0.15
AKR,0.030481669913741648,66,0,0,0.6
AKTS,-0.026131501250146037,41,1,10,0.5
AKTX,-0.1737682061975974,16,1,8,0.7
ALAB,-0.06628639388805357,31,1,10,0.55
ALAR,-0.7711382881169494,0,1,24,1.0
ALB,-0.3021060984231023,8,1,28,1.0
ALC,-0.03074321532686392,39,0,0,0.5
ALCO,-0.06908370540198258,30,1,5,0.6
ALDF,-0.002350285297853718,54,0,0,0.7
ALDFU,-0.00651081725242343,50,0,0,0.75
ALDX,-0.12689481473035766,22,1,10,0.5
ALEC,-0.27496485358503775,9,1,13,0.65
ALF,-0.005991937403996896,51,0,0,0.7
ALFUU,0.01150816650978067,60,0,0,0.6
ALG,0.01698713138966522,62,0,0,0.4
ALGM,-0.08418441204665217,28,1,11,0.75
ALGN,-0.040994572668187707,36,1,7,0.65
ALGS,-0.2995532686478334,8,1,8,0.5
ALGT,0.06136682469193638,75,1,7,0.45
ALH,-0.00012495930136946672,55,0,0,0.8
ALHC,-0.020114496529952793,43,1,3,0.55
ALIS,-0.004731062150449774,52,0,0,0.75
ALISU,0.00021656678308500273,55,0,0,0.65
ALIT,0.4467691218862397,98,0,0,0.15
ALK,-0.004835268446856292,52,1,11,0.65
ALKS,0.25620584109615036,95,0,0,0.0
ALKT,0.02573042942961653,65,1,4,0.3
ALL,0.14881868863010816,90,0,0,0.05
ALLE,0.12426178050715908,87,0,0,0.3
ALLO,-0.17761299252624363,16,1,11,0.55
ALLR,-0.18170107857713733,16,1,2,0.95
ALLT,0.027684658869518007,66,1,6,0.3
ALLY,-0.04405523042525598,36,1,4,0.5
ALM,-0.27056075600716495,9,1,23,1.0
ALMS,0.14923078088912112,90,0,0,0.0
ALMU,-0.33272626093087654,7,1,25,1.0
ALNT,0.07923475748263947,79,1,1,0.7
ALNY,-0.10167123482455367,25,1,11,0.55
ALOT,0.5149109565508055,98,0,0,0.0
ALOVU,-0.017375520827478477,44,0,0,0.75
ALOY,-0.422305643257456,4,1,16,0.9
ALP,-0.16842936216466511,17,1,7,0.85
ALRM,0.1640474601040696,91,0,0,0.0
ALRS,0.1376051404600078,89,0,0,0.0
ALSN,0.01443274799522785,61,0,0,0.75
ALT,-0.0633496424655501,32,1,9,0.45
ALTG,-0.029581375570349046,40,1,9,0.9
ALTI,0.016941844517968263,62,1,4,0.35
ALTO,-0.08074764501654885,28,1,4,0.3
ALUB,-0.010187550712494444,47,0,0,0.75
ALV,-0.026264624313802575,41,1,5,0.75
ALVO,-0.14165948224330804,20,1,3,0.95
ALX,0.06475977444059666,76,0,0,0.0
ALXO,0.11887240024539858,87,0,0,0.1
ALZN,0.06280870725985613,75,0,0,0.55
AM,0.025333064223556065,65,0,0,0.15
AMAL,0.13738863958796121,89,0,0,0.05
AMAT,0.08227305550001437,80,1,8,0.65
AMBA,-0.015717971367552645,45,1,1,0.55
AMBO,-0.062169159063300394,32,1,1,0.8
AMBP,0.13511277735233973,89,0,0,0.2
AMBQ,0.08062188067207085,79,1,8,0.5
AMBR,-0.18090789692985207,16,0,0,0.95
AMC,0.2792613006401147,96,0,0,0.6
AMCI,0.0033559687753248538,57,1,1,0.2
AMCR,0.10525196317641083,84,0,0,0.05
AMCX,0.032336041350496114,67,1,2,0.25
AMD,0.1678641356617035,91,1,1,0.4
AME,0.03295209215987481,67,0,0,0.45
AMG,0.12515071887293297,87,0,0,0.25
AMGN,0.07376997253011969,78,0,0,0.1
AMH,0.031770308578142996,67,0,0,0.25
AMIX,-0.6284753795595968,1,1,25,1.0
AMKR,-0.1435065327015661,20,1,17,0.9
AMLX,0.14966985739298125,90,0,0,0.05
AMN,0.18827786078904823,93,0,0,0.15
AMOD,-0.36330766916981166,5,1,117,1.0
AMP,0.1443995213123825,89,0,0,0.15
AMPG,0.2648444853641292,95,1,5,0.75
AMPH,-0.08254574749529403,28,1,4,0.7
AMPL,0.1860011578554393,92,1,3,0.15
AMPX,-0.38410933068094194,5,1,33,1.0
AMPY,-0.14515247772716247,19,1,1,0.9
AMR,-0.18532474144619918,15,1,28,1.0
AMRC,-0.2561226994218191,10,1,35,1.0
AMRN,-0.1307818997783185,21,1,15,0.75
AMRX,0.22390079463552262,94,0,0,0.0
AMRZ,-0.08878399806552628,27,1,19,0.95
AMS,0.04899705419483274,72,0,0,0.6
AMSC,-0.3286418067254263,7,1,23,1.0
AMSF,-0.04683080884415301,35,1,3,0.25
AMST,-0.2901955000963186,8,1,16,0.9
AMT,-0.07086147230443027,30,1,28,1.0
AMTB,0.1856605216755841,92,0,0,0.0
AMTD,-0.2113320845512085,13,1,21,1.0
AMTM,0.0012135276140048598,56,0,0,0.75
AMTX,-0.18966005443768486,15,1,1,0.9
AMWL,0.3873813325630608,97,0,0,0.05
AMX,-0.00046783340280293247,55,0,0,0.45
AMZE,-0.4112437958879954,4,1,15,0.9
AMZN,-0.07224482695156549,30,1,3,0.55
AN,0.05699101888521619,74,0,0,0.35
ANAB,-0.06480991363604431,31,1,9,0.45
ANDE,0.07365101199442506,78,0,0,0.3
ANDG,0.14611221544002165,90,0,0,0.1
ANET,0.06732569684554618,76,0,0,0.3
ANF,0.09147178125781041,82,0,0,0.05
ANGH,-0.1962443897908265,14,1,20,1.0
ANGI,-0.03053479086716004,39,1,4,0.2
ANGO,0.09833085634875849,83,0,0,0.05
ANGX,0.4007717392125288,97,0,0,0.0
ANIK,-0.00830529960141492,49,1,6,0.35
ANIP,-0.06117170546000973,32,1,12,0.6
ANIX,0.3053646565980996,96,0,0,0.0
ANL,0.039880483712092976,69,0,0,0.45
ANNA,0.08630983316269553,81,0,0,0.4
ANNX,-0.051443102600882674,34,1,5,0.3
ANPA,-0.2441319470366918,11,1,112,1.0
ANRO,0.11337551401663995,86,0,0,0.0
ANSC,-0.005971591658617704,51,0,0,0.7
ANSCU,0.007475133628737762,59,0,0,0.75
ANTA,-0.5000262423002328,2,1,48,1.0
ANTX,-0.0037749735340127273,53,0,0,0.5
ANVS,-0.11610929693022609,23,1,11,0.6
ANY,-0.11326297292607904,24,1,23,1.0
AOD,0.03202595797491211,67,0,0,0.3
AOMR,0.013418957347580251,61,1,3,0.15
AON,0.10282066925645783,84,0,0,0.0
AORT,0.036401955377402574,68,0,0,0.05
AOS,4.6274954659239476e-05,55,0,0,0.5
AOSL,-0.2671012937034375,9,1,17,0.9
AOUT,0.29096675075801287,96,0,0,0.05
AP,-0.1917587007710572,15,1,1,0.95
APA,0.004841677177399063,58,0,0,0.55
APAC,-0.006434028078437194,51,0,0,0.7
APACU,-0.007603220332960271,49,0,0,0.7
APAM,0.0764743730003696,79,0,0,0.25
APD,0.03460018955750254,67,0,0,0.15
APEI,-0.10498445397036302,25,1,8,0.45
APG,-0.092592334911932,27,1,14,0.95
APGE,0.2954352905077705,96,0,0,0.0
APH,0.008823061040709939,59,1,1,0.55
API,-0.01086140364426708,47,1,11,0.95
APLD,-0.3598139019834447,6,1,22,1.0
APLE,0.10581345297743674,84,0,0,0.05
