ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
A,0.038019857299547447,64,0,0,0.2,0.1665
AA,-0.36254969473389415,5,1,15,0.75,0.4253
AACB,-0.030699305130129875,43,1,3,0.45,0.1417
AACBU,-0.039732540232854476,39,1,3,0.7,0.1576
AACG,-0.0651442331601538,33,0,0,0.95,0.208
AAL,0.4009285671129441,95,0,0,0.1,0.0072
AAME,-0.29373699233738143,7,1,42,1.0,0.4955
AAMI,0.04944866342728611,67,1,9,0.45,0.1377
AAOI,-0.07821714700578554,31,1,11,0.7,
AAON,0.04133876847887569,65,1,4,0.55,0.2073
AAP,0.054167632084779496,68,0,0,0.15,0.0219
AAPG,-0.1782199992048914,17,0,0,0.95,0.4234
AAPL,0.00359591037530356,56,1,16,0.8,0.0551
AARD,0.27800850097915114,91,0,0,0.6,
AAT,0.15973733064880324,84,0,0,0.0,0.0209
AAUC,-0.18023686045985926,16,1,10,0.95,0.3522
AB,-0.07989072695903052,31,1,14,0.95,0.1975
ABAT,-0.20659787053372985,13,1,13,0.8,0.5214
ABBV,0.14384638591563226,83,0,0,0.1,0.0313
ABCB,0.07596597340740567,72,0,0,0.1,0.0133
ABCL,0.5382703262100057,96,0,0,0.25,0.07
ABEO,0.10491446009228468,77,0,0,0.3,0.0235
ABEV,-0.019528281103892167,49,1,2,0.55,0.1147
ABG,-0.010028847318410895,52,1,1,0.2,0.2866
ABLV,0.4382148369233673,95,0,0,0.0,0.0
ABM,0.09517515874891737,75,0,0,0.1,0.1392
ABNB,0.047504140134441444,66,0,0,0.35,0.0302
ABOS,0.025639738016656824,61,0,0,0.6,0.308
ABR,-0.1940015376220065,15,1,3,0.95,0.4096
ABSI,1.2277176186570122,99,0,0,0.0,0.0401
ABT,-0.024544794973132895,47,0,0,0.35,0.3268
ABTC,-0.4481561741732677,3,1,38,1.0,0.7166
ABTS,-0.33185521076499525,6,1,17,0.85,
ABUS,0.04108856102864117,65,0,0,0.45,0.1085
ABVC,0.4963251013196223,96,0,0,0.1,0.3091
ABVX,0.053065384022055614,68,0,0,0.9,0.097
ABX,0.275700082312388,91,0,0,0.25,0.0
ACA,0.16127003054537664,85,0,0,0.15,0.0214
ACAD,0.11377268404727515,78,0,0,0.35,0.1582
ACB,-0.23198004379823867,11,1,21,1.0,0.4169
ACCL,0.12747650321717674,81,0,0,0.05,0.523
ACCO,0.2317539749020806,89,0,0,0.3,0.0108
ACCS,-0.09236172245579,28,0,0,0.7,0.4248
ACDC,-0.23148566210505717,11,1,12,0.75,0.3299
ACEL,0.030149998454323604,63,1,2,0.2,0.1064
ACET,0.05166944763774263,67,0,0,0.45,0.1094
ACFN,-0.06970525214940837,32,0,0,0.7,0.3061
ACGL,0.038704794872838524,65,0,0,0.55,0.1289
ACGLN,-0.05127585968241147,36,1,1,0.85,0.1626
ACGLO,-0.06054641448927485,34,1,3,0.95,0.168
ACH,0.21483971620181486,88,0,0,0.3,0.1103
ACHC,0.2645979113805739,91,0,0,0.4,0.0
ACHR,-0.227771795195843,11,1,19,0.95,0.4982
ACHV,0.4416127634467069,95,0,0,0.2,0.0186
ACI,-0.1789292717427569,17,1,16,0.9,0.3215
ACIC,-0.0027517651964862194,54,0,0,0.55,0.1495
ACIU,-0.14241825871590474,21,1,2,0.75,0.4087
ACIW,0.16918947456172073,85,0,0,0.2,0.0
ACLS,0.32563728265827124,93,0,0,0.05,0.0604
ACM,-0.17162803658829978,17,1,3,0.95,0.4009
ACMR,0.9545156528204792,98,0,0,0.0,0.0754
ACN,-0.34787118702107506,5,1,20,1.0,0.578
ACNB,0.17287011529774676,86,0,0,0.05,0.0091
ACNT,0.06623915670448825,70,0,0,0.4,0.2272
ACOG,0.2547067027627088,90,0,0,0.3,0.0132
ACON,-0.129220328134322,23,1,16,0.8,0.66
ACP,-0.02021362814462574,48,0,0,0.7,0.107
ACR,-0.13940245092499282,21,1,3,0.95,0.2265
ACRE,-0.09583745495797691,28,1,13,0.75,0.2184
ACRS,0.23423919169276536,89,0,0,0.45,
ACRV,0.049056007373066854,67,0,0,0.6,0.4696
ACT,0.06161609735542607,69,0,0,0.25,0.0617
ACTG,-0.05434800725125451,35,1,3,0.55,0.1922
ACTU,-0.4210352779791029,3,1,33,1.0,0.8005
ACU,0.10993430953018975,78,0,0,0.05,0.0687
