ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
A,0.06151255785218799,76,0,0,0.35,0.1458
AA,-0.3358957375221998,6,1,22,1.0,0.413
AACB,-0.03311124258159823,48,1,10,0.7,0.1415
AACBU,-0.03314730124499823,48,1,10,0.95,0.1615
AACG,-0.15849536177735024,19,1,7,0.95,0.3
AAL,0.234833481929518,92,1,1,0.05,0.1119
AAME,-0.24381513184915443,10,1,49,1.0,0.5037
AAMI,0.0737389390263023,78,0,0,0.5,0.0601
AAOI,-0.31686274081753896,6,1,18,0.95,
AAON,-0.10174812425052931,27,1,11,0.75,0.2395
AAP,-0.05038744150232163,39,1,6,0.4,0.1416
AAPG,-0.05734711763481043,37,0,0,0.6,0.3736
AAPL,0.06965836250835339,78,0,0,0.65,0.0
AARD,0.43590590035943183,96,0,0,0.25,
AAT,0.09703554649315072,82,0,0,0.0,0.0285
AAUC,-0.22433335854258388,12,1,17,0.95,0.3891
AB,-0.04686031748906729,40,0,0,0.8,0.1703
ABAT,-0.24351564055157485,11,1,20,1.0,0.5363
ABBV,0.0933059706624157,82,0,0,0.1,0.0556
ABCB,0.011221930266252796,64,0,0,0.05,0.0374
ABCL,0.3726908703120264,96,1,2,0.25,0.2058
ABEO,0.25476273112520686,93,0,0,0.1,0.0121
ABEV,-0.07712715010849783,32,1,9,0.65,0.1329
ABG,0.014939070173370775,65,0,0,0.1,0.2442
ABLV,0.09740055340381579,82,1,4,0.25,0.1228
ABM,0.0457038183906593,73,0,0,0.0,0.1216
ABNB,0.06568317026421502,77,0,0,0.05,0.0411
ABOS,-0.0021713418609863103,60,0,0,0.3,0.2979
ABR,-0.20892057488555218,13,1,10,0.95,0.4616
ABSI,0.9860744504172471,99,0,0,0.0,0.1265
ABT,-0.007559958169731297,58,1,1,0.35,0.3116
ABTC,-0.6602771893258033,1,1,45,1.0,0.8072
ABTS,-0.03283432602715757,48,1,24,1.0,
ABUS,0.0673736074341598,77,1,1,0.15,0.1115
ABVC,0.044941849472567165,73,1,3,0.25,0.4351
ABVX,0.18099827217741296,90,0,0,0.55,0.073
ABX,0.16708081277201112,89,0,0,0.05,0.0808
ACA,0.12266058763518439,85,0,0,0.0,0.0241
ACAD,0.14193942119233463,87,0,0,0.2,0.152
ACB,-0.22137685228654685,12,1,28,1.0,0.4484
ACCL,0.12285332239325711,85,0,0,0.0,0.4159
ACCO,0.02344788131501891,67,1,5,0.45,0.1081
ACCS,-0.05942089155157741,36,0,0,0.35,0.3686
ACDC,-0.2537060557158014,10,1,19,0.95,0.3682
ACEL,-0.03633419754014816,46,0,0,0.4,0.114
ACET,0.15251734124775826,88,1,1,0.15,0.0961
ACFN,0.050016531709431634,74,0,0,0.5,0.2672
ACGL,0.06505886170050604,77,0,0,0.25,0.0931
ACGLN,-0.06049945767251116,36,1,8,0.85,0.1726
ACGLO,-0.05559775806987062,37,1,10,0.95,0.1709
ACH,0.07114964388568412,78,0,0,0.1,0.1663
ACHC,0.19768852026677186,91,0,0,0.25,0.0479
ACHR,-0.1803403118762992,16,1,5,0.95,0.538
ACHV,0.1638066174022075,89,0,0,0.15,0.0688
ACI,-0.11841694379215467,24,0,0,0.9,0.2767
ACIC,0.01566055401220448,65,0,0,0.3,0.169
ACIU,-0.10331132438873014,27,1,2,0.55,0.394
ACIW,0.28421455438249527,94,0,0,0.05,0.0
ACLS,-0.11422294155122353,25,1,7,0.35,0.2837
ACM,-0.11522084821830464,25,1,10,0.95,0.3874
ACMR,0.365275279228274,96,1,1,0.25,0.2609
ACN,-0.2322844145346464,11,1,27,1.0,0.5485
ACNB,0.06945241010295858,77,0,0,0.0,0.0347
ACNT,0.07000533233409542,78,0,0,0.15,0.2272
ACOG,0.33239460440375307,95,0,0,0.15,0.0191
ACON,-0.20703992690114167,14,1,6,0.95,0.3819
ACP,-0.033923838771678136,48,1,3,0.7,0.1213
ACR,-0.12975281770624578,22,1,10,0.95,0.2483
ACRE,-0.11266080536344436,25,1,20,1.0,0.2546
ACRS,0.18998579991120632,90,0,0,0.15,
ACRV,0.2987062465314116,94,0,0,0.25,0.1379
ACT,0.03901455961624107,71,0,0,0.15,0.065
ACTG,-0.10526337738734687,26,1,10,0.65,0.2455
ACTU,-0.2392006143085624,11,1,40,1.0,0.7671
ACU,0.0430751750871946,72,0,0,0.0,0.0917
ACV,0.00651930921242614,62,1,1,0.1,0.056
ACVA,0.2082121006881786,91,0,0,0.05,0.303
ACXP,-0.1894772422104199,15,0,0,0.9,
AD,-0.21194968482324916,13,1,19,0.95,0.2416
ADACU,-0.03480883128926568,47,1,9,0.55,0.1384
ADAG,-0.05545624502054636,37,1,6,0.45,0.2771
ADAM,0.045817536862538095,73,1,2,0.3,0.073
ADAML,-0.01186767287395138,57,0,0,0.35,0.0948
ADAMM,-0.023267681493787995,53,0,0,0.6,0.0965
ADAMN,0.0053018888697105235,62,0,0,0.3,0.0514
ADAMZ,-0.006669105954296435,59,0,0,0.1,0.1107
ADBE,-0.06377455199187282,35,0,0,0.7,0.3039
ADC,-0.007065561949863339,58,0,0,0.25,0.125
ADCT,-0.291232815958572,8,1,57,1.0,
ADEA,-0.13661116282723867,21,1,7,0.5,0.2117
ADGM,-0.3921872422479292,4,1,53,1.0,0.6761
ADI,-0.05626500618409176,37,1,11,0.6,0.139
ADIL,0.3147288424612894,95,0,0,0.0,0.5498
ADM,0.008264581728222531,63,0,0,0.7,0.0348
ADMA,-0.023201121737741096,53,0,0,0.25,0.5412
ADNT,-0.1656983107843016,18,1,18,0.9,0.3584
ADP,0.1302029555012564,86,0,0,0.3,0.1022
ADPT,0.30445749826733864,94,0,0,0.0,0.0646
ADSE,0.02365392649538358,67,0,0,0.4,0.138
ADSK,-0.10005306823581277,28,0,0,0.85,0.2833
ADT,-0.04678727111626375,40,0,0,0.65,0.2347
ADTN,-0.22528581678254725,12,1,25,1.0,0.3598
ADUR,0.14162403989945435,87,0,0,0.4,0.0943
ADUS,0.110706046573564,84,0,0,0.0,0.1615
ADV,0.09009634826041468,81,0,0,0.45,0.1301
ADVB,0.03848394573528153,71,0,0,0.15,0.3139
ADX,0.03272040740520859,70,0,0,0.15,0.0
ADXN,-0.14036758332354474,21,1,1,0.85,0.3758
AEAQU,-0.035153202130241666,47,1,3,0.65,0.1486
AEBI,-0.03650430042512093,46,1,8,0.5,0.3035
AEC,-0.022464628702494112,53,1,5,0.85,0.5972
AEE,-0.009209513198982111,58,0,0,0.25,0.1237
AEF,-0.02947906897624199,50,1,8,0.45,0.0936
AEG,0.04751367118320338,73,0,0,0.0,0.0019
AEHL,-0.36178934425856063,5,1,35,1.0,
AEHR,-0.2908067539352147,8,1,14,0.7,0.412
AEI,-0.2658725306920392,9,1,7,0.85,0.67
AEIS,-0.14954258308352888,20,1,7,0.4,0.2885
AEM,-0.22219051045763263,12,1,16,0.9,0.4801
AEMD,-0.7241950780244524,1,1,28,1.0,0.8131
AENT,-0.0771149867519505,32,0,0,0.4,0.3038
AEO,-0.094380929082059,29,1,10,0.55,0.4308
AEON,-0.5819096643896412,1,1,9,0.85,0.7845
AEP,-0.004170381181851757,59,0,0,0.3,0.1233
AER,0.020885325497923275,67,0,0,0.05,0.1174
AERO,-0.07808836137865796,32,1,6,0.3,0.3361
AERT,0.1675127786661673,89,1,2,0.15,0.1239
AES,-0.022882400243878886,53,0,0,0.65,0.2124
AESI,-0.10498797803380006,26,1,10,0.95,0.262
AEVA,-0.019103352304400155,55,1,7,0.5,0.3583
AEXA,0.0017695923666129418,61,0,0,0.35,0.0849
AEYE,-0.020495146105930603,54,0,0,0.65,0.3007
AFB,-0.036975911365324854,46,1,6,0.4,0.0808
AFBI,-0.03541773171461557,47,1,9,0.65,0.1178
AFCG,-0.11933986366797847,24,1,20,1.0,0.2245
AFG,0.044433765233443286,73,0,0,0.1,0.0449
AFJK,-0.7333365166627718,1,1,22,1.0,
AFJKU,-0.46605129388087524,3,1,27,1.0,
AFL,0.028751159570871106,69,0,0,0.15,0.0457
AFRI,0.029508757350256244,69,0,0,0.4,0.0605
AFRM,0.30369211701658505,94,0,0,0.05,0.0422
AFYA,-0.08493526635350611,30,1,3,0.45,0.1964
AG,-0.15324559443847557,19,1,17,0.95,0.5329
AGCC,-0.09628141363089235,28,1,1,0.95,0.4392
AGCO,-0.04143693238522635,42,1,5,0.6,0.2631
AGD,-0.03001170905987904,50,1,13,0.85,0.099
AGEN,0.8254551084175843,98,0,0,0.7,
AGI,-0.28923390418226075,8,1,17,0.95,0.5237
AGIG,-0.16984393424732985,18,1,21,1.0,0.796
AGIO,0.3136554039329155,95,0,0,0.0,0.0804
AGL,1.1468453783490324,99,0,0,0.0,
AGM,0.1299169656307411,86,0,0,0.0,0.0067
AGMH,-0.022668158761827404,53,1,5,0.65,0.5296
AGNC,0.0314295658392097,69,0,0,0.25,0.1089
AGNCL,-0.026372961232953136,52,0,0,0.5,0.1255
AGNCM,-0.01171311220896893,57,0,0,0.45,0.1111
AGNCN,-0.030787699325677195,49,1,3,0.6,0.1127
AGNCO,-0.025231290203478893,52,0,0,0.55,0.1059
AGNCP,-0.017410499590964145,55,0,0,0.45,0.0896
AGNCZ,-0.02424740704919108,53,0,0,0.45,0.12
AGNT,-0.19427751911305477,15,1,6,0.65,0.5571
AGO,0.03276987329697014,70,0,0,0.15,0.1335
AGPU,0.15391467832320715,88,1,1,0.35,
AGRO,-0.20698964460695785,14,0,0,0.95,0.4223
AGRZ,0.17137481694099327,89,0,0,0.15,
AGX,-0.07233296716256768,33,1,7,0.4,0.2514
AGYS,0.38796396155901103,96,0,0,0.05,0.1199
AHCO,-0.10195783805677336,27,0,0,0.6,0.2713
AHG,-0.14913966258824243,20,1,1,0.55,0.4794
AHMA,0.46612533300662706,97,1,2,0.15,
AHR,0.09615316705647461,82,0,0,0.3,0.0828
AHRT,0.07222313574307843,78,0,0,0.2,0.0599
AHT,0.0270032232804003,68,0,0,0.3,0.3859
AI,-0.10928035531033534,26,1,17,0.85,0.3777
AIFA,-0.08871011447777262,29,1,29,1.0,0.5433
AIFC,-0.3521426574510874,5,1,38,1.0,0.8121
AIFF,-0.3391936560074203,6,1,47,1.0,
AIFU,-0.05612172966640302,37,1,10,0.6,0.3921
AIG,0.019572261213003046,66,0,0,0.25,0.0911
AIHS,0.059656649361788265,76,0,0,0.1,0.2754
AII,-0.00227475412483695,60,0,0,0.2,0.159
AIIA,-0.042842650059500643,42,1,10,0.65,0.1485
AIIO,1.7239898442997652,99,0,0,0.3,
AIIR,-0.1988062505059662,14,0,0,0.95,0.5329
AIM,-0.37161395271853315,5,1,23,1.0,
AIMD,0.022216067198661447,67,1,5,0.8,
AIN,0.09273753139071936,82,1,2,0.15,0.0832
AIO,0.007121864914012475,63,1,7,0.35,0.0733
AIOS,-0.05280245928067431,38,1,1,0.55,
AIOT,0.20573374949895853,91,0,0,0.25,0.2972
AIP,0.05036641911423551,74,1,7,0.35,0.3273
AIR,0.06479888015468116,77,1,1,0.1,0.1101
AIRE,-0.39820470836105937,4,1,58,1.0,0.8657
AIRG,-0.11486762979477172,25,1,23,1.0,0.2087
AIRI,-0.16441855168705372,18,1,4,0.65,0.3087
AIRJ,0.013022673475715153,64,1,5,0.4,0.3106
AIRO,-0.1995127375181647,14,1,20,1.0,0.5844
AIRS,-0.03589303756076071,47,1,18,0.9,
AIRT,0.256805624682375,93,0,0,0.15,0.1097
AIRTP,-0.036642439859647366,46,1,3,0.3,0.1391
AISP,-0.2205572680393745,12,1,12,0.7,0.5366
AIT,0.027701353609377734,69,0,0,0.25,0.0603
AIV,-0.0827392176822741,31,1,6,0.65,0.1865
AIXC,-0.2885465089972596,8,1,14,0.7,0.6448
AIXI,-0.8834085589251525,0,1,32,1.0,
AIZ,0.10133064910743103,83,0,0,0.0,0.0044
AJG,0.1912079315195025,90,0,0,0.05,0.072
AKA,0.061178077728552695,76,0,0,0.35,0.1715
AKAM,-0.04289412254823726,42,0,0,0.8,0.2326
AKAN,-0.02400334384806193,53,1,16,0.85,
AKBA,0.2814826883834366,94,0,0,0.15,0.1882
AKR,-0.03588075172220115,47,1,10,0.75,0.0788
AKTS,0.2764328170300225,94,1,1,0.05,0.209
AKTX,1.3567109331048335,99,0,0,0.6,
ALAB,0.4134275133140518,96,1,1,0.1,0.2528
ALAR,-0.7654458362185811,0,1,15,0.75,
ALB,-0.28983721298648213,8,1,19,0.95,0.4536
ALBT,-0.3437825676355775,5,1,13,0.85,
ALC,-0.05793412889666152,36,0,0,0.6,0.2756
ALCO,-0.057109712333406185,37,1,4,0.55,0.1736
ALDF,-0.03838837363926049,44,1,10,0.75,0.1475
ALDFU,-0.03699504063620936,46,1,10,0.8,0.146
ALDX,0.07379973509727936,78,1,1,0.05,
ALEC,-0.28852464793869653,8,1,4,0.5,0.4793
ALF,-0.030425953205171073,50,1,9,0.7,0.1508
ALFUU,-0.08007589985152785,32,1,10,0.9,0.143
ALG,-0.007641755057061814,58,1,4,0.35,0.3219
ALGM,0.11914920792997466,85,1,2,0.3,0.2719
ALGN,0.02374991467068511,67,0,0,0.3,0.16
ALGS,-0.04104847880100933,43,0,0,0.35,0.3276
ALGT,0.27701318377025824,94,1,1,0.05,0.1502
ALH,-0.029008533115084088,50,1,8,0.4,0.0729
ALHC,0.028272365681577045,69,1,4,0.2,0.2167
ALIS,-0.035860991562230146,47,1,10,0.7,0.1417
ALISU,-0.054126518756183226,38,1,9,0.6,0.1354
ALIT,0.5672293035484232,97,0,0,0.6,0.4061
ALK,0.11426069866423752,84,1,2,0.2,0.2838
ALKS,0.2976943285987446,94,0,0,0.0,0.0836
ALKT,0.042039886962474425,72,0,0,0.4,0.2715
ALL,0.13667011398170012,87,0,0,0.0,0.0
ALLE,-0.031576700622291204,49,1,4,0.4,0.3069
ALLO,-0.18932796450429032,15,1,2,0.35,0.4239
ALLR,-0.24546975908016153,10,1,22,1.0,0.3662
ALLT,0.12130101684631434,85,0,0,0.35,0.2806
ALM,-0.21375895667595815,13,1,14,0.8,0.3948
ALMS,0.19944369577230456,91,0,0,0.0,0.1422
ALMU,-0.2899887943246518,8,1,16,0.85,0.4909
ALNT,0.10505911235006674,83,1,7,0.35,0.1635
ALNY,-0.06674455933056377,34,1,2,0.4,0.2878
ALOT,0.9323932330646911,98,0,0,0.0,
ALOY,-0.13788580724842037,21,1,7,0.5,0.6109
ALP,0.13880234896213187,87,0,0,0.9,0.7164
ALRM,0.1316893907762796,86,0,0,0.25,0.0658
ALRS,0.08287899413872385,80,0,0,0.0,0.014
ALSN,-0.07871046537988252,32,1,10,0.5,0.1936
ALT,-0.011117768226949043,57,0,0,0.25,0.5532
ALTG,-0.03249358325504017,48,0,0,0.45,0.1932
ALTI,0.024547669202303203,68,1,1,0.35,0.3504
ALTO,0.07895365943938015,80,0,0,0.35,
ALUB,-0.03927226573486957,44,1,10,0.75,0.1519
ALV,-0.02397286367306601,53,0,0,0.9,0.1222
ALVO,-0.19580255779637487,15,1,15,0.75,0.4253
ALX,0.04948701493946383,74,0,0,0.0,0.0297
ALXO,0.13846403917109706,87,1,1,0.35,0.3114
ALZN,0.1098860330472953,84,1,11,0.55,0.5688
AM,0.02150289364730721,67,0,0,0.25,0.1741
AMAL,0.04659747837829455,73,0,0,0.05,0.0371
AMAT,0.2132970821993503,91,1,1,0.25,0.2067
AMBA,0.058594293229525245,75,1,1,0.65,0.231
AMBO,-0.16380093953976058,18,1,16,0.8,0.3291
AMBP,0.05906350492416427,76,1,1,0.05,0.1282
AMBQ,0.43408294418955956,96,1,1,0.1,0.1038
AMBR,-0.2084036588614611,13,1,55,1.0,0.5349
AMC,0.09540672575275769,82,1,10,0.65,0.3414
AMCI,0.03508542680642019,70,0,0,0.5,0.5268
AMCR,0.03730144802064234,71,0,0,0.05,0.2171
AMCX,0.07658000909597998,79,0,0,0.4,0.056
AMD,0.3326480266228619,95,0,0,0.15,0.083
AME,-0.02124179228079399,54,1,7,0.45,0.1213
AMG,0.10329047289931134,83,0,0,0.1,0.0124
AMGN,0.027558523229785366,68,0,0,0.1,0.1478
AMH,0.029490221629868828,69,0,0,0.35,0.0352
AMIX,-0.37081055745290364,5,1,16,0.85,0.516
AMKR,-0.08215335264762069,31,1,8,0.45,0.2984
AMLX,0.20976128289683196,91,0,0,0.0,0.1035
AMN,0.2517871430235068,93,0,0,0.1,0.0474
AMOD,-0.5048197596015604,2,1,107,1.0,0.9175
AMP,0.09979062932325752,83,0,0,0.25,0.1287
AMPG,0.8453697476991403,98,1,7,0.4,0.3522
AMPH,-0.08687786747534834,30,1,8,0.6,0.3955
AMPL,0.45674905720472025,97,0,0,0.45,0.1814
AMPX,-0.4203230604724811,3,1,24,1.0,0.5376
AMPY,-0.19652688983970554,15,1,46,1.0,0.4685
AMR,-0.2323626985242667,11,1,19,0.95,0.4525
AMRC,-0.17019920328349591,18,1,26,1.0,0.3642
AMRN,-0.04895398860469915,39,1,6,0.3,0.2059
AMRX,0.12469372081484895,85,0,0,0.0,0.0298
AMRZ,-0.11306220534584532,25,1,10,0.5,0.3129
AMS,-0.08598738595342956,30,1,2,0.6,0.4102
AMSC,-0.2230103978148152,12,1,14,0.95,0.4271
AMSF,0.08468901367503581,80,0,0,0.05,0.1802
AMST,-0.1282492894118331,22,1,7,0.9,
AMT,-0.1170527076580497,24,1,19,0.95,0.1885
AMTB,0.04636574798759389,73,0,0,0.1,0.0383
AMTD,-0.09803896319246347,28,1,12,0.9,0.2119
AMTM,-0.17807534507580391,17,1,5,0.95,0.5008
AMTX,-0.2743406504175868,9,1,28,1.0,0.5932
AMX,-0.05551194460831342,37,1,3,0.55,0.134
AMZE,-0.41359272614133086,4,1,11,0.9,0.8762
