ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
A,-0.004712209441634238,57,1,1,0.35,0.1917
AA,-0.33786830161247033,5,1,19,0.95,0.4126
AACB,-0.03126094017388015,46,1,7,0.55,0.1404
AACBU,-0.08049944733445055,30,1,6,0.85,0.1598
AACG,-0.16126615135358274,17,1,4,0.95,0.288
AAL,0.2616260224697862,92,0,0,0.0,0.0959
AAME,-0.1794533235146648,16,1,46,1.0,0.4907
AAMI,0.10255345678729694,82,0,0,0.5,0.0724
AAOI,-0.3287376668937282,6,1,15,0.9,
AAON,-0.03520912125797025,42,1,8,0.75,0.2649
AAP,-0.059282110688346566,35,1,3,0.25,0.1446
AAPG,-0.09028582567824614,28,0,0,0.75,0.3942
AAPL,0.04575916720200961,71,0,0,0.8,0.0
AARD,0.20884063498580305,90,0,0,0.4,
AAT,0.10884664224800528,82,0,0,0.0,0.0286
AAUC,-0.2231191619686054,12,1,14,0.95,0.3806
AB,-0.07399626040598818,32,1,1,0.85,0.1875
ABAT,-0.19945958760244087,14,1,17,0.95,0.5472
ABBV,0.1340453917732018,85,0,0,0.1,0.0327
ABCB,0.0029789480381579303,60,1,1,0.05,0.0512
ABCL,0.4457274345269858,96,0,0,0.25,0.1308
ABEO,0.20602195906747453,90,0,0,0.2,0.0
ABEV,-0.08466827848720751,30,1,6,0.55,0.1399
ABG,0.017731035478461527,64,0,0,0.1,0.262
ABLV,0.26969299179813866,92,1,1,0.1,0.0848
ABM,0.05018211438871889,72,0,0,0.0,0.1355
ABNB,0.03172475756018933,68,0,0,0.2,0.0585
ABOS,0.12229806206670901,84,0,0,0.4,0.2703
ABR,-0.24913428224853873,10,1,7,0.95,0.4578
ABSI,1.1482581548692354,98,0,0,0.0,0.0455
ABT,0.0026786772083152027,59,0,0,0.3,0.2919
ABTC,5.106702977764584,99,0,0,0.85,
ABTS,-0.2631878126003202,9,1,21,1.0,
ABUS,0.16362970703365315,87,0,0,0.25,0.0018
ABVC,0.5500609725968575,97,0,0,0.1,0.1505
ABVX,0.20972134482203814,90,0,0,0.7,0.0508
ABX,0.2834871040468901,93,0,0,0.05,0.0232
ACA,0.16039148435789208,87,0,0,0.0,0.0161
ACAD,0.16263036295296918,87,0,0,0.25,0.131
ACB,-0.25624843636431693,9,1,25,1.0,0.4436
ACCL,0.1340106736374028,85,0,0,0.0,0.4871
ACCO,0.03108105284666167,68,1,2,0.3,0.1264
ACCS,-0.009548270060705234,55,0,0,0.5,0.3824
ACDC,-0.2952560851055778,7,1,16,0.9,0.3796
ACEL,0.02529644380323033,66,1,6,0.3,0.1291
ACET,0.2104603232338508,90,0,0,0.25,0.0171
ACFN,-0.05592799447368241,36,1,1,0.6,0.3245
ACGL,0.05412030627687835,73,0,0,0.35,0.0978
ACGLN,-0.06922765967833817,33,1,5,0.85,0.1783
ACGLO,-0.06429249758846123,34,1,7,0.95,0.1737
ACH,0.05549968561081195,74,1,2,0.2,0.2118
ACHC,0.19564075755881039,89,0,0,0.3,0.0375
ACHR,-0.19424963997467776,14,1,2,0.95,0.5061
ACHV,0.3426458880745774,94,0,0,0.15,0.0473
ACI,-0.19349038993083548,14,1,20,1.0,0.3129
ACIC,0.06185342289773095,75,0,0,0.35,0.1349
ACIU,-0.06226391561647078,34,0,0,0.6,0.3736
ACIW,0.2754202244045323,92,0,0,0.05,0.0
ACLS,-0.061513553719855285,34,1,4,0.2,0.2861
ACM,-0.15203512246663137,19,1,7,0.95,0.3913
ACMR,0.6031371593312146,97,1,4,0.2,0.2257
ACN,-0.27803364883055737,8,1,24,1.0,0.5583
ACNB,0.0555195825649671,74,1,1,0.05,0.0562
ACNT,0.06112267204511629,75,0,0,0.2,0.2274
ACOG,0.3353126701229588,94,0,0,0.15,0.0
ACON,-0.19015454078032953,15,1,3,0.95,0.4284
ACP,-0.014821795235454526,53,0,0,0.6,0.1066
ACR,-0.16479842666259817,17,1,7,0.95,0.2599
ACRE,-0.13926957647473331,20,1,17,0.85,0.2474
ACRS,0.23269607488640104,91,0,0,0.3,
ACRV,0.24479346538696478,92,0,0,0.4,0.1072
ACT,0.027182468061756795,67,0,0,0.1,0.0731
ACTG,-0.11839878615502784,24,1,7,0.55,0.2331
ACTU,-0.4262272981631291,3,1,37,1.0,0.7994
ACU,0.06859970598209464,76,0,0,0.0,0.0808
ACV,0.021655260589533355,65,0,0,0.05,0.0508
ACVA,0.2822918869731874,93,0,0,0.05,0.2809
ACXP,-0.3502906494735401,5,1,6,0.95,
AD,-0.15499702341449811,18,1,16,0.85,0.2216
ADACU,-0.018972590526360224,51,1,5,0.35,0.1367
ADAG,0.02913450394958919,67,1,3,0.4,0.2716
ADAM,0.04055162353902882,70,1,3,0.2,0.0765
ADAML,-0.005172373784675721,57,0,0,0.3,0.0911
ADAMM,-0.022706895248252465,50,0,0,0.5,0.0953
ADAMN,0.013891033288069884,63,0,0,0.3,0.0426
ADAMZ,0.018043278904512336,64,0,0,0.1,0.1
ADBE,-0.15056072452034933,19,0,0,0.85,0.3872
ADC,0.007445220560313624,61,0,0,0.25,0.1284
ADCT,-0.24920894892742698,10,1,54,1.0,
ADEA,-0.02670038808424274,48,1,4,0.35,0.182
ADGM,-0.38461076355058527,4,1,50,1.0,0.6807
ADI,-0.045181979447178215,38,1,8,0.55,0.136
ADIL,0.5053906476975277,97,0,0,0.0,0.557
ADM,-0.007964435076485896,56,0,0,0.75,0.0506
ADMA,0.006246927783930753,61,0,0,0.35,0.5384
ADNT,-0.1853534188640684,15,1,15,0.8,0.378
