ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.08813512161382625,78,0,0,0.4
AA,-0.09106236077377211,28,1,3,0.35
AACB,-0.03474020824415277,48,0,0,0.7
AACBU,-0.04026325629712783,44,1,3,0.7
AACG,-0.12544068938678674,22,1,13,0.85
AAL,0.20600102133982015,89,0,0,0.25
AAME,-0.35147355481468573,5,1,30,1.0
AAMI,0.20266864194416773,89,0,0,0.05
AAOI,0.2361897363990744,90,1,2,0.35
AAON,0.136273563293315,84,1,4,0.2
AAP,0.13424172158546563,84,0,0,0.3
AAPG,-0.28344664132080705,8,1,39,1.0
AAPL,0.013147723877123839,64,1,4,0.2
AARD,-0.3433591587026001,5,1,20,1.0
AAT,0.18484144333893962,88,0,0,0.1
AAUC,-0.21521719314256346,12,1,47,1.0
AB,-0.0883726522603617,29,1,2,0.95
ABAT,-0.02325686589245138,53,1,1,0.5
ABBV,0.0017525228233313678,61,0,0,0.25
ABCB,0.0514041424016238,72,0,0,0.7
ABCL,0.25738236289468713,91,1,3,0.3
ABEO,-0.00841455714223937,58,1,1,0.7
ABEV,0.008996402103398818,63,0,0,0.65
ABG,-0.034438576292424104,48,0,0,0.7
ABLV,0.34401150049861734,94,0,0,0.0
ABM,0.1340963535076374,84,0,0,0.7
ABNB,-0.005124336517547345,59,1,4,0.95
ABOS,-0.15691118596325954,18,0,0,0.75
ABR,-0.24231379834940905,10,1,26,1.0
ABSI,0.8810909077921967,98,0,0,0.15
ABT,-0.09100482891281099,28,1,1,0.7
ABTC,-0.28256176274758,8,1,26,1.0
ABTS,0.1079061006104132,81,1,5,0.75
ABUS,-0.056666182776124105,36,1,10,0.75
ABVC,0.018133138830339852,65,1,1,0.3
ABVX,-0.2512374556200361,10,1,9,0.65
ABX,0.005047093295021475,62,0,0,0.75
ACA,0.038727804472378675,69,0,0,0.65
ACAD,-0.07724294199191112,31,1,2,0.8
ACB,-0.19285672729902242,14,1,9,0.8
ACCL,0.04607854733915472,71,0,0,0.55
ACCO,0.1313425295362345,84,0,0,0.15
ACCS,-0.1726899255566264,16,1,28,1.0
ACDC,-0.01133031883065816,57,0,0,0.45
