ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.1302891701605021,86,0,0,0.55
AA,0.06440057877971339,79,0,0,0.25
AACB,-0.030941544912094526,55,0,0,0.85
AACBU,0.010229793457387754,69,0,0,0.7
AACG,-0.025951669937452664,57,1,10,0.7
AAL,0.11002610704132357,84,0,0,0.3
AAME,-0.3430059013042329,5,1,27,1.0
AAMI,0.19602419880984087,90,0,0,0.05
AAOI,0.1406292872869883,87,1,1,0.25
AAON,0.13722722369258314,86,1,1,0.05
AAP,0.047752291078205986,76,0,0,0.45
AAPG,-0.3088470484348791,7,1,36,1.0
AAPL,0.010553744393300334,69,1,1,0.05
AARD,-0.31501223886105545,7,1,17,0.85
AAT,0.19218028061087228,90,0,0,0.25
AAUC,-0.20847150377620727,14,1,44,1.0
AB,-0.07951832983454543,35,1,24,1.0
ABAT,-0.009496180681309044,63,1,1,0.45
ABBV,0.037391670127857726,74,0,0,0.4
ABCB,-0.011105424760423095,62,0,0,0.85
ABCL,0.22175089382984328,91,0,0,0.2
ABEO,-0.049839860807308095,44,1,3,0.75
ABEV,-0.06517296294124432,39,1,9,0.75
ABG,-0.041335319161919154,48,0,0,0.85
ABLV,0.4709935056686595,96,0,0,0.0
ABM,0.05903310907451695,78,0,0,0.85
ABNB,-0.07549465297215355,36,1,1,0.95
ABOS,-0.2232578903644806,13,1,7,0.85
ABR,-0.3071991770926602,7,1,23,1.0
ABSI,0.7680826410457081,98,0,0,0.15
ABT,-0.06771653800175716,38,0,0,0.8
ABTC,-0.2659740728540024,10,1,23,1.0
ABTS,-0.042260781334429495,47,1,2,0.75
ABUS,-0.07649240853652167,36,1,7,0.75
ABVC,0.03728415382461549,74,0,0,0.4
ABVX,-0.20127271067031055,15,1,6,0.65
ABX,-0.04463354776601853,46,0,0,0.9
ACA,0.02349605212944776,72,0,0,0.65
ACAD,-0.07151674706432862,37,0,0,0.85
ACB,-0.06516147587498512,39,1,6,0.8
ACCL,0.005261404615894576,67,0,0,0.7
ACCO,0.10849794911398902,84,0,0,0.15
ACCS,-0.28645298597566937,8,1,25,1.0
ACDC,0.05984583656191736,78,1,1,0.5
ACEL,0.04465528645089972,76,0,0,0.8
ACET,-0.10178107393607233,29,1,6,0.65
ACFN,-0.1572631664721463,20,1,24,1.0
ACGL,-0.0987774550591563,30,1,14,0.95
ACGLN,-0.0941244906383231,31,1,49,1.0
ACGLO,-0.08596529602868877,33,1,49,1.0
ACH,-0.1511768160552553,21,1,20,1.0
ACHC,-0.05263423019792568,43,0,0,0.8
ACHR,-0.16425416187846562,19,1,4,0.45
ACHV,0.26203190127917,92,0,0,0.4
ACI,-0.09390417051902993,31,1,1,0.8
ACIC,-0.11631673608848263,27,1,29,1.0
ACIU,-0.2999015543497746,7,1,39,1.0
ACIW,-0.0580100793381491,41,0,0,0.85
ACLS,0.3012696300889369,93,0,0,0.25
ACM,-0.19410075672032276,16,1,68,1.0
ACMR,0.4942573823780707,96,0,0,0.0
ACN,-0.10909099553590199,28,1,5,0.85
ACNB,0.06108367868545014,78,0,0,0.45
ACNT,-0.025212212128593574,58,1,11,0.95
ACOG,-0.06543234062614145,39,0,0,0.8
ACON,-0.05311942470450464,43,1,1,0.7
ACP,-0.03562515927179532,52,0,0,0.95
ACR,-0.15742170388189214,20,1,20,1.0
ACRE,-0.059513932970252995,41,0,0,0.85
ACRS,-0.05648799999648373,42,1,3,0.8
ACRV,-0.23859354257585336,12,1,21,1.0
ACT,-0.06491916204898612,39,0,0,0.85
ACTG,-0.027205094216629228,57,0,0,0.95
ACTU,-0.27796005548477554,9,1,18,0.95
ACU,-0.021741663545683538,59,0,0,0.75
ACV,-0.015457906610817258,61,0,0,0.45
ACVA,0.020172510499292237,71,1,5,0.25
ACXP,-0.367346567745083,4,1,47,1.0
AD,-0.07043282727866691,37,0,0,0.65
ADAG,-0.0850363176641794,33,1,7,0.75
ADAM,0.051502546951811376,77,0,0,0.15
ADAML,-0.02696543035695907,57,0,0,0.85
ADAMM,-0.039376047704049885,49,0,0,0.85
ADAMN,-0.01888968632821994,60,0,0,0.85
ADAMZ,-0.04328932373291456,47,0,0,0.9
ADBE,-0.08977702924799962,32,1,2,0.55
ADC,-0.07620452347631557,36,0,0,0.95
ADCT,-0.7523602796894447,0,1,35,1.0
ADEA,0.053103118178818784,77,0,0,0.55
ADGM,-0.34453039730382984,5,1,31,1.0
ADI,0.044890722157904434,76,1,3,0.4
ADIL,0.3440551937134261,94,0,0,0.2
ADM,0.052501765623756635,77,0,0,0.2
ADMA,-0.19850197205314143,16,1,58,1.0
ADNT,-0.03327147265654522,54,1,1,0.5
ADP,0.06780031875691524,79,0,0,0.3
ADPT,0.21320282068824556,91,0,0,0.5
ADSE,-0.0914025600707591,32,1,11,0.85
ADSK,-0.10971511433367331,28,1,6,0.9
ADT,-0.04915563121653178,44,1,26,1.0
ADTN,0.003789106226265715,67,1,3,0.6
ADTX,-1.037902863084981,0,1,94,1.0
ADUR,0.38021005551014786,95,0,0,0.15
ADUS,-0.09632936572066195,31,0,0,0.95
ADV,0.32253068605753576,94,0,0,0.5
ADVB,-0.4286578189633784,3,1,7,0.95
ADX,0.0006715835655552865,66,1,1,0.35
ADXN,-0.14729380192770516,22,1,12,0.9
AEAQU,-0.03474971039975158,53,0,0,0.85
AEBI,-0.01081892861865514,63,0,0,0.45
AEC,-0.3319025532805927,6,1,37,1.0
AEE,-0.062146627812260616,40,0,0,0.9
AEF,-0.0009789635634992744,66,1,4,0.5
AEG,0.010489226900703558,69,0,0,0.45
AEHL,-0.26323792456399353,10,1,13,0.65
AEHR,0.30228207830063036,93,1,2,0.35
AEI,-0.30221100000347256,7,1,16,0.8
AEIS,-0.15716551139202575,20,1,25,1.0
AEM,-0.2646956502324721,10,1,39,1.0
AEMD,-0.12024334415780664,26,1,6,0.8
AENT,-0.26721519020449686,9,1,17,0.95
AEO,-0.04160485799104625,48,0,0,0.7
AEON,-0.2609167936307348,10,1,31,1.0
AEP,-0.07630707872298483,36,1,2,0.95
AER,-0.09228221943631934,32,0,0,0.95
AERO,-0.012844577891760627,62,0,0,0.5
AERT,0.4915728961603487,96,0,0,0.0
AES,-0.013742534749383112,62,0,0,0.75
AESI,0.09540648287242917,83,1,3,0.45
AEVA,0.5571319079154068,97,1,1,0.05
AEXA,-0.04104132980264737,48,1,14,0.8
AEYE,-0.057115159530942455,42,1,5,0.7
AFB,-0.016676455009874552,61,0,0,0.8
AFBI,-0.009606054155198121,63,0,0,0.85
AFCG,0.15452791085906067,88,0,0,0.1
AFG,-0.03889177065149842,50,0,0,0.65
AFJK,-0.030737678265884805,55,0,0,0.9
AFJKU,0.006874771026624649,68,1,5,0.9
AFL,-0.010318123650315432,63,0,0,0.7
AFRI,-0.04943140203402399,44,0,0,0.95
AFRM,0.12568485678238048,85,1,5,0.4
AFYA,-0.02979146496981829,56,0,0,0.8
AG,-0.2993200775149998,7,1,17,0.85
AGCC,-0.17399788629570406,18,1,9,0.85
AGCO,-0.09538107033838004,31,1,1,0.75
AGD,-0.01239307643099153,62,1,2,0.85
AGEN,-0.24180171986303092,11,1,24,1.0
AGI,-0.2781519481822383,9,1,35,1.0
AGIG,-0.07578772974979842,36,0,0,0.9
AGIO,-0.08121463069684982,34,0,0,0.85
AGL,2.8478309874280514,99,0,0,0.0
AGM,-0.013838074715705646,62,1,1,0.6
AGMH,0.2604034937883314,92,0,0,0.15
AGNC,-0.06198817885163755,40,0,0,0.95
AGNCL,-0.020509876923354126,59,0,0,0.85
AGNCM,-0.023887358059543267,58,0,0,0.85
AGNCN,-0.027973416080244368,57,0,0,0.85
AGNCO,-0.031185013269742996,55,0,0,0.85
AGNCP,-0.023795350352005612,58,0,0,0.85
AGNCZ,-0.0367838113760019,51,0,0,0.85
AGNT,-0.2668887993435797,10,1,22,1.0
AGO,-0.088187888008573,33,1,49,1.0
AGPU,0.7561863551034747,98,0,0,0.25
AGRO,-0.14706160249494726,22,1,24,1.0
AGRZ,-0.28732493564133016,8,1,47,1.0
AGX,-0.021431019079066277,59,1,2,0.65
AGYS,0.2588993673713248,92,0,0,0.2
AHCO,-0.16592886849209765,19,1,25,1.0
AHG,-0.35139928889920324,5,1,28,1.0
AHMA,0.04616159127034866,76,0,0,0.95
AHR,-0.12883490263855407,25,1,13,0.95
AHRT,0.09668628293694442,83,0,0,0.1
AHT,-0.006939848054794369,64,0,0,0.65
AI,0.12162439018544127,85,0,0,0.3
AIFA,-0.0005043464019849481,66,1,7,0.65
AIFC,-0.4101319167194507,3,1,16,0.85
AIFF,-0.16434998964823666,19,1,25,1.0
AIFU,0.5977890820125868,97,0,0,0.0
AIG,-0.08321314203004876,34,1,2,0.85
AIHS,0.04427234197631147,76,0,0,0.8
AII,-0.16960222990031956,19,1,29,1.0
AIIA,-0.03972482805726125,49,0,0,0.85
AIIO,1.9034898244956058,99,0,0,0.05
AIIR,-0.4058242448672743,3,1,16,0.8
AIM,-0.10981217501225722,28,1,1,0.55
AIMD,0.18569436478400297,89,1,1,0.55
AIN,0.13299739821091153,86,0,0,0.2
AIO,0.05372519724179822,77,0,0,0.1
AIOS,-0.10934777255919109,28,1,3,0.45
AIOT,0.16203731478755373,88,0,0,0.4
AIP,0.44726096052524944,96,1,1,0.05
AIR,-0.01837476353364354,60,0,0,0.75
AIRE,-0.4388477499632334,3,1,36,1.0
AIRG,0.11185792966532987,84,1,1,0.45
AIRI,-0.08363923958271788,34,0,0,0.8
AIRJ,0.281422020190094,93,0,0,0.0
AIRO,0.02605044014237365,72,0,0,0.5
