ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
A,0.09557732828774831,76,0,0,0.3,0.112
AA,-0.30373800247755095,8,1,25,1.0,0.4367
AACB,-0.004398011009918256,50,1,12,0.75,0.1463
AACBU,-0.00499769608795082,50,1,12,0.95,0.1677
AACG,-0.10530226812035764,24,1,10,0.95,0.2934
AAL,0.11398086337458622,80,1,4,0.2,0.1523
AAME,-0.2369154529680666,12,1,52,1.0,0.5227
AAMI,0.10259114727562743,78,0,0,0.5,0.009
AAOI,-0.46540262538147337,3,1,21,1.0,
AAON,-0.09681063488875606,25,1,14,0.75,0.2343
AAP,-0.06845415077964227,30,1,9,0.55,0.1771
AAPG,0.02669587380753564,60,0,0,0.45,0.3494
AAPL,0.13238043672689087,83,0,0,0.5,0.0
AARD,0.34018170827025407,95,0,0,0.1,
AAT,0.15434236658521458,86,0,0,0.0,0.0031
AAUC,-0.2721847560914797,9,1,20,1.0,0.4311
AB,0.020632260760159383,59,0,0,0.65,0.1498
ABAT,-0.29495617614395564,8,1,23,1.0,0.552
ABBV,0.17319157957410436,88,0,0,0.05,0.0264
ABCB,0.07674204921993594,72,0,0,0.05,0.0036
ABCL,0.3093032205619505,94,1,5,0.25,0.2512
ABEO,0.23970000172226047,92,0,0,0.05,0.0318
ABEV,-0.058097385857832154,32,1,12,0.75,0.1375
ABG,0.12848336830845863,82,0,0,0.1,0.1888
ABLV,0.08999036200576156,75,1,7,0.4,0.1413
ABM,0.14666839694489642,85,0,0,0.0,0.0691
ABNB,0.06306729858754125,69,0,0,0.0,0.0334
ABOS,-0.1198000266644126,22,1,3,0.35,0.4241
ABR,-0.11009579612268862,24,1,13,0.95,0.4365
ABSI,0.5155164024636717,97,1,2,0.1,0.2973
ABT,0.09357221592749361,76,0,0,0.35,0.2577
ABTC,-0.6427891306761995,1,1,48,1.0,0.7905
ABTS,0.05382815434624075,67,0,0,0.95,
ABUS,0.07169570169495729,71,0,0,0.15,0.1001
ABVC,-0.014416340366733286,43,1,6,0.3,0.4947
ABVX,0.25402696315332257,93,0,0,0.4,0.0628
ABX,0.11184282806801336,79,1,1,0.1,0.1235
ACA,0.14494466997193522,84,0,0,0.0,0.0252
ACAD,0.17071858524566064,88,0,0,0.05,0.1495
ACB,-0.2068687598970477,14,1,31,1.0,0.4681
ACCL,0.2672460246371943,94,0,0,0.0,0.0042
ACCO,0.10908145085773621,79,0,0,0.5,0.0557
ACCS,0.03295942182344552,62,0,0,0.2,0.3616
ACDC,-0.320170302353086,7,1,22,1.0,0.418
ACEL,-0.011159868849026134,45,1,3,0.55,0.1346
ACET,-0.007839115623209224,48,1,1,0.15,0.1328
ACFN,0.1649183809620454,87,0,0,0.35,0.21
ACGL,0.057642393884612536,68,0,0,0.15,0.1215
ACGLN,-0.02096128227952654,41,0,0,0.8,0.1579
ACGLO,-0.01716624724502479,42,0,0,0.8,0.1518
ACH,0.22136965000101166,92,0,0,0.1,0.0668
ACHC,0.28589312969128783,94,0,0,0.1,0.0
ACHR,-0.2525893537528558,11,1,8,0.95,0.5451
ACHV,0.16130678235472545,87,1,1,0.2,0.0921
ACI,-0.05430282749556918,33,0,0,0.8,0.267
ACIC,-0.045462530077577196,35,1,3,0.3,0.2301
ACIU,-0.17718209630786014,16,1,5,0.55,0.4619
ACIW,0.34640851261190303,95,0,0,0.05,0.0
ACLS,-0.15677529604724263,18,1,10,0.5,0.2707
ACM,-0.051196519738205534,33,0,0,0.9,0.3773
ACMR,0.16318692349588693,87,1,4,0.4,0.3408
ACN,-0.15430057872436023,19,0,0,0.95,0.5274
ACNB,0.14141642542954147,84,0,0,0.0,0.0042
ACNT,0.07618842940937544,72,0,0,0.05,0.2318
ACOG,0.3700045931054449,96,0,0,0.0,0.0246
ACON,-0.16881270558338587,17,1,9,0.95,0.3844
ACP,-0.016529801617017892,42,1,6,0.7,0.1214
ACR,-0.037749677288124034,36,1,13,0.95,0.2465
ACRE,-0.015708728917914618,42,0,0,0.9,0.1944
ACRS,0.20703339369100465,91,0,0,0.0,0.0601
ACRV,0.043257215811760494,65,1,1,0.15,0.2396
ACT,0.08426590873671629,74,0,0,0.15,0.0441
ACTG,-0.0713963678098398,30,1,13,0.65,0.2368
ACTU,-0.2843982623850804,9,1,1,0.9,0.7427
ACU,0.07391365572660642,71,0,0,0.05,0.0924
ACV,-0.007599915917997812,48,1,4,0.25,0.0763
ACVA,0.3001460156652504,94,0,0,0.05,0.1919
ACXP,-0.16059267846532563,18,1,1,0.8,
AD,-0.13292861076200513,21,1,22,1.0,0.2229
ADACU,-0.011585348739928301,45,1,11,0.6,0.1448
ADAG,-0.042783654793027454,35,1,9,0.5,0.3239
ADAM,0.061594030136811265,69,0,0,0.35,0.0586
ADAML,0.015557452982227462,57,0,0,0.25,0.0918
ADAMM,0.005168319020945302,54,0,0,0.45,0.0911
ADAMN,0.04191010479749442,64,0,0,0.15,0.0331
ADAMZ,0.019761175713471604,58,0,0,0.1,0.1059
ADBE,0.04493029522273108,65,0,0,0.6,0.2912
ADC,0.06193801453787785,69,0,0,0.15,0.1031
