ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.07557249241585645,78,1,1,0.35
AA,-0.08834708087370924,31,1,5,0.35
AACB,-0.04257899242518297,47,1,2,0.7
AACBU,-0.0482889620463874,43,1,4,0.7
AACG,-0.1366972456307995,22,1,15,0.9
AAL,0.25884067922170706,92,0,0,0.15
AAME,-0.3083423275052815,6,1,32,1.0
AAMI,0.2412200262525553,91,0,0,0.05
AAOI,0.11740405937632345,84,1,1,0.4
AAON,0.18796035276165357,89,1,6,0.3
AAP,0.14046144689819703,85,0,0,0.2
AAPG,-0.2892178961674511,8,1,41,1.0
AAPL,0.02242646799401346,67,1,6,0.3
AARD,-0.28244785558465735,8,1,22,1.0
AAT,0.16819140178420366,87,0,0,0.0
AAUC,-0.15038849495496037,20,0,0,0.95
AB,-0.08971716428579309,30,1,4,0.95
ABAT,-0.0781548933162031,33,1,3,0.5
ABBV,-0.0004797593254526819,62,0,0,0.2
ABCB,0.04072263062652699,71,0,0,0.6
ABCL,0.2550199136101634,92,1,5,0.3
ABEO,0.014338107133778588,65,0,0,0.6
ABEV,0.003931833434696275,63,1,1,0.6
ABG,0.009992399204721586,64,0,0,0.6
ABLV,0.4236355539139104,95,0,0,0.0
ABM,0.07207403032163431,77,0,0,0.6
ABNB,0.0001419887302744477,62,0,0,0.85
ABOS,-0.14688121162513346,21,1,2,0.75
ABR,-0.2553068048283278,10,1,28,1.0
ABSI,0.7417776139866349,98,0,0,0.1
ABT,-0.06678747649561328,36,0,0,0.65
ABTC,-0.2975107856158598,7,1,28,1.0
ABTS,-0.07477383097763807,34,1,7,0.75
ABUS,-0.0522094991581567,40,0,0,0.7
ABVC,0.047677582939363375,73,0,0,0.25
ABVX,-0.23419381009749055,11,1,11,0.65
ABX,0.005928245858208239,63,0,0,0.65
ACA,0.09307154307058735,81,0,0,0.55
ACAD,-0.06742590478911951,35,1,4,0.8
ACB,-0.1815981860407872,16,1,11,0.8
ACCL,0.07571948431397987,78,0,0,0.45
ACCO,0.11636387592162045,83,0,0,0.2
ACCS,-0.2305087001738986,12,1,30,1.0
ACDC,-0.09143078340896896,30,1,2,0.55
ACEL,0.08160691219031951,79,0,0,0.55
