ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
A,0.06923049591347138,77,0,0,0.35,0.1258
AA,-0.3319382093297143,6,1,24,1.0,0.419
AACB,-0.02287138578514953,49,1,12,0.75,0.1463
AACBU,-0.023471070863182092,49,1,11,0.95,0.1644
AACG,-0.061061192396867706,34,1,9,0.95,0.2687
AAL,0.11443347435090953,84,1,3,0.15,0.1553
AAME,-0.2185592287226128,12,1,51,1.0,0.5163
AAMI,0.10635015772848203,83,0,0,0.5,0.0167
AAOI,-0.4155041204643267,3,1,20,1.0,
AAON,-0.09708452323597323,27,1,13,0.75,0.239
AAP,-0.09802919162924811,27,1,8,0.5,0.1976
AAPG,-0.02033118046827532,51,0,0,0.5,0.3599
AAPL,0.1106043611158107,83,0,0,0.55,0.0
AARD,0.4123776728966738,96,0,0,0.15,
AAT,0.11760130003691169,84,0,0,0.0,0.0235
AAUC,-0.24040644182414114,10,1,19,0.95,0.4094
AB,-0.013735694408738869,54,0,0,0.7,0.16
ABAT,-0.2728637089229246,8,1,22,1.0,0.5305
ABBV,0.08743324110104687,80,1,1,0.1,0.0774
ABCB,0.02502779299831811,67,0,0,0.05,0.0358
ABCL,0.39164735190118183,96,1,4,0.25,0.1851
ABEO,0.28917667358735155,94,0,0,0.05,0.0
ABEV,-0.08346661930370097,29,1,11,0.75,0.1478
ABG,0.06474421181353254,76,0,0,0.1,0.2225
ABLV,0.09052716862301322,80,1,6,0.35,0.1294
ABM,0.07329644682721348,78,0,0,0.0,0.1069
ABNB,0.08344148963261912,79,0,0,0.0,0.0349
ABOS,-0.1323964299735301,21,1,2,0.35,0.414
ABR,-0.15064141623020544,19,1,12,0.95,0.4504
ABSI,0.8558900034951654,98,1,1,0.05,0.1712
ABT,-0.030450688502537158,44,1,3,0.35,0.3379
ABTC,-0.6401015263716664,1,1,47,1.0,0.7907
ABTS,0.005991687593278297,61,1,26,1.0,
ABUS,0.028375388110670245,67,1,3,0.15,0.1389
ABVC,0.05103644441319248,73,1,5,0.25,0.4684
ABVX,0.22997076227758104,92,0,0,0.45,0.0735
ABX,0.13577129411778596,86,0,0,0.05,0.0976
ACA,0.11625731840819198,84,0,0,0.0,0.0319
ACAD,0.16662528165332632,89,0,0,0.1,0.1445
ACB,-0.2067620002184091,13,1,30,1.0,0.4546
ACCL,0.2231988897962299,92,0,0,0.0,0.2963
ACCO,0.02920053307919862,68,1,7,0.5,0.108
ACCS,0.034044953412392526,69,0,0,0.25,0.3321
ACDC,-0.32085595739522876,6,1,21,1.0,0.397
ACEL,-0.036963332708744204,41,1,2,0.5,0.149
ACET,0.07591464241094631,78,0,0,0.15,0.0892
ACFN,0.039405317298365786,70,0,0,0.4,0.2791
ACGL,0.025283420911423556,67,1,1,0.2,0.1394
ACGLN,-0.04248737752681243,39,1,10,0.85,0.1696
ACGLO,-0.03175508312160673,43,0,0,0.85,0.1594
ACH,0.08734314088246956,80,0,0,0.1,0.1087
ACHC,0.22157348932000961,92,0,0,0.15,0.0022
ACHR,-0.1748745744078279,16,1,7,0.95,0.5183
ACHV,0.20879383147697525,91,0,0,0.15,0.041
ACI,-0.11735662333623836,24,1,1,0.85,0.2933
ACIC,-0.09188793333715944,28,1,2,0.3,0.252
ACIU,-0.12581176566064753,22,1,4,0.55,0.4207
ACIW,0.2910552827344156,94,0,0,0.05,0.0
ACLS,-0.10654793759604775,25,1,9,0.45,0.2451
ACM,-0.08368697904978875,29,1,12,0.95,0.3902
ACMR,0.24399029163135824,93,1,3,0.35,0.283
ACN,-0.2204470865519399,12,1,29,1.0,0.5546
ACNB,0.080977561446203,79,0,0,0.0,0.0358
ACNT,0.05006163939470104,73,0,0,0.1,0.236
ACOG,0.33319455367093387,95,0,0,0.05,0.0357
ACON,-0.1964942919478629,14,1,8,0.95,0.3831
ACP,-0.029339642436703478,45,1,5,0.7,0.1261
ACR,-0.10794051752705844,25,1,12,0.95,0.2523
ACRE,-0.07387040379368671,31,0,0,0.95,0.221
ACRS,0.23002889947908114,92,0,0,0.05,
ACRV,0.1489025533181822,87,0,0,0.15,0.1702
ACT,0.0279497358839772,67,1,1,0.15,0.083
ACTG,-0.09582810073665717,27,1,12,0.65,0.2444
ACTU,-0.26902782623008903,8,0,0,0.9,0.7349
ACU,0.04796145045048103,72,0,0,0.05,0.1017
ACV,0.008929295508602289,62,1,3,0.2,0.0597
ACVA,0.30301772429761975,94,0,0,0.05,0.222
ACXP,-0.08684921251580935,29,0,0,0.8,
AD,-0.16749585228038652,17,1,21,1.0,0.2309
ADACU,-0.025132600907449548,48,1,10,0.6,0.1414
ADAG,-0.029668292754732647,44,1,8,0.5,0.3107
ADAM,0.04552508291272114,72,0,0,0.35,0.0606
ADAML,-0.00031347537106871104,59,0,0,0.3,0.0964
ADAMM,-0.012019922774750297,55,0,0,0.5,0.0957
ADAMN,0.028885455749600497,68,0,0,0.2,0.0395
ADAMZ,0.0029173829851743965,60,0,0,0.1,0.1099
ADBE,-0.007650119901440544,56,0,0,0.65,0.3272
ADC,-0.006369887079622865,57,0,0,0.2,0.1423
ADCT,-0.24770251880619001,9,1,59,1.0,
ADEA,-0.1351922498360417,21,1,9,0.6,0.2179
ADGM,-0.4130235798778278,3,1,55,1.0,0.6898
ADI,-0.06908646442632801,32,1,13,0.7,0.1345
ADIL,0.3580915778876389,95,0,0,0.05,0.5705
ADM,0.019454259807006283,65,0,0,0.65,0.039
ADMA,-0.03342485976291795,42,1,2,0.25,0.5594
ADNT,-0.1289609919972543,22,1,20,1.0,0.339
ADP,0.1272853657435716,85,0,0,0.25,0.1216
ADPT,0.4551148899325719,97,0,0,0.0,0.0
ADSE,0.014325532144445902,64,1,1,0.4,0.1537
ADSK,-0.053098726169700225,36,1,2,0.85,0.2995
ADT,-0.04112246990686981,39,1,2,0.7,0.2396
ADTN,-0.2633466193543092,9,1,27,1.0,0.3927
ADUR,0.005107447110885108,61,1,1,0.35,0.2205
ADUS,0.14269069684472904,86,0,0,0.0,0.1578
ADV,0.03674352163135711,69,1,2,0.55,0.2125
ADVB,0.03710360524655537,70,0,0,0.1,0.3057
ADX,0.03273787319408113,69,0,0,0.1,0.0013
ADXN,-0.11254213989887149,24,0,0,0.8,0.3289
AEAQU,-0.02547697174842553,48,1,4,0.7,0.1516
AEBI,0.03212836236452779,68,0,0,0.5,0.268
AEC,-0.060983873395623965,34,0,0,0.75,0.5753
AEE,-0.013972879893922523,54,1,2,0.3,0.146
AEF,-0.05367611933748419,36,1,10,0.55,0.0983
AEG,0.07126432277833196,77,0,0,0.0,0.0
AEHL,-0.32959568834746356,6,1,37,1.0,
AEHR,-0.1380803105245874,20,0,0,0.75,0.2467
AEI,-0.23978895537440992,10,1,9,0.85,0.679
AEIS,-0.18429776214688948,15,1,9,0.5,0.2858
AEM,-0.24871594535381739,9,1,18,0.9,0.4886
AEMD,-0.7078168308646103,1,1,30,1.0,0.8096
AENT,-0.0475345463907339,38,1,2,0.4,0.3125
AEO,-0.028414827821586996,45,0,0,0.6,0.3865
AEON,-0.6472415793542409,1,1,11,0.85,0.801
