ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.11676838534275616,84,0,0,0.15
AA,-0.1402566496725592,19,0,0,0.8
AACB,-0.03570713251529413,43,1,8,0.55
AACBU,-0.033678247760789266,45,1,8,0.6
AACG,-0.14705575871923024,18,1,11,0.95
AACIU,-0.03255412216901485,46,1,8,0.55
AAL,-0.021081331132792484,52,1,5,0.8
AAME,-0.21475539514695388,11,1,71,1.0
AAMI,0.16544206659861393,88,0,0,0.0
AAOI,-0.10174260023975105,24,0,0,0.65
AAON,-0.33476348338065365,5,1,33,1.0
AAP,-0.0851390875334152,27,1,5,0.7
AAPG,-0.046024507692600775,38,0,0,0.55
AAPL,-0.0459038396401797,38,1,9,0.45
AARD,0.3087675789100133,94,1,1,0.1
AAT,-0.09715120648174569,25,1,16,0.8
AAUC,-0.11714361605131937,22,0,0,0.85
AB,-0.04290961025932512,39,1,10,0.5
ABAT,-0.17961836147803403,14,0,0,0.8
ABBV,0.04780665884464695,72,1,8,0.4
ABCB,-0.029510922078892027,48,1,10,0.7
ABCL,0.7375210243029057,98,0,0,0.75
ABEO,0.15719975390794508,87,0,0,0.35
ABEV,-0.14521226114315913,18,1,9,0.6
ABG,-0.015271483145241509,54,1,7,0.35
ABLV,-0.3058731789324124,6,1,25,1.0
ABM,0.06125108295720125,75,1,5,0.25
ABNB,0.2546875470003541,92,0,0,0.25
ABOS,-0.03163632240380361,47,0,0,0.85
ABR,-0.029271222496920574,48,1,1,0.65
ABSI,0.21841069347305656,91,0,0,0.8
ABT,0.22795141347405004,91,0,0,0.0
ABTC,-0.14960023438957015,17,0,0,0.85
ABTS,0.10045565715539678,81,0,0,0.55
ABUS,-0.0067036562053103405,57,1,1,0.9
ABVC,-0.2713799805174994,8,1,24,1.0
ABVX,0.012710682061067138,63,1,2,0.5
ABX,-0.20076270785300335,12,1,11,0.9
ACA,0.040368845632567235,70,1,7,0.35
ACAD,0.22339314949993402,91,0,0,0.05
ACB,0.2789974125679623,94,0,0,0.45
ACCL,0.679995375381568,98,0,0,0.0
ACCO,0.0673994882480324,76,0,0,0.1
ACCS,-0.29119186492548355,7,1,9,0.75
ACDC,-0.18399300984880398,14,0,0,0.9
ACEL,-0.058457005483412094,33,1,9,0.85
ACET,-0.014274720278920221,55,1,4,0.55
ACFN,0.029834773484613927,68,1,9,0.45
ACGL,-0.032788735446030455,46,1,9,0.5
ACGLN,-0.033889642575362686,45,1,7,0.4
ACGLO,-0.03375490578205471,45,1,7,0.35
ACH,-0.6822073913126027,1,1,7,0.7
ACHC,0.0888156409950909,80,1,5,0.5
ACHR,0.1628549056129276,88,0,0,0.45
ACHV,0.0785636580487944,78,0,0,0.05
ACI,-0.23048692801860934,10,1,16,0.8
ACIC,-0.11655649077712445,22,1,7,0.8
ACIU,0.04201914185914499,71,0,0,0.85
ACIW,0.046940567350642476,72,1,5,0.3
ACLS,-0.11730969137563844,22,0,0,0.95
ACM,-0.15366568330931554,17,1,3,0.4
ACMR,-0.10381236971099575,24,1,16,0.95
ACN,0.17210781780761825,88,0,0,0.15
ACNB,0.09137812130666717,80,0,0,0.1
ACNT,-0.014203407543324595,55,1,7,0.35
ACOG,0.2445904084775404,92,0,0,0.0
ACON,-0.2376971713316336,9,1,27,1.0
ACP,-0.032423528603961,46,1,12,0.75
ACR,-0.26656282362646344,8,1,10,0.75
ACRE,-0.0036116717351089497,58,0,0,0.3
ACRS,0.1395063248095799,86,0,0,0.25
ACRV,-0.0501453382358612,36,0,0,0.75
ACT,0.08456814811569902,79,0,0,0.15
ACTG,-0.006605096887432729,57,1,2,0.45
ACTU,-0.5007877937318703,2,1,19,0.95
ACU,0.28426174507647584,94,0,0,0.1
ACV,-0.025096913416125504,50,1,14,0.95
ACVA,0.17800705130726346,89,0,0,0.25
ACXP,-0.12113041356376052,22,0,0,0.8
AD,-0.08859966588433096,26,1,10,0.95
ADAC,-0.02959499251402859,48,1,8,0.6
ADACU,-0.03205899447928357,46,1,8,0.6
ADAG,-0.010924227332126946,56,1,1,0.6
ADAM,0.09790246323310833,81,0,0,0.45
ADAML,-0.017687640078803874,53,1,8,0.4
ADAMM,-0.019311877660356684,52,1,8,0.4
ADAMN,-0.0007472048815047178,59,0,0,0.45
ADAMZ,-0.04026709600338904,40,1,8,0.45
ADBE,0.11714194878493078,84,0,0,0.1
ADC,-0.0634232170761363,32,1,10,0.5
ADCT,-0.14036233789892194,19,0,0,0.9
ADEA,-0.09629775066787981,25,1,5,0.85
ADGM,-0.025885012330238273,50,0,0,0.65
ADI,-0.08554565352807962,27,1,3,0.95
ADIL,0.9201997233183774,98,0,0,0.05
ADM,-0.052021583602955807,35,1,11,0.55
ADMA,0.09801444587729594,81,0,0,0.5
ADNT,-0.12807393713032092,20,1,6,0.5
ADP,0.12237719888950196,84,0,0,0.0
ADPT,0.3788418747004857,96,0,0,0.0
ADSE,-0.017477798959402005,53,1,7,0.4
ADSK,0.14392611403716005,86,0,0,0.1
ADT,0.04770033619838206,72,1,1,0.1
ADTN,-0.44513376971180574,3,1,47,1.0
ADUR,-0.024705650902650672,50,0,0,0.6
ADUS,0.12596378575599151,85,0,0,0.05
ADV,-0.24519795843291883,9,1,5,0.8
ADVB,0.5672647939720628,98,1,9,0.5
ADX,0.023743890678009506,66,0,0,0.4
ADXN,-0.06940604852595011,30,0,0,0.8
AEAQ,-0.03289949833127547,45,1,8,0.6
AEAQU,-0.012011675730203938,55,1,7,0.5
AEBI,0.04730002121308813,72,1,5,0.25
AEC,0.037132880685361955,70,0,0,0.6
AEE,-0.055031985629916624,34,1,11,0.75
AEF,-0.017952992485433177,53,0,0,0.85
AEG,0.0643535809996901,75,1,2,0.1
AEHL,3.913543950357591,99,0,0,0.85
AEHR,0.5023127474560842,97,0,0,0.45
AEI,-0.22592359041068413,10,1,3,0.95
AEIS,0.010224232374462176,62,0,0,0.6
AEM,0.14321172264871135,86,0,0,0.65
AEMD,1.9592607937952693,99,0,0,0.65
AENT,-0.08451547799143555,27,1,9,0.65
AEO,-0.05836035756287511,33,1,2,0.3
AEON,-0.47214742616121697,3,1,31,1.0
AEP,-0.08945717191227835,26,1,11,0.8
AER,0.011547826230976124,63,1,4,0.3
AERO,-0.040727596681429515,40,1,27,1.0
AERT,0.28000523063311733,94,0,0,0.75
AES,-0.024691332119859872,50,1,9,0.45
AESI,-0.309639404130192,6,1,31,1.0
AEVA,0.18085423877610565,89,0,0,0.6
AEXA,-0.032221068471044015,46,1,12,0.8
AEYE,-0.23123497148624575,10,1,18,0.9
AFB,-0.05898061496598245,33,1,10,0.85
AFCG,-0.11443736670373775,22,1,41,1.0
AFG,0.025848880176509312,67,1,4,0.35
AFJK,-0.3970057894610107,4,1,43,1.0
AFJKU,-0.706822705890629,1,1,48,1.0
AFL,-0.02394310883627588,51,1,7,0.35
AFRI,0.012874956814396085,63,1,2,0.3
AFRM,-0.04839029213645751,37,1,5,0.85
AFYA,-0.07965663554986536,28,1,8,0.8
AG,0.025494136033301626,67,0,0,0.65
AGBK,-0.15816171094372186,17,1,6,0.7
AGCC,-0.057112617082859016,34,1,9,0.7
AGCO,-0.1467568127283782,18,1,10,0.65
AGD,-0.006832642636295343,57,1,1,0.4
AGEN,0.6524095811985745,98,0,0,0.0
AGI,-0.025055055457355736,50,0,0,0.7
AGIG,-0.24919237936172506,9,1,14,0.8
AGIO,-0.01687016389683936,53,1,16,0.8
AGL,-0.12234595089893538,21,1,4,0.65
AGM,0.22645088454839304,91,0,0,0.0
AGMB,0.17607333971015457,88,0,0,0.25
AGMH,-0.07225519561964985,30,0,0,0.7
AGNC,-0.013067980216828194,55,1,9,0.7
AGNCL,-0.016831800079310573,53,1,7,0.5
AGNCM,-0.01957942223569932,52,1,7,0.35
AGNCN,-0.016578951196029826,54,1,7,0.4
AGNCO,-0.019170708126479735,52,1,7,0.4
AGNCP,-0.02169687872204315,51,1,8,0.45
AGNCZ,-0.024428019569343724,50,1,7,0.45
AGNT,-0.1487274261902273,18,1,27,1.0
AGO,-0.09460948513094194,25,1,9,0.45
AGPU,0.1132728700103422,83,1,2,0.4
AGRO,-0.21301663743070798,11,1,13,0.75
AGRZ,-0.3820588534365308,4,1,10,0.95
AGX,-0.1337312554295861,20,1,29,1.0
AGYS,0.13728648354418038,86,1,5,0.45
AHCO,-0.4814219184843207,3,1,8,0.4
AHG,-0.08560650064339412,27,1,7,0.6
AHMA,0.01638730453288985,64,1,1,0.8
AHR,-0.0063167104110981726,57,1,8,0.4
AHRT,-0.050341177810149296,36,1,8,0.4
AHT,-0.05044151239496372,36,1,8,0.4
AI,0.009987649663483221,62,0,0,0.4
AIDX,-0.3954510170117098,4,1,120,1.0
AIFA,0.23925022922617675,92,0,0,0.8
AIFC,-0.3669779461662257,5,1,60,1.0
AIFF,-0.2128051890784296,11,1,3,0.95
AIFU,-0.1085257889468018,23,1,32,1.0
AIG,-0.05068252269133367,36,1,9,0.5
AIHS,0.17985907754665817,89,0,0,0.4
AII,0.21614287135143503,91,0,0,0.15
AIIA,-0.03145053141521667,47,1,8,0.6
AIIO,0.08896053443838739,80,1,18,0.9
AIIR,-0.14688905245742423,18,0,0,0.85
AIM,-0.21773056304299296,11,1,3,0.9
AIMD,-0.23862896642186732,9,1,26,1.0
AIN,-0.1279562139309373,20,1,8,0.4
AIO,-0.011107389201409561,56,0,0,0.95
AIOS,-0.1875020608916567,14,1,9,0.95
AIOT,-0.25581012875466713,8,1,3,0.6
AIP,-0.18640174360303288,14,1,28,1.0
AIR,0.1275235439368426,85,0,0,0.25
AIRE,-0.2233231736998994,11,1,79,1.0
AIRG,-0.20588585415195976,12,1,44,1.0
AIRI,-0.12653683799208007,21,1,26,1.0
AIRJ,0.5295806771613204,97,0,0,0.35
AIRO,0.09731943309889973,81,0,0,0.4
AIRS,-0.3131087656857683,6,1,3,0.3
AIRT,0.08127753284874242,78,1,1,0.05
AIRTP,-0.03787669522099934,42,1,9,0.7
AISP,-0.18088957021979798,14,0,0,0.95
AIT,0.05574524886974694,74,1,2,0.1
AIV,-0.12109203577662539,22,1,28,1.0
AIXC,-0.36348141733075356,5,1,35,1.0
AIXI,-0.7291642620031525,1,1,54,1.0
AIZ,0.02697660526730461,67,1,3,0.2
AJG,0.07132580695863794,77,0,0,0.45
AKA,0.018471105287810187,65,1,4,0.25
AKAM,-0.10944464123744543,23,0,0,0.75
AKAN,-0.5966169763655051,1,1,37,1.0
AKBA,-0.27005219934341385,8,1,7,0.5
AKR,-0.07507516569918271,29,1,8,0.4
AKTS,0.08094088265541387,78,1,22,1.0
AKTX,-0.15637020298446805,17,1,21,1.0
ALAB,-0.025734318336720685,50,1,6,0.95
ALAR,-0.5054853523181131,2,1,36,1.0
ALB,-0.17220952366051254,15,0,0,0.8
ALC,0.06585822968052295,76,0,0,0.3
ALCO,-0.023967144009017578,51,0,0,0.85
ALDF,-0.02847468796105725,49,1,8,0.55
ALDFU,-0.03448662852389418,44,1,8,0.6
ALDX,-0.2021744114334698,12,1,22,1.0
ALEC,0.344776897402325,95,0,0,0.7
ALF,-0.03987546357184447,41,1,9,0.65
ALFUU,-0.046823505392737934,37,1,8,0.6
ALG,0.008922430055792477,62,1,1,0.4
ALGM,-0.18180439304863846,14,1,24,1.0
ALGN,-0.04527868228863555,38,1,10,0.9
ALGS,0.14890459822763327,87,0,0,0.75
ALGT,-0.12131484297824001,21,1,7,0.95
ALH,-0.023842797298932634,51,1,2,0.45
ALHC,-0.3721269123760028,4,1,16,0.9
ALIS,-0.033309383922934026,45,1,8,0.6
ALISU,-0.030355831640796867,48,1,8,0.55
ALIT,-0.2130210499765204,11,1,6,0.4
ALK,0.016008863259147438,64,1,3,0.55
ALKS,0.047127043222138315,72,1,12,0.6
ALKT,0.2011930017251925,90,0,0,0.2
ALL,0.06073659086648307,75,1,2,0.15
ALLE,0.2094759029121469,90,0,0,0.05
ALLO,0.03127202645988547,68,0,0,0.65
ALLR,0.029508330876383715,68,0,0,0.55
ALLT,-0.09333929839075418,26,1,1,0.85
ALLY,-0.01705675092480296,53,1,16,0.8
ALM,-0.20099572093411353,12,0,0,0.9
ALMS,0.014199783978014635,63,1,7,0.5
ALMU,-0.1577141003701534,17,0,0,0.8
ALNT,0.3441001114167186,95,0,0,0.5
ALNY,-0.2548519972071883,9,1,10,0.9
ALOT,0.3728692517199881,96,1,7,0.35
ALOVU,-0.03879314356417858,41,1,9,0.65
ALOY,0.08683807262023588,79,0,0,0.7
ALP,-0.43732717399477683,3,1,20,1.0
ALRM,0.106538137126827,82,0,0,0.0
ALRS,0.09848075825173927,81,0,0,0.15
ALSN,0.0264445832186391,67,0,0,0.5
ALT,-0.008864537125975853,56,1,2,0.55
ALTG,0.13394756543927608,85,0,0,0.6
ALTI,0.23408200738588444,92,0,0,0.25
ALTO,-0.28596378592159577,7,1,6,0.85
ALUB,-0.02994058720572747,48,1,8,0.6
ALV,-0.0567844682910945,34,1,7,0.6
ALVO,0.06866681813547504,76,0,0,0.45
ALX,0.01696860013041762,64,1,13,0.65
ALXO,0.07792865246004997,78,1,1,0.45
ALZN,0.22888270916037493,91,0,0,0.0
AM,-0.013603444430612982,55,1,12,0.65
AMAL,0.10578436813891487,82,0,0,0.05
AMAT,-0.026294899381387023,50,0,0,0.95
AMBA,0.12889639704091443,85,0,0,0.35
AMBO,-0.1418565496748057,19,1,13,0.8
AMBP,0.17442707567921525,88,0,0,0.2
AMBQ,-0.22123653091200227,11,1,21,1.0
AMBR,-0.17576880102506542,15,1,12,0.95
AMC,0.31740826248739273,95,0,0,0.15
AMCI,-0.09008770838800999,26,1,8,0.65
AMCR,0.09695786107024593,81,0,0,0.0
AMCX,0.20030628340501824,90,0,0,0.15
AMD,-0.08591755124196926,27,1,14,0.85
AME,0.08131307930839016,78,0,0,0.0
AMG,0.012721575846198901,63,1,5,0.4
AMGN,0.14926673073461352,87,0,0,0.05
AMH,-0.016273870116052164,54,1,6,0.55
AMIX,0.18158583444220935,89,1,1,0.7
AMKR,-0.2720257917025841,8,1,30,1.0
AMLX,0.4663600882043253,97,0,0,0.05
AMN,-0.003196930612645879,58,1,2,0.35
AMOD,-0.2167352860206457,11,0,0,0.7
AMP,0.12671528516721814,85,0,0,0.0
AMPG,0.11577590733370927,83,0,0,0.85
AMPH,-0.00861987362826834,56,1,2,0.55
AMPL,0.5407692197790824,97,0,0,0.2
AMPX,-0.14340469512275045,18,0,0,0.7
AMPY,-0.03974125250591235,41,0,0,0.7
AMR,-0.08555775902588832,27,0,0,0.85
AMRC,-0.0002963206312302305,59,0,0,0.65
AMRN,-0.07811196925512873,29,1,10,0.95
AMRX,0.0951052003601158,81,1,5,0.25
AMRZ,-0.11230958211477783,23,1,4,0.9
AMS,0.009923297482427637,62,0,0,0.55
AMSC,-0.2198063157089182,11,1,36,1.0
AMSF,-0.17671516400080226,15,1,16,0.85
AMST,-0.044693622906724975,38,1,29,1.0
AMT,-0.06867337934847909,31,1,8,0.8
AMTB,0.16129814523172714,87,0,0,0.05
AMTD,-0.26601381647855993,8,1,33,1.0
AMTM,0.002281657675619303,60,1,2,0.25
AMTX,-0.07888561408658579,29,0,0,0.8
AMWL,0.2971131978605285,94,0,0,0.1
AMX,-0.16708094904015033,16,1,13,0.65
AMZE,-0.8075048734011637,0,1,33,1.0
AMZN,0.03458443826737112,69,0,0,0.35
AN,0.028994928776916923,68,1,5,0.25
ANAB,-0.13451336448116624,20,1,21,1.0
ANDE,-0.13427208016324343,20,1,12,0.6
ANDG,0.23684312862681636,92,0,0,0.0
ANET,0.23711273874560354,92,0,0,0.25
ANF,0.24449263202865154,92,0,0,0.0
ANGH,0.041993720439447074,71,0,0,0.75
ANGI,-0.27979501538361873,7,1,6,0.65
ANGO,0.2473959083523987,92,0,0,0.0
ANGX,0.03316200118595629,69,1,2,0.1
ANIK,0.4203400648437039,96,0,0,0.35
ANIP,-0.10728587273498348,24,1,4,0.85
ANIX,0.0774718959445771,78,1,8,0.4
ANL,0.24690461698485797,92,0,0,0.0
ANNA,-0.2852476074945373,7,1,12,0.6
ANNX,-0.03870228923312071,41,1,3,0.8
ANPA,-0.2129105013872445,11,1,2,0.85
ANRO,0.16473700982078082,88,0,0,0.0
ANSC,-0.03420135749569881,44,1,8,0.55
ANSCU,-0.044303476020577263,38,1,7,0.5
ANTA,-0.3041907782360257,6,1,60,1.0
ANTX,0.3662765190040774,95,0,0,0.15
ANVS,-0.059214093888370456,33,1,1,0.65
ANY,-0.04783993694797401,37,1,5,0.7
AOD,0.00885754729153726,62,1,1,0.3
AOMR,-0.009246864105849257,56,1,8,0.55
AON,-0.007106285574402363,57,1,9,0.45
AORT,0.24565556684425652,92,0,0,0.1
AOS,0.017570587486198205,65,1,1,0.5
AOSL,-0.07383864623793818,30,0,0,0.85
AOUT,0.05672009506014726,74,1,12,0.65
AP,-0.04151618376556745,40,0,0,0.6
APA,0.08970013839492491,80,0,0,0.15
APAC,-0.03188722832767938,47,1,8,0.55
APACU,-0.040623000413685856,40,1,8,0.65
APAM,0.12086552304068446,84,0,0,0.0
APC,-0.10437007385053855,24,1,7,0.35
APD,0.0008753625700482562,59,1,1,0.4
APEI,-0.22687488352239024,10,1,5,0.8
APG,0.0007606520708001649,59,0,0,0.8
APGE,0.2702775767756318,93,1,6,0.3
APH,0.09925835674062139,81,0,0,0.4
API,0.017339727811400793,64,0,0,0.8
APLD,-0.12427931406483626,21,0,0,0.9
APLE,-0.023757368901502103,51,1,9,0.45
APLM,0.16581444494551248,88,1,13,0.65
APO,0.06091437636067008,75,0,0,0.4
APOG,0.08982428989642768,80,0,0,0.2
APP,-0.38600204678542094,4,1,24,1.0
APPF,0.10572839543816304,82,0,0,0.2
APPN,0.41468294992640475,96,0,0,0.15
APPS,0.6018706208580789,98,0,0,0.65
APRE,-0.14724237071540705,18,0,0,0.95
APT,-0.04099637781172853,40,0,0,0.7
APTV,-0.2305478635216304,10,1,10,0.9
APUS,-0.5501523048511945,2,1,10,0.95
APVO,-0.24988332006467903,9,1,16,0.85
APWC,0.050688935466223925,73,0,0,0.55
APXT,-0.03073403041965425,47,1,8,0.55
APXTU,-0.04169016941824712,40,1,9,0.55
APYX,-0.34512763678260716,5,1,6,0.9
AQB,0.42472943381842776,96,0,0,0.7
AQMS,-0.14783397562596856,18,1,3,0.9
AQN,-0.04874142349958322,36,1,9,0.5
AQST,-0.010201116239189928,56,0,0,0.85
AR,0.028520844553234143,68,0,0,0.55
ARAI,-0.4796455121181782,3,1,79,1.0
ARAY,-0.07234100163774715,30,0,0,0.55
ARBB,-0.14483749599435913,18,1,39,1.0
ARBE,-0.19272201098887098,13,0,0,0.75
ARBK,-0.21631179595614838,11,1,28,1.0
ARCB,-0.080363821818765,28,1,13,0.65
