ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
A,0.008993372834932734,58,1,2,0.3,0.1899
AA,-0.35578264660649744,5,1,17,0.85,0.4008
AACB,-0.03602040978613872,43,1,5,0.45,0.1468
AACBU,-0.12231547407106202,23,1,5,0.8,0.1638
AACG,-0.10855745798283062,25,1,2,0.95,0.2652
AAL,0.38866719028981045,95,0,0,0.0,0.0362
AAME,-0.24079085793556865,10,1,44,1.0,0.4902
AAMI,0.14335167004953736,83,0,0,0.5,0.0587
AAOI,-0.25725891762592346,9,1,13,0.8,
AAON,-0.04846399290487983,37,1,6,0.65,0.2609
AAP,-0.03780381666974049,42,1,1,0.15,0.1322
AAPG,-0.09606173827761982,27,0,0,0.85,0.3827
AAPL,0.04384703128318728,65,0,0,0.8,0.0038
AARD,0.36195168626338187,94,0,0,0.5,
AAT,0.13200939493532762,82,0,0,0.0,0.0304
AAUC,-0.17356252047945772,16,1,12,0.95,0.3475
AB,-0.06327288668253961,33,0,0,0.9,0.1842
ABAT,-0.17345392613248134,16,1,15,0.9,0.506
ABBV,0.15608443223477383,84,0,0,0.1,0.0326
ABCB,0.05938637327850289,69,0,0,0.0,0.0293
ABCL,0.6057463574022782,97,0,0,0.25,0.0441
ABEO,0.09268549151539504,75,0,0,0.3,0.0226
ABEV,-0.024830965456362687,47,1,4,0.55,0.1325
ABG,0.04882831615276987,66,0,0,0.1,0.2562
ABLV,0.30776044543516523,93,1,1,0.05,0.0753
ABM,0.09114351544665814,75,0,0,0.0,0.1426
ABNB,0.06421968892206342,70,0,0,0.25,0.0351
ABOS,0.06000224835065573,69,0,0,0.5,0.2919
ABR,-0.24197541162597272,10,1,5,0.95,0.4555
ABSI,1.2979142138369897,99,0,0,0.0,0.0155
ABT,0.020746851108811935,61,0,0,0.3,0.3049
ABTC,-0.47234444140426735,2,1,40,1.0,0.7301
ABTS,-0.268336698046948,9,1,19,0.95,
ABUS,0.08904600923044506,75,0,0,0.35,0.0701
ABVC,0.5899396381524761,97,0,0,0.1,0.249
ABVX,0.3669679482521333,94,0,0,0.8,0.0212
ABX,0.3675553817735111,94,0,0,0.15,0.0
ACA,0.16755668899810136,85,0,0,0.05,0.0238
ACAD,0.13809338651424558,82,0,0,0.25,0.1455
ACB,-0.25225260541345285,10,1,23,1.0,0.4418
ACCL,0.14845913469776942,83,0,0,0.0,0.494
ACCO,0.09411350625333992,76,0,0,0.2,0.0745
ACCS,-0.06060867865596188,34,0,0,0.6,0.4009
ACDC,-0.3814973584329333,4,1,14,0.85,0.4318
ACEL,0.011980658581079419,58,1,4,0.2,0.1401
ACET,0.11697917044377179,80,0,0,0.35,0.0438
ACFN,-0.07567107069057186,31,1,1,0.65,0.3232
ACGL,0.07208259115499843,71,0,0,0.45,0.1067
ACGLN,-0.054770485739171225,35,1,3,0.85,0.1667
ACGLO,-0.05723033848696238,35,1,5,0.95,0.1706
ACH,0.23284323747843325,90,0,0,0.2,0.102
ACHC,0.15678198464106832,84,0,0,0.35,0.0341
ACHR,-0.15519197443444088,19,0,0,0.95,0.4563
ACHV,0.4519141859754001,96,0,0,0.15,0.0182
ACI,-0.1671052734099273,17,1,18,0.9,0.3085
ACIC,0.029285747465557822,62,0,0,0.45,0.158
ACIU,-0.08985498378331642,28,1,1,0.7,0.3809
ACIW,0.27873409309379876,92,0,0,0.1,0.0
ACLS,-0.013719936643411125,51,1,2,0.15,0.2679
ACM,-0.14620974636786258,20,1,5,0.95,0.3808
ACMR,0.5735922947180528,97,1,2,0.1,0.2282
ACN,-0.29245016580746647,7,1,22,1.0,0.5625
ACNB,0.13247820865140536,82,0,0,0.0,0.0285
ACNT,0.06984016810409549,71,0,0,0.3,0.2187
ACOG,0.2618917793831147,91,0,0,0.2,0.0074
ACON,-0.15366427062579022,19,1,1,0.85,0.657
ACP,-0.01845754138611573,50,1,1,0.65,0.1136
ACR,-0.1298095726901014,22,1,5,0.95,0.2331
ACRE,-0.0996596462106176,27,1,15,0.8,0.2242
ACRS,0.2023165187336189,88,0,0,0.4,
ACRV,0.02596856196854868,62,0,0,0.5,0.4491
ACT,0.06672323593949697,70,0,0,0.15,0.0625
ACTG,-0.11718714621197268,24,1,5,0.55,0.2323
