ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.04975205021015128,74,1,1,0.2
AA,-0.24288005843711793,11,1,38,1.0
AACB,-0.03111852951969139,49,1,3,0.55
AACBU,-0.08298029838183268,30,1,3,0.6
AACG,-0.19557715021024288,15,1,5,0.95
AAL,0.0766833057402146,80,0,0,0.7
AAME,-0.22319793361595205,12,1,65,1.0
AAMI,0.19895037991800715,93,0,0,0.0
AAOI,-0.13609420458600313,21,0,0,0.95
AAON,-0.19785886388714793,15,1,27,1.0
AAP,0.004619899152277382,62,0,0,0.75
AAPG,-0.1737369528595133,17,1,6,0.45
AAPL,-0.018711558077730443,55,1,3,0.15
AARD,0.4108429901681978,97,0,0,0.05
AAT,-0.044902419421781734,40,1,10,0.5
AAUC,-0.2959424361006321,8,1,33,1.0
AB,-0.03937015339144044,43,1,4,0.3
ABAT,-0.2957917730884716,8,1,36,1.0
ABBV,0.020714600585233903,67,1,3,0.15
ABCB,-0.008034148342964967,59,1,4,0.45
ABCL,-0.06466009993316578,34,1,18,0.9
ABEO,0.09416480893328183,83,0,0,0.35
ABEV,-0.039694095630795664,43,1,3,0.6
ABG,0.08761787693652738,82,1,1,0.05
ABLV,-0.28631313360088406,8,1,20,1.0
ABM,0.14295761526781497,89,0,0,0.0
ABNB,0.023951204528463235,68,1,1,0.25
ABOS,-0.14276693591773107,21,1,16,0.8
ABR,-0.08035835309115787,31,1,4,0.8
ABSI,0.061142279731604604,77,1,15,0.75
ABT,0.12794192448574546,87,0,0,0.15
ABTC,-0.47328662061488225,3,1,61,1.0
ABTS,-0.11920756975439438,24,0,0,0.75
ABUS,-0.08547514477149909,30,1,13,0.8
ABVC,-0.3001677539553532,8,1,19,0.95
ABVX,0.028748304625293264,69,1,6,0.35
ABX,0.04503641046489153,73,1,5,0.6
ACA,0.05115916828402983,74,1,2,0.1
ACAD,0.11521723736651304,86,0,0,0.05
ACB,-0.10706866704839393,26,1,1,0.75
ACCL,0.6804522907755866,98,0,0,0.0
ACCO,0.060836602133548065,77,0,0,0.35
ACCS,-0.08344528537754065,30,1,3,0.45
ACDC,-0.2992173918482256,8,1,35,1.0
ACEL,-0.03530930263822593,45,1,4,0.8
ACET,0.04224198001980345,72,0,0,0.4
ACFN,0.015913806291537644,65,1,3,0.25
ACGL,0.004649393841350297,62,1,3,0.25
ACGLN,-0.03271415897209092,47,1,2,0.4
ACGLO,-0.025509481409700357,52,1,2,0.3
ACH,-0.1321403301760014,22,1,1,0.45
ACHC,0.07099474671108366,79,1,5,0.25
ACHR,-0.11391767374919126,25,0,0,0.75
ACHV,0.15448585221184657,90,0,0,0.05
ACI,-0.21992694234228982,13,1,10,0.65
ACIC,-0.026497884705202177,52,1,1,0.65
ACIU,-0.15035661295115552,20,1,3,0.85
ACIW,0.14626888766274979,89,1,1,0.05
ACLS,-0.07709087729713049,31,1,23,1.0
ACM,0.004100296185828849,62,0,0,0.55
ACMR,-0.016912295278121048,56,1,10,0.85
