ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.042935537114310286,73,1,4,0.35
AA,-0.12851482379676968,25,1,8,0.4
AACB,-0.04210723149500315,49,1,2,0.65
AACBU,-0.04052156159363862,50,1,7,0.7
AACG,-0.07785791893233442,34,1,18,0.9
AAL,0.28750249254238447,92,0,0,0.1
AAME,-0.2839627547286409,8,1,35,1.0
AAMI,0.09712935992737706,81,1,2,0.1
AAOI,0.19888621756944877,89,1,4,0.45
AAON,0.2253293849657301,90,0,0,0.3
AAP,0.009012645977179067,65,1,1,0.15
AAPG,-0.23890196505327357,11,1,44,1.0
AAPL,0.01461059284641391,67,1,9,0.45
AARD,-0.1475949736018875,22,0,0,0.95
AAT,0.13858203289940824,85,0,0,0.0
AAUC,-0.15122184858503102,21,1,3,0.95
AB,-0.10544288612150832,29,1,7,0.95
ABAT,-0.1035880204282078,29,1,6,0.5
ABBV,0.052753511646160704,75,0,0,0.25
ABCB,0.009179133432506384,66,0,0,0.45
ABCL,0.34569087488267025,94,0,0,0.25
ABEO,0.06792866296765782,77,0,0,0.45
ABEV,-0.026900939787954856,55,1,4,0.7
ABG,-0.019969003947724454,58,0,0,0.5
ABLV,0.22626616392486096,90,0,0,0.0
ABM,0.06614939032498612,77,0,0,0.45
ABNB,-0.028789134201323584,55,0,0,0.7
ABOS,-0.09739390007292936,30,0,0,0.7
ABR,-0.27058025188646817,9,1,31,1.0
ABSI,1.0106623838962194,98,0,0,0.0
ABT,-0.10286665893566943,29,1,3,0.65
ABTC,-0.3181086002595818,6,1,31,1.0
ABTS,0.039005188389215344,72,1,10,0.75
ABUS,-0.015078935005787213,59,0,0,0.6
ABVC,0.07666070344148557,78,0,0,0.1
ABVX,-0.18495603055603826,17,1,14,0.7
ABX,0.004690837368714139,64,0,0,0.55
ACA,0.21885268211641448,90,0,0,0.4
ACAD,-0.007327008232221384,61,0,0,0.7
ACB,-0.22007160559600372,13,1,14,0.85
ACCL,0.1763933102805845,88,0,0,0.35
ACCO,0.09052567793005567,80,1,3,0.35
ACCS,-0.18958876348826867,16,1,33,1.0
ACDC,-0.1867323190948569,17,1,5,0.7
ACEL,0.05531086884356993,75,0,0,0.4
ACET,0.02292843204257871,69,0,0,0.45
ACFN,-0.12187896202584694,26,1,2,0.95
ACGL,-0.09755797510185288,30,1,2,0.9
ACGLN,-0.0864092368379302,33,1,57,1.0
ACGLO,-0.08858333558061904,32,1,57,1.0
ACH,0.16252604384237423,87,0,0,0.65
ACHC,-0.030421979997543844,54,0,0,0.75
ACHR,-0.11903657660196526,27,1,12,0.6
ACHV,0.12486345796196885,83,1,2,0.3
ACI,-0.2515966215518691,10,1,9,0.9
ACIC,-0.09569254605990853,31,0,0,0.9
ACIU,-0.18225520378723023,17,0,0,0.95
ACIW,-0.046531346322024346,46,1,1,0.5
ACLS,0.41326633672941765,95,0,0,0.15
ACM,-0.1834010463386123,17,1,76,1.0
ACMR,0.7471110048857255,97,0,0,0.0
ACN,-0.3847707009259876,4,1,13,0.85
ACNB,0.07913526884567504,78,0,0,0.25
ACNT,-0.05243020458152446,42,1,1,0.7
ACOG,0.05385526457316336,75,0,0,0.55
ACON,-0.1266978464044392,25,1,9,0.7
ACP,-0.046093351004154806,46,1,7,0.9
ACR,-0.1599868277296131,20,1,28,1.0
ACRE,-0.125898815082466,25,1,6,0.75
ACRS,0.09320460436685676,80,0,0,0.8
ACRV,-0.14300049787626565,22,0,0,0.95
ACT,-0.04522035077775444,47,0,0,0.6
ACTG,-0.05188582134552465,42,0,0,0.75
ACTU,-0.21385640035474357,14,1,26,1.0
ACU,-0.017344834114924622,59,0,0,0.4
ACV,0.0426883301542841,73,0,0,0.15
ACVA,0.14574294779974575,85,0,0,0.25
ACXP,-0.4028856971851563,4,1,55,1.0
AD,-0.05387222636707198,42,1,5,0.7
ADACU,-0.03267437324471463,53,0,0,0.55
ADAG,0.019706053061079108,68,0,0,0.6
ADAM,0.04504394245056107,74,1,1,0.2
ADAML,-0.030931747595589303,54,1,2,0.65
ADAMM,-0.0418656091711454,49,1,2,0.7
ADAMN,-0.00626009362146536,62,0,0,0.6
ADAMZ,-0.020863312307700912,58,0,0,0.5
ADBE,-0.273297741453892,9,1,10,0.7
ADC,-0.08804725268650967,32,1,5,0.8
ADCT,-0.7472951821892675,0,1,43,1.0
ADEA,0.1481262883976244,86,0,0,0.3
ADGM,-0.38589049658372016,4,1,39,1.0
ADI,0.1553945557662986,86,0,0,0.35
ADIL,0.30737273695375483,93,0,0,0.0
ADM,0.0023546152698527348,64,1,5,0.4
ADMA,-0.19276977425077826,16,0,0,0.8
ADNT,-0.05915723903466348,40,1,4,0.35
ADP,-0.03467460508081738,53,1,5,0.4
ADPT,0.19312189562032167,88,0,0,0.1
