ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,-0.09672934160392514,39,1,25,1.0
AA,0.06079805698373879,81,0,0,0.7
AACB,-0.08363100059300518,47,1,36,1.0
AACBU,-0.09688952406256209,39,1,35,1.0
AACG,-0.021777702619472775,68,1,1,0.4
AAL,0.18984741874104888,89,0,0,0.4
AAME,-0.22505774902472803,13,1,18,0.95
AAMI,0.13065926478951012,86,0,0,0.15
AAOI,0.6985837956629954,97,0,0,0.15
AAON,0.45460025183677355,95,0,0,0.25
AAP,-0.0168143793299831,69,0,0,0.75
AAPG,-0.1823601941967964,19,1,27,1.0
AAPL,0.0865352432369743,83,0,0,0.1
AARD,-0.3239049073532013,6,1,8,0.55
AAT,0.03832274041928933,79,0,0,0.7
AAUC,-0.20856320580613988,15,1,35,1.0
AB,-0.0956446871848914,39,1,15,0.9
ABAT,0.03381520713399515,78,0,0,0.7
ABBV,-0.04511165814560109,62,0,0,0.75
ABCB,-0.050424923726522006,60,1,15,0.95
ABCL,0.39127381120136695,94,0,0,0.25
ABEO,0.05091244034091434,80,0,0,0.5
ABEV,0.027188863401778868,77,0,0,0.5
ABG,-0.13417010577439725,29,1,26,1.0
ABLV,0.3377960561181408,93,0,0,0.35
ABM,-0.0912203278443504,41,1,67,1.0
ABNB,-0.12006009982855011,32,1,19,0.95
ABOS,-0.10527680698160603,36,0,0,0.95
ABR,-0.3514839745058239,5,1,14,0.95
ABSI,0.35529864388773336,93,0,0,0.15
ABT,-0.2315586316911012,12,1,41,1.0
ABTC,-0.09325589579679228,40,1,14,0.8
ABTS,-0.5658151193987969,2,1,66,1.0
ABUS,-0.03419824521322047,65,0,0,0.85
ABVC,0.15052409058630778,87,0,0,0.85
ABVE,-0.35518451622004604,5,1,15,0.95
ABVX,0.05473513420600594,80,0,0,0.65
ABX,-0.060882305991485516,57,1,1,0.8
ACA,-0.002831708573759098,72,0,0,0.4
ACAD,-0.14987900561909517,25,1,20,1.0
ACB,-0.10362269329675677,37,1,3,0.95
ACCL,-0.055137340517216034,59,1,3,0.85
ACCO,0.17861733657469675,88,0,0,0.1
ACCS,-0.2491491808006645,11,1,16,0.95
ACDC,-0.05626441883222048,59,1,3,0.45
ACEL,-0.06395112558374222,56,1,15,0.8
ACET,0.05345723469371856,80,0,0,0.5
ACFN,-0.1743883129835051,20,1,15,0.75
ACGL,-0.14118231089999378,27,1,5,0.95
ACGLN,-0.11104432003649065,35,1,40,1.0
ACGLO,-0.11552218771555978,33,1,40,1.0
ACH,-0.05874148563574935,58,1,11,0.55
