ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.10181453761138888,81,0,0,0.05
AA,-0.026905709738421726,44,1,1,0.35
AACG,-0.09401790564964611,25,1,3,0.6
AACIU,-0.02175271333191879,47,1,6,0.95
AACOU,-0.021138132269984643,48,1,1,0.85
AAL,-0.17568607001897618,13,1,18,0.9
AAME,-0.19156207622159305,12,1,2,0.95
AAMI,0.17336841093292232,87,0,0,0.0
AAOI,-0.10542719017473046,22,1,7,0.4
AAON,-0.2927996326373188,6,1,46,1.0
AAP,-0.30038305567051427,6,1,9,0.85
AAPG,-0.06917452116524321,30,1,1,0.6
AAPL,0.018802799201670342,65,0,0,0.8
AARD,0.06877946978597245,75,1,3,0.4
AAT,-0.08687119901191794,26,1,29,1.0
AAUC,0.10398345309131661,81,0,0,0.2
AB,0.0009405465711454439,60,0,0,0.75
ABAT,0.06552038941532273,75,0,0,0.5
ABBV,0.037339316524699975,69,1,3,0.65
ABCB,-0.06292430474100164,31,1,23,1.0
ABCL,0.7891007917490925,98,0,0,0.1
ABEO,-0.07122356239854222,29,1,13,0.65
ABEV,-0.10879877041382617,22,1,22,1.0
ABG,-0.021708276214420015,48,1,4,0.9
ABLV,0.09262234872297044,79,0,0,0.5
ABM,0.018128064181248613,65,1,3,0.85
ABNB,0.2187958367638107,90,0,0,0.05
ABOS,0.19526917819079753,89,0,0,0.15
ABR,-0.029644290230039547,43,1,4,0.6
ABSI,0.07765295108138083,77,1,2,0.35
ABT,0.11228336274113095,82,1,1,0.05
ABTC,0.06453277813756006,75,0,0,0.2
ABTS,0.22054581750737223,91,0,0,0.2
ABUS,0.10950893748705197,82,0,0,0.35
ABVC,-0.3287820321294825,5,1,38,1.0
ABVX,-0.1523604112939998,16,1,16,0.9
ABX,-0.1004314688994649,23,1,2,0.85
ACA,0.01027843102767352,63,1,5,0.9
ACAAU,-0.01755836811628235,51,1,2,0.9
ACAD,0.14687331401117798,85,0,0,0.0
ACB,0.3559894184726717,95,0,0,0.05
ACCL,0.5595739982726872,97,0,0,0.0
ACCO,0.014911695398682513,64,0,0,0.25
ACCS,-0.19251430098728295,12,1,1,0.95
ACDC,0.03670789436390512,69,0,0,0.4
ACEL,-0.07594950669709097,28,1,23,1.0
ACET,-0.04626976301575064,36,1,1,0.4
ACFN,0.03659414787828988,69,1,1,0.5
ACGL,-0.017397545247441967,51,1,3,0.8
ACGLN,-0.05631066577896608,33,1,7,0.95
ACGLO,-0.04620915758753555,36,1,21,1.0
ACH,-0.640174755078145,1,1,20,1.0
ACHC,-0.05846171615346324,32,1,2,0.85
ACHR,0.11956082550800733,83,1,4,0.2
ACHV,0.26546126479020893,92,0,0,0.0
ACI,-0.05707891513462743,33,1,1,0.9
ACIC,-0.1484983189357424,16,1,20,1.0
ACIU,0.12541806759240298,83,0,0,0.25
ACIW,-0.01912526486337862,50,1,2,0.9
ACLS,-0.23508415533563276,9,1,10,0.85
ACM,-0.06894007024580429,30,0,0,0.7
ACMR,-0.1967654871593203,11,1,9,0.9
ACN,0.181839883495916,88,0,0,0.0
ACNB,0.04316012868968873,71,0,0,0.2
ACNT,-0.007153367635314031,57,1,1,0.8
ACOG,0.18447892751675404,88,0,0,0.1
ACON,-0.12959714855822946,19,1,5,0.7
ACP,-0.017523043810354185,51,0,0,0.75
ACR,-0.25683394749943517,8,1,23,1.0
ACRE,0.006035287274778402,61,1,4,0.4
ACRS,0.1756913680215622,88,0,0,0.1
ACRV,0.30231415696955516,94,0,0,0.1
ACT,0.042903331422197,70,1,1,0.2
ACTG,-0.04840330580528925,36,1,9,0.85
ACTU,0.12938620918047122,84,0,0,0.6
ACU,0.20293220478830926,90,0,0,0.0
ACV,-0.06191134433039016,32,1,28,1.0
ACVA,-0.05115136762430602,35,1,7,0.75
ACXP,-0.08668388933314988,26,1,10,0.8
AD,-0.016184872078432642,53,0,0,0.65
ADAC,-0.02112617662660324,48,1,6,0.95
ADACU,-0.021146848066143618,48,1,6,0.95
ADAG,-0.1507217625397415,16,1,5,0.55
ADAM,0.05001392477882738,72,1,2,0.1
ADAML,0.0024688011168364082,60,0,0,0.6
ADAMM,0.003187784326977909,60,0,0,0.5
ADAMN,0.03661002825810862,69,0,0,0.35
ADAMZ,-0.06108408614414516,32,1,7,0.9
ADBE,0.18991282632333684,89,0,0,0.05
ADC,-0.07450500002457028,29,1,23,1.0
ADCT,-0.09086780826736542,25,0,0,0.8
ADEA,-0.13714578328795468,18,1,10,0.75
ADGM,0.05127810725640597,72,1,6,0.35
ADI,-0.0722479182984266,29,1,10,0.85
ADIL,0.9193163026146381,98,0,0,0.0
ADM,0.009642997744894258,62,0,0,0.8
ADMA,0.0951348823170844,79,1,3,0.25
ADNT,-0.09305785326483444,25,1,6,0.95
ADP,0.12312754826907528,83,0,0,0.05
ADPT,0.18877777781620209,89,1,1,0.05
ADSE,-0.08495310664864289,26,0,0,0.95
ADSK,0.12383229305007722,83,0,0,0.0
ADT,0.009923398370822276,63,1,1,0.4
ADTN,-0.31219019983754426,5,1,60,1.0
ADUR,-0.0954099266845443,24,1,3,0.2
ADUS,0.0645930934367502,75,1,3,0.35
ADV,-0.20477240922746265,11,1,1,0.85
ADVB,0.5816739576776638,97,0,0,0.6
ADX,-0.0017725450291687234,59,1,13,0.9
ADXN,-0.3243166719775361,5,1,13,0.85
AEAQ,-0.016541894851358457,52,1,2,0.85
AEAQU,-0.0345602367860145,40,1,5,0.9
AEBI,-0.0218284461555572,47,0,0,0.85
AEC,0.040674082657743596,70,1,2,0.5
AEE,-0.054503307821822757,34,1,24,1.0
AEF,0.02302612230846393,66,0,0,0.25
AEG,0.00371658953962975,61,1,9,0.65
AEHL,2.4452170747132227,99,0,0,0.2
AEHR,-0.07815815908614113,28,1,8,0.4
AEI,0.14123860736316568,85,0,0,0.3
AEIS,-0.1252735616906314,19,1,10,0.55
AEM,0.2979072778019592,94,0,0,0.05
AEMD,-0.5157852703343763,1,1,63,1.0
AENT,-0.15187612592308258,16,1,23,1.0
AEO,-0.042381110566578145,37,1,3,0.85
AEON,-0.316021188664615,5,0,0,0.85
AEP,-0.06893507870528681,30,1,24,1.0
AER,-0.016383358269747846,52,1,3,0.85
AERO,-0.13461826450925476,18,1,41,1.0
AERT,0.0631927506656985,74,0,0,0.35
AES,-0.014063848780943574,54,1,5,0.85
AESI,-0.01295799922324653,54,0,0,0.55
AEVA,-0.29670657345419543,6,1,10,0.5
AEXA,-0.007507493327959688,56,0,0,0.85
AEYE,0.1342721292286327,84,0,0,0.4
AFB,-0.03752063445037554,39,1,7,0.95
AFCG,0.18544844245813447,88,0,0,0.35
AFG,0.007667269706358941,62,1,3,0.7
AFJK,-0.3294991598381593,5,1,57,1.0
AFJKU,-0.3483700531016694,4,1,61,1.0
AFL,-0.06554951751212221,31,1,20,1.0
AFRI,0.02251940370985739,66,0,0,0.55
AFRM,-0.03357951928335053,41,1,1,0.45
AFYA,-0.020064273779782635,49,0,0,0.65
AG,0.22142546666094343,91,0,0,0.05
AGBK,-0.15815811516555472,15,1,20,1.0
AGCC,-0.08067302306496785,27,1,1,0.95
AGCO,0.07339396040466546,76,0,0,0.65
AGD,0.016733886476210262,64,0,0,0.3
AGEN,0.5894622058748082,97,0,0,0.0
AGI,0.18072755473134788,88,0,0,0.05
AGIG,0.040651317971074616,70,0,0,0.65
AGIO,0.049293761459895905,72,1,2,0.85
AGL,-0.11911467567519302,20,1,18,0.95
AGM,0.03193428799499162,68,1,9,0.45
AGMB,0.050026804027888935,72,1,2,0.35
AGMH,-0.046753124908076316,36,1,3,0.4
AGNC,-0.005353665526481883,57,1,4,0.7
AGNCL,-0.00040044296518224054,59,0,0,0.65
AGNCM,-0.011402169042329265,55,1,3,0.75
AGNCN,-0.012739489039198701,54,1,4,0.85
AGNCO,-0.008271986568630062,56,0,0,0.8
AGNCP,-0.002284785958824108,58,0,0,0.7
AGNCZ,-0.007493292517031631,56,0,0,0.75
AGNT,-0.11602069621158474,21,1,4,0.65
AGO,-0.09136740620229662,25,1,22,1.0
AGPU,0.25777373270144077,92,0,0,0.1
AGRO,0.08703190699340012,78,0,0,0.5
AGRZ,-0.3828432695521037,3,1,7,0.85
AGX,-0.3538137819283493,4,1,42,1.0
AGYS,0.0983514219719423,80,0,0,0.25
AHCO,-0.4951369636292463,2,1,21,1.0
AHG,-0.4384914294256391,2,1,21,1.0
AHMA,-0.08992263595954654,25,1,14,0.75
AHR,0.015408601338782274,64,1,2,0.7
AHRT,-0.08651150553378431,26,1,22,1.0
AHT,-0.025519200236625968,45,1,2,0.6
AI,0.09298641724198667,79,0,0,0.15
AIDX,0.11448229831570166,82,0,0,0.35
AIFA,0.5023429586380428,96,0,0,0.15
AIFC,0.0489097754822361,72,0,0,0.5
AIFF,-0.10990518731856606,22,0,0,0.9
AIFU,-0.45995244138591473,2,1,45,1.0
AIG,-0.030450054456939123,42,1,5,0.95
AII,0.33911288392431893,94,0,0,0.05
AIIA,-0.022849647706704966,47,1,5,0.85
AIIO,-0.3297804701631721,5,1,31,1.0
AIIR,0.0922849310490497,79,0,0,0.3
AIM,-0.2965067227486532,6,1,1,0.8
AIMD,-0.17235913212402837,13,1,40,1.0
AIN,-0.2551720090706419,8,1,21,1.0
AIO,-0.013831549306479804,54,0,0,0.6
AIOS,0.14032029562569565,84,0,0,0.4
AIOT,-0.2839246710501071,6,1,16,0.85
AIP,-0.3872471407040563,3,1,42,1.0
AIR,-0.056322977455150504,33,1,9,0.55
AIRE,-0.08464906548968602,26,0,0,0.6
AIRG,-0.17880991746075953,13,1,58,1.0
AIRI,-0.08718502861872957,26,0,0,0.75
AIRJ,-0.05268189245995782,34,1,10,0.5
AIRO,0.004490271559108333,61,1,6,0.3
AIRS,-0.49625175001392163,2,1,16,0.85
AIRT,0.19975576874901768,89,0,0,0.3
AIRTP,-0.019535414315312246,49,0,0,0.75
AISP,-0.008059203457728106,56,0,0,0.5
AIT,-0.04611677982116529,36,1,9,0.55
AIV,-0.1361944746394685,18,1,41,1.0
AIXC,-0.08606350044711426,26,1,6,0.8
AIXI,-0.7017709640302031,0,1,4,0.95
AIZ,0.01588133177728522,64,1,1,0.55
AJG,0.08416677926118842,78,0,0,0.5
AKA,-0.06660290744160012,31,1,5,0.85
AKAM,-0.12329291159316928,20,1,10,0.75
AKAN,-0.5032353236946299,2,1,51,1.0
AKBA,-0.2687401266011997,7,1,20,1.0
AKR,-0.08705866989144352,26,1,5,0.95
AKTS,0.07991827063981057,77,0,0,0.45
AKTX,0.09934929292965065,80,0,0,0.8
ALAB,-0.15527984104400538,15,1,19,0.95
ALAR,-0.4432409902686017,2,1,50,1.0
ALB,0.004623299634979643,61,0,0,0.15
ALC,0.04078602595736128,70,1,3,0.25
ALCO,-0.013872595494905701,54,1,1,0.6
ALDF,-0.01791414038439469,51,1,5,0.9
ALDFU,-0.016775566861296862,52,1,2,0.8
ALDX,-0.18318012041656873,12,1,36,1.0
ALEC,0.27928637484058405,93,0,0,0.1
ALF,-0.018129417244143117,51,1,4,0.9
ALFUU,-0.0245454342003357,46,1,22,1.0
ALG,0.010181645726899932,63,0,0,0.5
ALGM,-0.2620793250679994,7,1,37,1.0
ALGN,-0.10005148719141349,23,1,11,0.95
ALGS,0.20957673824743084,90,1,1,0.15
ALGT,-0.2749777446684278,7,1,20,1.0
ALH,-0.14607869832785797,17,1,16,0.8
ALHC,-0.20461651608958997,11,1,29,1.0
ALIS,-0.019445287058286118,50,1,5,0.9
ALISU,-0.020843978910365886,48,1,6,0.95
ALIT,-0.13988749694111963,17,1,20,1.0
ALK,-0.1616167616381271,15,1,16,0.8
ALKS,-0.050244815441125926,35,1,25,1.0
ALKT,0.07886244986343528,77,0,0,0.0
ALL,0.030324913320512875,68,1,3,0.7
ALLE,0.040748715489800816,70,1,5,0.3
ALLO,-0.0224073225921788,47,1,2,0.2
ALLR,0.03991424804691868,70,0,0,0.1
ALLT,-0.07196835274941346,29,1,2,0.85
ALLY,-0.05878328129026544,32,1,30,1.0
ALM,0.30164550561266357,94,0,0,0.3
ALMS,-0.17854336781413432,13,1,21,1.0
ALMU,-0.3287387685767203,5,1,10,0.7
ALNT,0.02536252464714958,66,1,9,0.45
ALNY,-0.036975996894017565,39,0,0,0.85
ALOVU,-0.022032403151134236,47,1,4,0.9
ALOY,-0.03982997817147581,38,1,4,0.35
ALP,-0.302099234571541,5,1,33,1.0
ALRM,0.10849289932101149,81,0,0,0.1
ALRS,0.015240708261965517,64,1,3,0.65
ALSN,0.07271267564778496,76,0,0,0.15
ALT,0.025641253890350026,67,0,0,0.4
ALTG,-0.10205240031309247,23,1,11,0.6
ALTI,0.07549701577534822,76,1,1,0.15
ALTO,-0.27139631701633815,7,1,19,0.95
ALUB,-0.02114766729736832,48,1,5,0.9
ALV,-0.014886169193855311,53,1,3,0.75
ALVO,0.36240193304467344,95,0,0,0.0
ALX,0.03828456308825183,70,0,0,0.7
ALXO,-0.03179386679181587,42,1,2,0.65
ALZN,0.2880338547752954,93,0,0,0.0
AM,0.00602968722941926,61,0,0,0.6
AMAL,0.006653291392241606,61,1,9,0.5
AMAT,-0.16097686188223648,15,1,13,0.95
AMBA,-0.20236926165146274,11,1,11,0.55
AMBO,-0.09580332677514174,24,1,1,0.95
AMBP,0.09635033278828282,80,1,2,0.1
AMBQ,-0.21768842474338285,10,1,34,1.0
AMBR,-0.23010780222526594,9,1,26,1.0
AMC,0.10277556029299124,81,0,0,0.25
AMCI,-0.17620582391073514,13,1,6,0.75
AMCR,0.04524545000813256,71,1,3,0.35
AMCX,0.14045274143124237,84,0,0,0.0
AMD,-0.08479622992411684,26,1,10,0.9
AME,-0.029846643305008087,42,1,10,0.5
AMG,0.048615443796065555,72,0,0,0.55
AMGN,0.15833534824766227,86,0,0,0.0
AMH,-0.021875504786959106,47,1,4,0.75
AMIX,-0.0018507001080298457,59,1,4,0.65
AMKR,-0.24291806668879673,8,1,10,0.95
AMLX,0.8499535643379273,98,0,0,0.0
AMN,0.027995441878232934,67,1,1,0.35
AMOD,-0.507019225529295,2,1,5,0.4
AMP,0.07868491578555407,77,1,1,0.15
