ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
A,0.12502019240825515,85,0,0,0.15
AA,-0.07444088858665679,31,0,0,0.85
AACB,-0.037097404592695365,45,1,8,0.55
AACBU,-0.05306509136354179,36,1,7,0.6
AACG,-0.16993029565902315,15,1,10,0.95
AACIU,-0.036801438092476685,46,1,7,0.55
AACOU,-0.03496929910601669,47,1,9,0.65
AAL,0.006873310883495992,62,1,4,0.8
AAME,-0.2542850579779079,9,1,70,1.0
AAMI,0.15283672533558457,87,0,0,0.0
AAOI,-0.06701389873362151,32,0,0,0.7
AAON,-0.3268319836782938,6,1,32,1.0
AAP,-0.09000698316216843,27,1,4,0.7
AAPG,-0.04975381563469825,37,0,0,0.55
AAPL,-0.03935625649972861,43,1,8,0.4
AARD,0.4316602600472591,96,0,0,0.05
AAT,-0.1096114900060653,23,1,15,0.75
AAUC,-0.1348922503589117,19,0,0,0.85
AB,-0.05445936436015241,36,1,9,0.45
ABAT,-0.09100067183296144,27,0,0,0.85
ABBV,0.04936734493856754,73,1,8,0.4
ABCB,-0.037200320622651245,45,1,9,0.65
ABCL,0.6527675250340005,98,0,0,0.8
ABEO,0.15180235652041543,87,0,0,0.35
ABEV,-0.13029878133406006,20,1,8,0.6
ABG,-0.024867930039226698,52,1,6,0.3
ABLV,-0.30974473090965216,6,1,25,1.0
ABM,0.0610926833960517,76,1,4,0.2
ABNB,0.28910868870978956,94,0,0,0.25
ABOS,-0.05192936368169758,37,0,0,0.85
ABR,-0.023874579633489684,52,0,0,0.65
ABSI,0.18615084605749269,89,0,0,0.85
ABT,0.1965470508743699,90,0,0,0.05
ABTC,-0.14175526906766622,18,0,0,0.9
ABTS,0.11373092502073995,84,0,0,0.55
ABUS,0.01005097215498501,63,0,0,0.9
ABVC,-0.255732008187431,9,1,24,1.0
ABVX,0.019266992821238255,66,1,2,0.5
ABX,-0.15027337400278498,18,1,10,0.85
ACA,0.03508022055371923,70,1,7,0.35
ACAD,0.2189293226064217,91,0,0,0.05
ACB,0.13145013187811727,85,0,0,0.5
ACCL,0.6816944269975721,98,0,0,0.0
ACCO,0.04663846831908125,73,1,1,0.15
ACCS,-0.25449138022494033,9,1,8,0.7
ACDC,-0.1666280961575043,16,0,0,0.9
ACEL,-0.06985218258929418,32,1,9,0.85
ACET,-0.022242091549623408,53,1,4,0.55
ACFN,-0.00539598008706417,59,1,8,0.4
ACGL,-0.033764318632458615,48,1,8,0.5
ACGLN,-0.037517575059487024,45,1,7,0.4
ACGLO,-0.03734652411687218,45,1,7,0.35
ACH,-0.6530725439866164,1,1,6,0.65
ACHC,0.10499506066676476,82,1,4,0.45
ACHR,0.31441152908082126,94,0,0,0.5
ACHV,0.10759980906499941,83,0,0,0.05
ACI,-0.22202153224999202,11,1,15,0.8
ACIC,-0.12788268586801965,20,1,6,0.8
ACIU,0.01455274711182105,64,0,0,0.9
ACIW,0.02514928398370639,68,1,4,0.25
ACLS,-0.12521108238290135,21,1,28,1.0
ACM,-0.09057317148011071,27,1,2,0.4
ACMR,-0.07099654050025862,31,1,15,0.95
ACN,0.1377028568156693,86,0,0,0.2
ACNB,0.0838846874042973,79,0,0,0.1
ACNT,0.02302402416679626,67,1,6,0.3
ACOG,0.23102457128802492,92,0,0,0.0
ACON,-0.2557515326481147,8,1,27,1.0
ACP,-0.039904933023373064,43,1,11,0.75
ACR,-0.2803336162622183,7,1,9,0.75
ACRE,-0.0012532292370106071,60,0,0,0.3
ACRS,0.16779064325570073,88,0,0,0.25
ACRV,-0.04864637365034458,38,0,0,0.75
ACT,0.07440747024434272,78,0,0,0.15
ACTG,-0.022381504852987448,53,1,1,0.45
ACTU,-0.48280342591368963,3,1,19,0.95
ACU,0.2228643649096624,91,0,0,0.1
ACV,-0.039606560754725725,43,1,14,0.95
ACVA,0.09537612969944687,81,1,5,0.3
ACXP,-0.16707660580892042,16,1,1,0.85
AD,-0.10969814419960094,23,1,9,0.95
ADAC,-0.03384230843749043,48,1,8,0.6
ADACU,-0.03359589363708153,48,1,7,0.6
ADAG,0.023191558675741797,67,1,1,0.6
ADAM,0.11744230004343295,84,0,0,0.45
ADAML,-0.011955393551905287,57,1,8,0.4
ADAMM,-0.02181441792531817,53,1,8,0.4
ADAMN,-0.010315188354345792,57,1,8,0.5
ADAMZ,-0.041271759922971336,42,1,8,0.45
ADBE,0.08226792450509512,79,0,0,0.1
ADC,-0.0867366333322139,28,1,9,0.45
ADCT,-0.18111963259369726,14,1,17,0.95
ADEA,-0.09802361491755174,25,1,4,0.85
ADGM,0.02604497833917252,68,0,0,0.7
ADI,-0.06651366101137562,32,1,2,0.95
ADIL,0.9159524073949156,98,0,0,0.05
ADM,-0.05252791139508625,36,1,10,0.5
ADMA,0.11117295362024149,83,0,0,0.55
ADNT,-0.10689570982616191,24,1,6,0.5
ADP,0.10982835068669072,83,0,0,0.0
ADPT,0.38245309001063,96,0,0,0.0
ADSE,-0.026022390265505138,52,1,7,0.4
ADSK,0.10424500577096948,82,0,0,0.15
ADT,0.06425586836044278,76,1,1,0.1
ADTN,-0.4759071672587285,3,1,46,1.0
