code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,84.0,71,1,1,0.05,0.0502
HK.00002,74.0,68,0,0,0.15,0.1545
HK.00003,55.0,52,1,1,0.25,0.2053
HK.00004,35.0,22,1,29,1.0,0.4205
HK.00005,87.0,85,0,0,0.05,0.0046
HK.00006,72.0,58,0,0,0.5,0.1542
HK.00007,63.0,74,0,0,0.05,0.2724
HK.00008,66.0,54,0,0,0.1,0.0293
HK.00010,50.0,34,1,26,1.0,0.1398
HK.00012,45.0,29,1,26,1.0,0.1762
HK.00013,28.0,40,0,0,0.8,0.5927
HK.00014,68.0,41,0,0,0.65,0.1324
HK.00016,76.0,32,1,2,0.85,0.1238
HK.00017,42.0,14,1,31,1.0,0.4357
HK.00018,31.0,57,0,0,0.35,0.4255
HK.00019,80.0,65,0,0,0.0,0.0704
HK.00020,21.0,10,1,36,1.0,0.468
HK.00021,39.0,69,1,5,0.3,0.6424
HK.00022,0.0,3,1,51,1.0,
HK.00023,64.0,48,1,1,0.25,0.0666
HK.00025,81.0,90,0,0,0.0,0.2054
HK.00026,70.0,76,0,0,0.0,0.0484
HK.00027,37.0,47,0,0,0.25,0.3304
HK.00028,33.0,33,1,2,0.55,0.3116
HK.00029,39.0,45,0,0,0.55,0.2966
HK.00030,58.0,89,0,0,0.2,0.0626
HK.00031,85.0,93,0,0,0.0,
HK.00032,51.0,55,0,0,0.1,0.1858
HK.00033,44.0,74,0,0,0.05,
HK.00034,86.0,79,0,0,0.15,0.175
HK.00035,36.0,37,1,1,0.5,0.5347
HK.00036,71.0,74,0,0,0.05,
HK.00037,68.0,57,0,0,0.3,0.3355
HK.00038,47.0,25,0,0,0.8,0.2729
HK.00039,12.0,65,0,0,0.1,0.6552
HK.00040,72.0,77,0,0,0.0,0.0033
HK.00041,70.0,43,0,0,0.85,0.0681
HK.00042,54.0,21,0,0,0.95,0.4319
HK.00045,45.0,40,0,0,0.6,0.2958
HK.00046,43.0,80,0,0,0.05,0.4968
HK.00048,92.0,89,0,0,0.2,
HK.00050,67.0,62,0,0,0.2,0.0813
HK.00051,62.0,62,0,0,0.2,0.4146
HK.00052,56.0,89,0,0,0.2,0.513
HK.00053,61.0,69,0,0,0.05,0.3126
HK.00055,42.0,46,1,3,0.45,0.5255
HK.00057,58.0,55,0,0,0.15,0.1224
HK.00058,76.0,39,0,0,0.65,
HK.00059,63.0,74,0,0,0.05,
HK.00060,68.0,86,0,0,0.1,0.3191
HK.00061,12.0,14,1,11,0.7,0.5962
HK.00062,65.0,70,0,0,0.1,0.1338
HK.00063,25.0,39,1,1,0.35,0.6737
HK.00064,80.0,83,0,0,0.15,0.0913
HK.00065,5.0,10,1,58,1.0,0.9025
HK.00066,74.0,63,0,0,0.1,0.0865
HK.00069,47.0,53,0,0,0.35,0.4225
HK.00070,62.0,86,0,0,0.6,0.3547
HK.00071,66.0,58,0,0,0.1,0.1309
HK.00072,50.0,57,1,2,0.15,0.2951
HK.00073,82.0,87,0,0,0.1,0.4907
HK.00075,72.0,66,0,0,0.1,
HK.00076,14.0,36,0,0,0.65,0.779
HK.00077,77.0,88,0,0,0.0,0.3651
HK.00078,17.0,9,1,22,1.0,0.9044
HK.00079,38.0,76,0,0,0.0,0.5262
HK.00081,72.0,24,1,20,1.0,0.1964
HK.00082,48.0,47,1,1,0.5,0.5462
HK.00083,70.0,33,1,27,1.0,0.1118
HK.00084,59.0,83,0,0,0.25,0.4652
HK.00085,28.0,38,1,1,0.45,0.4206
HK.00086,75.0,64,0,0,0.0,0.0166
HK.00087,74.0,60,0,0,0.0,0.0363
HK.00088,56.0,36,1,4,0.8,0.1151
HK.00089,54.0,40,1,1,0.55,0.3125
HK.00090,81.0,88,0,0,0.1,
HK.00092,58.0,62,0,0,0.25,0.4845
HK.00093,56.0,83,0,0,0.55,0.4545
HK.00094,42.0,20,1,1,0.6,
HK.00095,12.0,10,1,2,0.9,0.8571
HK.00096,41.0,37,1,2,0.7,0.5632
HK.00097,30.0,46,0,0,0.45,
HK.00098,45.0,46,1,1,0.15,0.3239
HK.00099,44.0,31,1,1,0.4,0.4137
HK.00101,42.0,29,1,35,1.0,0.1836
HK.00103,22.0,29,1,1,0.55,0.4826
HK.00104,73.0,83,0,0,0.0,0.084
HK.00105,65.0,69,0,0,0.05,0.1638
HK.00106,70.0,74,0,0,0.05,
HK.00107,49.0,24,1,19,0.95,0.1372
HK.00108,86.0,47,0,0,0.45,
HK.00110,95.0,93,0,0,0.9,0.06
HK.00111,88.0,49,1,1,0.6,
HK.00113,75.0,83,0,0,0.1,0.0805
HK.00114,79.0,76,0,0,0.15,0.0666
HK.00115,81.0,21,1,12,0.75,0.195
HK.00116,47.0,36,1,3,0.7,0.2303
HK.00117,99.0,99,0,0,0.25,
HK.00118,55.0,54,1,7,0.75,
HK.00119,56.0,25,1,21,1.0,0.2385
HK.00120,4.0,5,1,7,0.65,
HK.00122,40.0,66,0,0,0.15,0.5352
HK.00123,37.0,27,1,11,0.55,0.5529
HK.00124,40.0,40,1,13,0.7,0.6363
HK.00125,32.0,52,0,0,0.2,0.6501
HK.00126,31.0,38,1,3,0.15,0.643
HK.00127,38.0,42,1,3,0.75,0.3899
HK.00128,93.0,97,0,0,0.0,
HK.00129,26.0,61,0,0,0.35,0.6535
HK.00130,85.0,80,0,0,0.15,
HK.00131,66.0,78,0,0,0.0,0.4332
HK.00132,39.0,58,0,0,0.35,0.6113
HK.00135,45.0,42,1,2,0.6,0.3968
HK.00136,22.0,63,0,0,0.3,0.5421
HK.00137,44.0,53,0,0,0.6,0.4952
HK.00138,5.0,13,1,9,0.6,0.7803
HK.00139,43.0,95,0,0,0.35,0.8399
HK.00142,41.0,51,0,0,0.25,0.164
