code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,84.0,78,1,2,0.4
HK.00002,79.0,75,0,0,0.85
HK.00003,61.0,63,1,8,0.6
HK.00004,40.0,54,0,0,0.8
HK.00005,89.0,85,1,5,0.3
HK.00006,72.0,52,1,17,0.95
HK.00007,66.0,59,1,24,1.0
HK.00008,61.0,40,1,12,0.8
HK.00010,44.0,39,1,17,0.95
HK.00012,52.0,62,1,8,0.45
HK.00013,44.0,83,0,0,0.7
HK.00014,68.0,67,1,7,0.75
HK.00016,71.0,40,1,14,0.75
HK.00017,37.0,37,1,1,0.95
HK.00018,21.0,15,1,27,1.0
HK.00019,89.0,92,0,0,0.1
HK.00020,18.0,42,1,1,0.7
HK.00021,84.0,95,0,0,0.8
HK.00022,2.0,10,1,79,1.0
HK.00023,85.0,93,0,0,0.1
HK.00025,83.0,77,1,13,0.75
HK.00026,69.0,62,1,23,1.0
HK.00027,55.0,78,1,3,0.55
HK.00028,34.0,18,1,21,1.0
HK.00029,34.0,26,1,27,1.0
HK.00030,71.0,75,0,0,0.8
HK.00031,47.0,13,1,28,1.0
HK.00032,58.0,52,1,10,0.95
HK.00033,52.0,59,1,24,1.0
HK.00034,82.0,41,1,17,0.9
HK.00035,46.0,43,1,23,1.0
HK.00036,70.0,59,1,24,1.0
HK.00037,60.0,39,1,22,1.0
HK.00038,73.0,85,1,1,0.15
HK.00039,19.0,59,1,24,1.0
HK.00040,68.0,51,1,26,1.0
HK.00041,68.0,54,1,1,0.95
HK.00042,23.0,7,1,27,1.0
HK.00045,52.0,64,1,2,0.45
HK.00046,53.0,69,1,11,0.9
HK.00048,90.0,47,1,11,0.7
HK.00050,62.0,50,1,25,1.0
HK.00051,64.0,55,1,24,1.0
HK.00052,74.0,88,0,0,0.7
HK.00053,63.0,69,0,0,0.8
HK.00055,37.0,41,1,30,1.0
HK.00057,57.0,54,1,3,0.95
HK.00058,89.0,82,0,0,0.75
HK.00059,66.0,59,1,24,1.0
HK.00060,83.0,88,0,0,0.85
HK.00061,12.0,6,1,12,0.65
HK.00062,61.0,47,1,22,1.0
HK.00063,11.0,8,1,11,0.95
HK.00064,85.0,87,0,0,0.2
HK.00065,25.0,87,0,0,0.55
HK.00066,74.0,71,1,10,0.7
HK.00068,,8,0,0,0.85
HK.00069,54.0,69,0,0,0.8
HK.00070,34.0,35,1,1,0.9
HK.00071,65.0,48,1,23,1.0
HK.00072,72.0,64,0,0,0.65
HK.00073,61.0,30,1,2,0.7
HK.00075,46.0,14,1,5,0.65
HK.00076,18.0,44,1,11,0.8
HK.00077,84.0,89,0,0,0.6
HK.00078,23.0,33,1,4,0.9
HK.00079,87.0,97,0,0,0.15
HK.00081,69.0,62,0,0,0.4
HK.00082,39.0,20,1,22,1.0
HK.00083,58.0,31,1,55,1.0
HK.00084,69.0,77,1,24,1.0
HK.00085,21.0,17,1,29,1.0
HK.00086,74.0,51,1,25,1.0
HK.00087,85.0,90,0,0,0.15
HK.00088,57.0,38,1,32,1.0
HK.00089,53.0,47,0,0,0.6
HK.00090,32.0,41,1,15,0.95
HK.00092,35.0,14,1,25,1.0
HK.00093,20.0,6,1,20,1.0
HK.00094,33.0,8,1,8,0.9
HK.00095,19.0,20,1,9,0.5
HK.00096,50.0,35,1,19,0.95
HK.00097,43.0,37,1,15,0.95
HK.00098,50.0,49,1,3,0.95
HK.00099,61.0,72,1,11,0.55
HK.00100,,75,0,0,0.8
HK.00101,44.0,45,1,17,0.95
HK.00103,15.0,25,1,1,0.95
HK.00104,77.0,75,0,0,0.95
HK.00105,70.0,52,1,20,1.0
HK.00106,57.0,59,1,24,1.0
HK.00107,50.0,36,1,47,1.0
HK.00108,38.0,5,1,28,1.0
HK.00110,96.0,97,0,0,0.1
HK.00111,44.0,9,1,12,0.8
HK.00113,83.0,77,0,0,0.6
HK.00114,82.0,68,1,17,0.95
HK.00115,77.0,4,1,40,1.0
HK.00116,78.0,90,0,0,0.1
HK.00117,98.0,94,1,1,0.9
HK.00118,26.0,17,0,0,0.95
HK.00119,23.0,14,1,49,1.0
HK.00120,16.0,76,0,0,0.8
HK.00122,53.0,75,1,1,0.85
HK.00123,30.0,25,1,39,1.0
HK.00124,33.0,26,1,41,1.0
HK.00125,53.0,79,0,0,0.95
HK.00126,24.0,12,1,26,1.0
HK.00127,39.0,40,1,25,1.0
HK.00128,66.0,59,1,24,1.0
HK.00129,25.0,29,1,5,0.85
HK.00130,73.0,22,1,15,0.9
HK.00131,64.0,49,1,22,1.0
HK.00132,37.0,34,1,25,1.0
HK.00135,58.0,69,1,7,0.5
HK.00136,29.0,81,0,0,0.75
HK.00137,73.0,91,0,0,0.25
HK.00138,6.0,6,1,20,1.0
HK.00139,6.0,46,1,11,0.8
HK.00142,52.0,77,1,7,0.4
HK.00144,64.0,80,0,0,0.25
HK.00145,73.0,91,0,0,0.45
HK.00146,47.0,26,1,24,1.0
HK.00147,6.0,16,0,0,0.95
HK.00148,87.0,3,1,28,1.0
HK.00149,73.0,68,1,3,0.8
HK.00150,61.0,42,1,21,1.0
HK.00151,19.0,22,1,30,1.0
HK.00152,16.0,13,1,9,0.6
HK.00154,20.0,28,1,12,0.95
HK.00156,80.0,50,1,25,1.0
HK.00157,55.0,55,1,23,1.0
HK.00158,60.0,66,1,2,0.95
HK.00159,10.0,3,1,17,0.9
HK.00160,20.0,16,1,40,1.0
HK.00162,49.0,25,0,0,0.8
HK.00163,21.0,17,1,33,1.0
HK.00164,73.0,28,1,30,1.0
HK.00165,25.0,71,1,1,0.5
HK.00166,18.0,48,1,9,0.55
HK.00167,96.0,76,0,0,0.95
HK.00168,49.0,41,1,8,0.9
HK.00169,14.0,16,1,2,0.95
HK.00171,5.0,30,1,1,0.4
HK.00173,46.0,55,0,0,0.95
HK.00174,54.0,12,1,20,1.0
HK.00175,62.0,39,1,7,0.7
HK.00176,66.0,59,1,24,1.0
HK.00177,64.0,39,1,30,1.0
HK.00178,88.0,79,0,0,0.75
HK.00179,21.0,31,0,0,0.7
HK.00180,55.0,73,0,0,0.55
HK.00181,52.0,27,1,32,1.0
HK.00182,32.0,8,1,4,0.85
HK.00183,29.0,24,1,20,1.0
HK.00184,73.0,78,0,0,0.9
HK.00185,36.0,86,0,0,0.8
HK.00186,95.0,98,0,0,0.65
HK.00187,18.0,41,1,3,0.95
HK.00188,52.0,35,1,10,0.85
HK.00189,81.0,32,1,28,1.0
HK.00191,27.0,4,1,32,1.0
HK.00193,52.0,37,1,21,1.0
HK.00194,63.0,47,1,25,1.0
HK.00195,66.0,59,1,24,1.0
HK.00196,11.0,13,1,25,1.0
HK.00197,61.0,48,1,8,0.85
HK.00199,98.0,97,0,0,0.65
HK.00200,30.0,39,1,6,0.7
HK.00201,49.0,36,1,25,1.0
HK.00202,6.0,4,1,31,1.0
HK.00205,84.0,11,1,12,0.95
HK.00206,12.0,2,1,27,1.0
HK.00209,97.0,87,0,0,0.45
HK.00210,38.0,37,1,29,1.0
HK.00211,64.0,63,0,0,0.95
HK.00212,70.0,55,1,22,1.0
HK.00213,44.0,24,1,27,1.0
HK.00214,20.0,36,0,0,0.75
HK.00215,72.0,61,1,17,0.95
HK.00216,29.0,19,1,28,1.0
HK.00217,33.0,19,1,26,1.0
HK.00218,17.0,78,1,1,0.45
HK.00219,77.0,64,1,3,0.9
HK.00220,70.0,80,0,0,0.75
HK.00222,72.0,85,1,12,0.75
HK.00223,16.0,8,1,27,1.0
HK.00224,63.0,84,0,0,0.3
HK.00225,64.0,66,1,24,1.0
