code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,85.0,71,0,0,0.4
HK.00002,80.0,76,0,0,0.75
HK.00003,59.0,59,1,10,0.6
HK.00004,44.0,76,0,0,0.7
HK.00005,89.0,85,0,0,0.3
HK.00006,74.0,69,0,0,0.9
HK.00007,66.0,63,1,26,1.0
HK.00008,62.0,39,1,14,0.8
HK.00010,42.0,32,1,19,0.95
HK.00012,50.0,48,1,10,0.55
HK.00013,42.0,80,0,0,0.7
HK.00014,63.0,54,1,9,0.75
HK.00016,72.0,40,1,16,0.85
HK.00017,39.0,40,0,0,0.85
HK.00018,27.0,25,0,0,0.95
HK.00019,90.0,92,0,0,0.05
HK.00020,20.0,45,1,3,0.7
HK.00021,64.0,89,0,0,0.7
HK.00022,2.0,7,1,81,1.0
HK.00023,85.0,93,0,0,0.05
HK.00025,84.0,82,1,15,0.85
HK.00026,69.0,65,1,25,1.0
HK.00027,61.0,86,0,0,0.5
HK.00028,32.0,30,1,23,1.0
HK.00029,34.0,30,1,29,1.0
HK.00030,68.0,75,1,1,0.75
HK.00031,46.0,16,1,30,1.0
HK.00032,56.0,51,1,12,0.95
HK.00033,53.0,63,1,26,1.0
HK.00034,83.0,53,1,19,0.95
HK.00035,45.0,42,1,25,1.0
HK.00036,80.0,63,1,26,1.0
HK.00037,62.0,46,0,0,0.9
HK.00038,72.0,85,1,3,0.2
HK.00039,18.0,63,1,26,1.0
HK.00040,71.0,59,1,28,1.0
HK.00041,67.0,49,1,1,0.9
HK.00042,22.0,8,1,30,1.0
HK.00045,51.0,52,1,4,0.45
HK.00046,51.0,68,1,1,0.85
HK.00048,90.0,54,1,13,0.7
HK.00050,63.0,53,1,27,1.0
HK.00051,68.0,59,0,0,0.9
HK.00052,75.0,90,0,0,0.6
HK.00053,62.0,68,0,0,0.7
HK.00055,47.0,71,0,0,0.9
HK.00057,58.0,59,0,0,0.9
HK.00058,85.0,47,1,1,0.75
HK.00059,66.0,63,1,26,1.0
HK.00060,84.0,89,0,0,0.7
HK.00061,10.0,3,1,14,0.75
HK.00062,62.0,55,1,24,1.0
HK.00063,9.0,8,1,14,0.95
HK.00064,86.0,89,0,0,0.1
HK.00065,19.0,91,0,0,0.4
HK.00066,74.0,70,1,12,0.7
HK.00068,,8,0,0,0.75
HK.00069,52.0,69,1,2,0.8
HK.00070,34.0,52,0,0,0.8
HK.00071,63.0,50,1,25,1.0
HK.00072,77.0,84,0,0,0.6
HK.00073,64.0,43,1,5,0.7
HK.00075,67.0,46,0,0,0.55
HK.00076,26.0,67,0,0,0.7
HK.00077,87.0,92,0,0,0.55
HK.00078,26.0,38,0,0,0.8
HK.00079,86.0,95,0,0,0.1
HK.00081,71.0,54,0,0,0.3
HK.00082,42.0,23,1,24,1.0
HK.00083,57.0,31,1,57,1.0
HK.00084,62.0,75,1,27,1.0
HK.00085,22.0,18,1,31,1.0
HK.00086,70.0,41,1,27,1.0
HK.00087,86.0,91,0,0,0.05
HK.00088,57.0,38,1,34,1.0
HK.00089,57.0,38,0,0,0.6
HK.00090,44.0,41,1,18,0.95
HK.00092,35.0,20,1,26,1.0
HK.00093,23.0,6,1,22,1.0
HK.00094,39.0,10,1,11,0.9
HK.00095,23.0,18,1,11,0.6
HK.00096,48.0,39,0,0,0.95
HK.00097,41.0,35,1,17,0.95
HK.00098,50.0,45,1,1,0.9
HK.00099,39.0,9,1,14,0.7
HK.00100,,85,0,0,0.7
HK.00101,43.0,37,1,19,0.95
HK.00103,19.0,52,0,0,0.85
HK.00104,77.0,74,0,0,0.8
HK.00105,72.0,58,1,22,1.0
HK.00106,57.0,63,1,26,1.0
