code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,87.0,86,1,1,0.4
HK.00002,78.0,77,1,8,0.6
HK.00003,66.0,75,1,2,0.6
HK.00004,36.0,31,1,51,1.0
HK.00005,90.0,89,0,0,0.05
HK.00006,74.0,64,1,11,0.85
HK.00007,65.0,62,1,18,0.9
HK.00008,76.0,75,1,6,0.7
HK.00010,50.0,49,1,11,0.95
HK.00012,63.0,72,1,2,0.45
HK.00013,29.0,46,1,12,0.65
HK.00014,73.0,70,1,1,0.7
HK.00016,79.0,58,1,8,0.7
HK.00017,46.0,40,1,53,1.0
HK.00018,21.0,15,1,21,1.0
HK.00019,88.0,91,0,0,0.2
HK.00020,24.0,41,0,0,0.9
HK.00021,23.0,22,1,20,1.0
HK.00022,3.0,12,1,73,1.0
HK.00023,88.0,95,0,0,0.35
HK.00025,85.0,84,1,8,0.5
HK.00026,73.0,75,1,16,0.85
HK.00027,56.0,83,1,1,0.45
HK.00028,37.0,42,1,15,0.9
HK.00029,31.0,26,1,21,1.0
HK.00030,59.0,68,1,8,0.55
HK.00031,49.0,14,1,22,1.0
HK.00032,57.0,51,1,4,0.95
HK.00033,50.0,62,1,18,0.9
HK.00034,85.0,59,1,11,0.65
HK.00035,52.0,54,1,17,0.95
HK.00036,59.0,62,1,18,0.9
HK.00037,63.0,47,1,16,0.8
HK.00038,77.0,90,0,0,0.3
HK.00039,20.0,62,1,18,0.9
HK.00040,64.0,52,1,20,1.0
HK.00041,70.0,53,1,22,1.0
HK.00042,25.0,9,1,22,1.0
HK.00045,59.0,75,1,1,0.6
HK.00046,46.0,71,1,5,0.7
HK.00048,93.0,83,1,5,0.5
HK.00050,69.0,64,1,19,0.95
HK.00051,69.0,72,1,18,0.9
HK.00052,74.0,90,0,0,0.65
HK.00053,67.0,75,1,11,0.9
HK.00055,28.0,36,1,24,1.0
HK.00057,60.0,57,1,22,1.0
HK.00058,86.0,51,1,19,0.95
HK.00059,65.0,62,1,18,0.9
HK.00060,51.0,35,1,19,0.95
HK.00061,9.0,16,1,5,0.55
HK.00062,62.0,50,1,16,0.85
HK.00063,9.0,5,1,5,0.95
HK.00064,86.0,90,0,0,0.35
HK.00065,58.0,97,0,0,0.8
HK.00066,76.0,72,1,4,0.7
HK.00068,,2,1,46,1.0
HK.00069,58.0,78,0,0,0.95
HK.00070,45.0,36,1,7,0.85
HK.00071,67.0,52,1,17,0.9
HK.00072,62.0,57,0,0,0.75
HK.00073,75.0,78,1,6,0.75
HK.00075,64.0,45,1,1,0.75
HK.00076,23.0,67,1,5,0.8
HK.00077,82.0,87,1,4,0.5
HK.00078,22.0,30,1,44,1.0
HK.00079,89.0,97,0,0,0.3
HK.00081,70.0,45,1,2,0.65
HK.00082,38.0,19,1,16,0.9
HK.00083,67.0,42,1,49,1.0
HK.00084,57.0,76,1,19,0.95
HK.00085,23.0,19,1,23,1.0
HK.00086,75.0,69,1,19,0.95
HK.00087,83.0,89,0,0,0.35
HK.00088,56.0,41,1,26,1.0
HK.00089,49.0,49,1,7,0.45
HK.00090,33.0,59,1,9,0.65
HK.00092,43.0,26,1,18,0.9
HK.00093,15.0,10,1,14,0.7
HK.00094,44.0,21,1,3,0.9
HK.00095,19.0,69,1,3,0.2
HK.00096,45.0,55,1,13,0.65
HK.00097,37.0,47,1,9,0.85
HK.00098,47.0,43,1,22,1.0
HK.00099,56.0,80,1,5,0.5
HK.00100,,1,1,29,1.0
HK.00101,51.0,55,1,11,0.95
HK.00103,10.0,16,1,23,1.0
HK.00104,77.0,73,1,14,0.85
HK.00105,70.0,68,1,14,0.7
HK.00106,60.0,62,1,18,0.9
HK.00107,55.0,41,1,41,1.0
HK.00108,40.0,8,1,22,1.0
HK.00110,97.0,97,0,0,0.0
HK.00111,64.0,17,1,6,0.8
HK.00113,81.0,81,1,6,0.45
HK.00114,83.0,85,1,10,0.75
HK.00115,83.0,7,1,34,1.0
HK.00116,72.0,83,0,0,0.35
HK.00117,99.0,97,1,21,1.0
HK.00118,59.0,44,1,29,1.0
HK.00119,36.0,25,1,43,1.0
HK.00120,9.0,44,1,8,0.85
HK.00122,49.0,75,1,9,0.65
HK.00123,39.0,36,1,33,1.0
HK.00124,44.0,44,1,35,1.0
HK.00125,45.0,57,1,18,0.9
HK.00126,36.0,42,1,19,0.95
HK.00127,42.0,41,1,19,0.95
HK.00128,94.0,98,0,0,0.9
HK.00129,31.0,52,1,4,0.65
HK.00130,76.0,28,1,8,0.8
HK.00131,71.0,72,1,16,0.9
HK.00132,33.0,31,1,19,0.95
HK.00135,59.0,78,1,1,0.5
HK.00136,22.0,46,1,12,0.8
HK.00137,69.0,91,0,0,0.5
HK.00138,4.0,12,1,14,0.85
HK.00139,16.0,23,1,5,0.7
HK.00142,57.0,82,1,1,0.3
HK.00144,71.0,85,0,0,0.4
HK.00145,82.0,94,0,0,0.75
HK.00146,46.0,38,1,18,0.9
HK.00147,4.0,9,1,35,1.0
HK.00148,87.0,2,1,22,1.0
HK.00149,75.0,57,1,4,0.8
HK.00150,53.0,43,1,15,0.8
HK.00151,21.0,36,1,24,1.0
HK.00152,35.0,71,1,3,0.55
HK.00154,23.0,35,1,6,0.95
HK.00156,78.0,47,1,19,0.95
HK.00157,52.0,67,1,17,0.9
HK.00158,56.0,59,1,18,0.9
HK.00159,38.0,47,1,11,0.6
HK.00160,25.0,23,1,34,1.0
HK.00162,25.0,11,1,34,1.0
HK.00163,22.0,21,1,27,1.0
HK.00164,74.0,45,1,24,1.0
HK.00165,29.0,78,1,3,0.65
HK.00166,26.0,66,1,3,0.55
HK.00167,95.0,12,1,17,0.85
HK.00168,51.0,52,1,2,0.85
HK.00169,38.0,25,1,27,1.0
