code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,81.0,60,1,16,0.95
HK.00002,78.0,67,1,3,0.2
HK.00003,71.0,76,1,1,0.4
HK.00004,41.0,43,1,7,0.5
HK.00005,89.0,78,0,0,0.5
HK.00006,77.0,72,1,1,0.3
HK.00007,64.0,55,1,1,0.8
HK.00008,57.0,40,1,3,0.95
HK.00010,45.0,35,1,35,1.0
HK.00012,55.0,60,1,5,0.6
HK.00013,77.0,91,0,0,0.05
HK.00014,58.0,31,1,25,1.0
HK.00016,74.0,66,1,6,0.65
HK.00017,46.0,48,1,5,0.45
HK.00018,25.0,49,0,0,0.5
HK.00019,90.0,89,0,0,0.0
HK.00020,25.0,38,1,5,0.6
HK.00021,30.0,69,1,4,0.45
HK.00022,2.0,12,1,1,0.95
HK.00023,90.0,94,0,0,0.0
HK.00025,81.0,59,1,1,0.75
HK.00026,69.0,62,1,1,0.55
HK.00027,60.0,75,0,0,0.15
HK.00028,26.0,32,1,12,0.9
HK.00029,29.0,28,1,3,0.95
HK.00030,58.0,45,0,0,0.6
HK.00031,34.0,18,1,13,0.9
HK.00032,54.0,47,1,1,0.65
HK.00033,53.0,55,1,1,0.8
HK.00034,72.0,31,1,6,0.9
HK.00035,42.0,36,1,15,0.95
HK.00036,76.0,55,1,1,0.8
HK.00037,66.0,51,0,0,0.4
HK.00038,84.0,88,0,0,0.4
HK.00039,19.0,55,1,1,0.8
HK.00040,58.0,48,1,1,0.7
HK.00041,57.0,37,1,7,0.6
HK.00042,24.0,23,0,0,0.8
HK.00045,53.0,48,0,0,0.7
HK.00046,59.0,74,0,0,0.3
HK.00048,92.0,73,0,0,0.45
HK.00050,68.0,66,0,0,0.45
HK.00051,57.0,42,1,1,0.6
HK.00052,73.0,74,1,1,0.4
HK.00053,66.0,65,0,0,0.3
HK.00055,38.0,51,1,4,0.55
HK.00057,52.0,43,1,1,0.7
HK.00058,82.0,23,1,8,0.55
HK.00059,64.0,55,1,1,0.8
HK.00060,83.0,90,0,0,0.0
HK.00061,10.0,24,1,30,1.0
HK.00062,48.0,34,1,14,0.9
HK.00063,12.0,70,0,0,0.55
HK.00064,83.0,74,1,1,0.15
HK.00065,41.0,87,1,1,0.15
HK.00066,75.0,71,0,0,0.5
