code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,82.0,53,1,5,0.6
HK.00002,79.0,74,0,0,0.6
HK.00003,72.0,78,0,0,0.7
HK.00004,41.0,71,0,0,0.55
HK.00005,88.0,77,1,2,0.35
HK.00006,77.0,73,0,0,0.7
HK.00007,66.0,58,1,3,0.95
HK.00008,59.0,41,1,19,0.95
HK.00010,43.0,40,1,24,1.0
HK.00012,55.0,67,0,0,0.65
HK.00013,52.0,86,0,0,0.45
HK.00014,59.0,47,1,14,0.8
HK.00016,78.0,67,0,0,0.9
HK.00017,37.0,39,1,3,0.75
HK.00018,21.0,19,1,1,0.75
HK.00019,89.0,90,0,0,0.0
HK.00020,28.0,61,0,0,0.55
HK.00021,83.0,97,0,0,0.45
HK.00022,2.0,7,1,86,1.0
HK.00023,85.0,93,0,0,0.0
HK.00025,84.0,78,1,4,0.95
HK.00026,69.0,60,1,3,0.95
HK.00027,60.0,86,0,0,0.3
HK.00028,38.0,43,0,0,0.9
HK.00029,30.0,25,1,34,1.0
HK.00030,65.0,49,1,4,0.85
HK.00031,44.0,18,1,2,0.9
HK.00032,55.0,44,1,17,0.95
HK.00033,53.0,58,1,3,0.95
HK.00034,80.0,49,1,4,0.95
HK.00035,44.0,52,1,4,0.95
HK.00036,70.0,58,1,3,0.95
HK.00037,64.0,48,1,3,0.8
HK.00038,74.0,76,1,8,0.45
HK.00039,20.0,58,1,3,0.95
HK.00040,65.0,46,1,3,0.95
HK.00041,68.0,65,0,0,0.8
HK.00042,21.0,11,1,35,1.0
HK.00045,43.0,36,1,9,0.5
HK.00046,57.0,69,0,0,0.8
HK.00048,92.0,43,1,4,0.85
HK.00050,68.0,64,1,4,0.95
HK.00051,61.0,49,1,2,0.75
HK.00052,72.0,78,1,3,0.5
HK.00053,64.0,72,0,0,0.5
HK.00055,46.0,66,1,1,0.75
HK.00057,57.0,62,0,0,0.8
HK.00058,88.0,75,0,0,0.6
HK.00059,66.0,58,1,3,0.95
HK.00060,82.0,88,0,0,0.45
HK.00061,7.0,4,1,18,0.95
HK.00062,63.0,62,1,3,0.9
HK.00063,6.0,4,1,18,0.95
HK.00064,86.0,83,0,0,0.05
HK.00065,23.0,91,1,1,0.2
HK.00066,77.0,73,0,0,0.65
HK.00068,,7,1,3,0.65
HK.00069,51.0,67,1,2,0.65
HK.00070,31.0,35,1,1,0.7
HK.00071,63.0,55,1,3,0.9
HK.00072,79.0,89,0,0,0.35
HK.00073,51.0,17,1,9,0.8
HK.00075,40.0,37,1,1,0.35
HK.00076,22.0,35,1,1,0.7
HK.00077,87.0,91,0,0,0.4
HK.00078,26.0,39,1,3,0.7
HK.00079,90.0,96,0,0,0.0
HK.00081,73.0,67,0,0,0.2
HK.00082,46.0,27,1,29,1.0
HK.00083,59.0,42,0,0,0.95
HK.00084,71.0,77,0,0,0.75
HK.00085,17.0,16,1,36,1.0
HK.00086,72.0,62,0,0,0.95
HK.00087,84.0,86,0,0,0.0
HK.00088,56.0,35,1,39,1.0
HK.00089,53.0,36,1,4,0.8
HK.00090,34.0,27,1,23,1.0
HK.00092,74.0,89,0,0,0.8
HK.00093,33.0,16,1,2,0.9
HK.00094,46.0,24,1,15,0.95
HK.00095,28.0,49,0,0,0.7
HK.00096,57.0,78,0,0,0.7
HK.00097,41.0,35,1,2,0.85
HK.00098,50.0,48,1,1,0.75
HK.00099,42.0,9,1,18,0.9
HK.00100,,69,0,0,0.5
HK.00101,44.0,49,1,24,1.0
HK.00103,26.0,62,0,0,0.6
HK.00104,77.0,68,0,0,0.6
HK.00105,69.0,52,1,3,0.95
HK.00106,60.0,58,1,3,0.95
HK.00107,44.0,37,1,54,1.0
HK.00108,47.0,48,1,1,0.75
HK.00110,96.0,97,0,0,0.1
HK.00111,61.0,14,1,19,0.95
HK.00113,83.0,69,1,3,0.7
HK.00114,85.0,84,0,0,0.8
