code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,83.0,65,1,5,0.25,0.0951
HK.00002,77.0,80,0,0,0.05,0.1658
HK.00003,57.0,52,1,5,0.35,0.2335
HK.00004,38.0,28,1,33,1.0,0.434
HK.00005,87.0,88,0,0,0.05,0.0379
HK.00006,71.0,57,1,3,0.45,0.1921
HK.00007,63.0,72,0,0,0.0,0.2915
HK.00008,67.0,53,1,3,0.25,0.051
HK.00010,48.0,33,1,30,1.0,0.1676
HK.00012,48.0,31,1,30,1.0,0.1975
HK.00013,25.0,43,0,0,0.6,0.6071
HK.00014,69.0,45,1,1,0.5,0.1437
HK.00016,74.0,32,1,3,0.8,0.1667
HK.00017,45.0,20,1,35,1.0,0.4385
HK.00018,30.0,47,1,3,0.3,0.4777
HK.00019,81.0,67,1,1,0.05,0.0854
HK.00020,21.0,15,1,40,1.0,0.4624
HK.00021,32.0,50,1,2,0.4,0.6443
HK.00022,0.0,2,1,54,1.0,
HK.00023,68.0,57,1,5,0.4,0.0716
HK.00025,85.0,93,0,0,0.0,0.174
HK.00026,70.0,78,1,1,0.05,0.0879
HK.00027,40.0,65,0,0,0.15,0.298
HK.00028,28.0,22,1,6,0.7,0.3684
HK.00029,39.0,44,1,2,0.5,0.3164
HK.00030,72.0,89,0,0,0.15,0.0554
HK.00031,80.0,84,1,4,0.2,
HK.00032,50.0,51,1,3,0.2,0.2032
HK.00033,46.0,72,0,0,0.0,
HK.00034,86.0,75,1,1,0.2,0.2099
HK.00035,39.0,45,1,2,0.5,0.5435
HK.00036,72.0,72,0,0,0.0,
HK.00037,75.0,82,0,0,0.15,0.3222
HK.00038,56.0,34,1,1,0.8,0.2806
HK.00039,17.0,72,0,0,0.0,0.6643
HK.00040,72.0,76,1,2,0.1,0.0842
HK.00041,68.0,40,1,4,0.85,0.1093
HK.00042,45.0,13,1,4,0.95,0.4949
HK.00045,46.0,42,1,3,0.7,0.3215
HK.00046,43.0,76,0,0,0.0,0.5063
HK.00048,92.0,88,1,4,0.4,
HK.00050,66.0,59,1,1,0.2,0.1211
HK.00051,68.0,63,0,0,0.15,0.4181
HK.00052,58.0,90,0,0,0.05,0.5292
HK.00053,61.0,65,0,0,0.05,0.323
HK.00055,32.0,34,1,6,0.6,0.5378
HK.00057,56.0,53,1,4,0.35,0.1476
HK.00058,79.0,34,0,0,0.55,
HK.00059,63.0,72,0,0,0.0,
HK.00060,71.0,81,0,0,0.0,0.3503
HK.00061,15.0,12,1,2,0.7,0.5822
HK.00062,64.0,75,1,1,0.1,0.1713
HK.00063,20.0,15,1,5,0.55,0.6973
HK.00064,79.0,84,0,0,0.05,0.1151
HK.00065,6.0,11,1,61,1.0,0.8873
HK.00066,73.0,60,1,2,0.1,0.1223
HK.00069,48.0,54,1,2,0.3,0.447
HK.00070,54.0,81,1,1,0.45,0.4089
HK.00071,69.0,65,1,1,0.1,0.1444
HK.00072,75.0,81,0,0,0.25,0.2502
HK.00073,79.0,82,1,1,0.2,0.5483
HK.00075,70.0,81,1,4,0.25,
HK.00076,20.0,43,1,4,0.65,0.7799
HK.00077,81.0,90,0,0,0.0,0.376
HK.00078,16.0,9,1,26,1.0,0.9089
HK.00079,34.0,55,1,3,0.15,0.5551
HK.00081,69.0,22,1,24,1.0,0.2275
HK.00082,58.0,58,1,1,0.55,0.5339
HK.00083,68.0,29,1,31,1.0,0.1514
HK.00084,65.0,85,0,0,0.1,0.4799
HK.00085,32.0,37,1,5,0.6,0.4373
HK.00086,75.0,69,1,1,0.1,0.0398
HK.00087,74.0,58,1,3,0.15,0.0738
HK.00088,59.0,38,1,8,0.8,0.1418
HK.00089,51.0,35,1,1,0.45,0.3484
HK.00090,70.0,86,0,0,0.1,
HK.00092,69.0,62,1,1,0.2,0.5115
HK.00093,44.0,84,0,0,0.35,0.4688
HK.00094,42.0,26,1,4,0.6,
HK.00095,20.0,26,0,0,0.8,0.8485
HK.00096,50.0,51,0,0,0.65,0.5523
HK.00097,38.0,54,1,1,0.3,
HK.00098,46.0,46,1,5,0.35,0.3416
HK.00099,50.0,42,1,6,0.45,0.4215
HK.00100,,1,1,11,0.95,0.685
HK.00101,42.0,30,1,39,1.0,0.1965
HK.00103,19.0,27,1,5,0.6,0.5253
HK.00104,78.0,86,0,0,0.1,0.0872
HK.00105,67.0,69,0,0,0.0,0.1857
HK.00106,71.0,72,0,0,0.0,
HK.00107,54.0,35,1,23,1.0,0.1557
HK.00108,72.0,11,1,4,0.45,
