code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00186,96.0,99,0,0,0.1
HK.00187,17.0,33,1,7,0.8
HK.00188,42.0,18,1,22,1.0
HK.00189,72.0,28,0,0,0.85
HK.00191,27.0,7,1,44,1.0
HK.00193,54.0,32,1,8,0.9
HK.00194,62.0,41,1,8,0.95
HK.00196,10.0,9,1,36,1.0
HK.00197,83.0,92,0,0,0.5
HK.00199,98.0,93,0,0,0.15
HK.00200,25.0,25,1,10,0.8
HK.00201,46.0,27,1,9,0.9
HK.00202,3.0,5,1,2,0.9
HK.00205,85.0,15,0,0,0.95
HK.00206,18.0,14,0,0,0.95
HK.00209,0.0,0,1,4,0.35
HK.00210,33.0,26,1,6,0.8
HK.00211,73.0,65,1,1,0.55
HK.00212,71.0,58,1,4,0.85
HK.00213,52.0,36,0,0,0.8
HK.00214,32.0,80,0,0,0.15
HK.00215,76.0,65,0,0,0.9
HK.00216,28.0,21,1,9,0.9
HK.00217,39.0,22,1,37,1.0
HK.00218,26.0,40,1,12,0.7
HK.00219,74.0,39,1,8,0.9
HK.00220,64.0,73,1,1,0.3
HK.00222,61.0,18,1,8,0.95
HK.00223,9.0,3,1,38,1.0
HK.00224,72.0,81,0,0,0.1
HK.00225,61.0,43,1,2,0.75
HK.00227,13.0,30,1,29,1.0
HK.00228,10.0,3,1,44,1.0
HK.00229,42.0,20,1,38,1.0
HK.00232,97.0,94,0,0,0.0
HK.00234,41.0,54,0,0,0.85
HK.00235,26.0,47,1,7,0.6
HK.00236,55.0,43,0,0,0.75
HK.00237,74.0,61,0,0,0.7
HK.00239,79.0,81,0,0,0.45
HK.00240,71.0,44,1,8,0.95
HK.00241,21.0,56,1,9,0.55
HK.00242,21.0,20,1,4,0.9
HK.00243,70.0,66,0,0,0.6
HK.00244,43.0,37,1,4,0.7
HK.00245,68.0,62,0,0,0.5
HK.00247,62.0,50,1,8,0.95
HK.00248,25.0,12,1,33,1.0
HK.00251,63.0,42,1,8,0.95
HK.00252,71.0,63,0,0,0.6
HK.00253,63.0,36,1,8,0.95
HK.00254,1.0,83,0,0,0.9
HK.00255,72.0,69,0,0,0.6
HK.00256,15.0,92,0,0,0.4
HK.00257,73.0,55,0,0,0.65
HK.00258,43.0,47,0,0,0.9
HK.00259,36.0,8,1,40,1.0
HK.00261,57.0,89,0,0,0.3
HK.00262,63.0,65,0,0,0.45
HK.00264,54.0,17,1,1,0.5
HK.00265,62.0,19,1,36,1.0
HK.00266,64.0,58,1,1,0.65
HK.00267,76.0,76,0,0,0.45
HK.00268,34.0,89,0,0,0.25
HK.00269,59.0,50,1,8,0.95
HK.00270,78.0,61,1,1,0.6
HK.00271,42.0,37,1,5,0.8
HK.00272,13.0,10,1,18,0.9
HK.00274,66.0,50,1,8,0.95
HK.00276,33.0,36,1,14,0.95
HK.00277,22.0,13,1,36,1.0
HK.00279,11.0,24,1,1,0.9
HK.00280,87.0,87,0,0,0.1
HK.00285,21.0,43,1,6,0.75
HK.00286,66.0,50,1,8,0.95
HK.00287,72.0,47,1,8,0.95
HK.00288,56.0,29,1,2,0.95
HK.00289,64.0,34,1,21,1.0
HK.00290,7.0,9,1,7,0.75
HK.00291,33.0,15,1,19,0.95
HK.00293,86.0,76,0,0,0.15
HK.00294,84.0,84,0,0,0.15
HK.00295,56.0,63,0,0,0.65
HK.00296,28.0,26,1,8,0.75
HK.00297,49.0,59,0,0,0.8
HK.00298,41.0,54,0,0,0.85
HK.00299,66.0,50,1,8,0.95
HK.00300,84.0,82,0,0,0.15
HK.00301,98.0,98,0,0,0.05
HK.00302,11.0,55,1,8,0.6
HK.00303,55.0,59,1,6,0.7
HK.00305,37.0,57,1,7,0.45
HK.00306,83.0,74,0,0,0.65
