code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,83.0,85,0,0,0.0
HK.00002,70.0,67,1,3,0.35
HK.00003,55.0,59,1,3,0.4
HK.00004,51.0,40,1,10,0.5
HK.00005,84.0,80,0,0,0.15
HK.00006,67.0,39,1,4,0.55
HK.00007,56.0,64,1,1,0.45
HK.00008,70.0,76,0,0,0.1
HK.00010,62.0,40,1,7,0.45
HK.00012,61.0,43,1,7,0.35
HK.00013,25.0,17,1,30,1.0
HK.00014,71.0,37,1,4,0.65
HK.00016,78.0,34,1,7,0.55
HK.00017,70.0,30,1,12,0.65
HK.00018,25.0,52,1,3,0.6
HK.00019,79.0,68,0,0,0.45
HK.00020,34.0,19,1,17,0.9
HK.00021,24.0,88,0,0,0.4
HK.00022,2.0,4,1,32,1.0
HK.00023,66.0,61,1,4,0.3
HK.00025,63.0,72,0,0,0.2
HK.00026,60.0,71,0,0,0.25
HK.00027,33.0,47,0,0,0.75
HK.00028,37.0,48,1,2,0.8
HK.00029,37.0,54,1,2,0.5
HK.00030,32.0,14,1,42,1.0
HK.00031,72.0,88,0,0,0.0
HK.00032,52.0,54,1,3,0.5
HK.00033,26.0,64,1,1,0.45
HK.00034,84.0,82,0,0,0.0
HK.00035,33.0,35,1,3,0.9
HK.00036,57.0,64,1,1,0.4
HK.00037,47.0,38,1,2,0.45
HK.00038,67.0,39,1,2,0.65
HK.00039,3.0,33,1,1,0.75
HK.00040,63.0,60,0,0,0.5
HK.00041,75.0,58,1,3,0.3
HK.00042,69.0,16,1,14,0.85
HK.00045,49.0,54,1,3,0.45
HK.00046,28.0,41,1,2,0.65
HK.00048,91.0,94,0,0,0.05
HK.00050,66.0,62,1,4,0.2
HK.00051,61.0,66,1,3,0.25
HK.00052,25.0,43,1,3,0.75
HK.00053,52.0,58,1,3,0.2
HK.00055,39.0,70,0,0,0.8
HK.00057,66.0,74,0,0,0.15
HK.00058,87.0,35,1,6,0.35
HK.00059,56.0,64,1,1,0.45
HK.00060,40.0,39,1,2,0.85
HK.00061,20.0,14,1,10,0.8
HK.00062,46.0,46,1,4,0.85
HK.00063,35.0,81,0,0,0.2
HK.00064,67.0,75,1,2,0.45
HK.00065,6.0,9,1,38,1.0
HK.00066,64.0,48,1,5,0.75
HK.00069,39.0,44,1,4,0.85
HK.00070,34.0,74,1,3,0.25
HK.00071,63.0,56,1,2,0.5
HK.00072,72.0,87,0,0,0.25
HK.00073,69.0,79,0,0,0.5
HK.00075,75.0,89,0,0,0.1
HK.00076,10.0,16,1,22,1.0
HK.00077,55.0,63,1,1,0.35
HK.00078,45.0,47,1,3,0.5
HK.00079,24.0,76,0,0,0.8
HK.00081,81.0,78,1,1,0.3
HK.00082,62.0,77,0,0,0.1
HK.00083,77.0,47,1,8,0.45
HK.00084,34.0,23,1,6,0.7
HK.00085,34.0,71,0,0,0.35
HK.00086,73.0,73,0,0,0.3
HK.00087,75.0,72,0,0,0.35
HK.00088,68.0,41,1,7,0.75
HK.00089,59.0,45,1,5,0.7
HK.00090,42.0,42,0,0,0.8
