code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,84.0,75,1,2,0.1,0.0535
HK.00002,76.0,77,0,0,0.1,0.1464
HK.00003,57.0,53,1,2,0.25,0.2044
HK.00004,37.0,19,1,30,1.0,0.4109
HK.00005,88.0,87,0,0,0.05,0.0008
HK.00006,74.0,63,0,0,0.45,0.1472
HK.00007,62.0,72,0,0,0.0,0.2779
HK.00008,68.0,53,0,0,0.1,0.0219
HK.00010,51.0,35,1,27,1.0,0.1354
HK.00012,47.0,31,1,27,1.0,0.1663
HK.00013,28.0,43,0,0,0.75,0.5875
HK.00014,71.0,50,0,0,0.6,0.11
HK.00016,77.0,37,0,0,0.8,0.1188
HK.00017,46.0,19,1,32,1.0,0.4163
HK.00018,36.0,65,0,0,0.3,0.4079
HK.00019,80.0,66,0,0,0.0,0.0652
HK.00020,21.0,10,1,37,1.0,0.4508
HK.00021,55.0,89,0,0,0.3,0.613
HK.00022,0.0,2,1,52,1.0,
HK.00023,67.0,51,1,2,0.25,0.0592
HK.00025,82.0,91,0,0,0.0,0.1889
HK.00026,72.0,79,0,0,0.0,0.0456
HK.00027,36.0,46,0,0,0.25,0.3237
HK.00028,33.0,32,1,3,0.55,0.3203
HK.00029,37.0,43,0,0,0.5,0.3019
HK.00030,61.0,89,0,0,0.15,0.0744
HK.00031,84.0,92,1,1,0.05,
HK.00032,50.0,55,1,1,0.1,0.1961
HK.00033,43.0,72,0,0,0.0,
HK.00034,86.0,75,0,0,0.15,0.1929
HK.00035,40.0,50,0,0,0.45,0.52
HK.00036,71.0,72,0,0,0.0,
HK.00037,69.0,61,0,0,0.25,0.3373
HK.00038,48.0,26,0,0,0.75,0.2657
HK.00039,15.0,69,0,0,0.05,0.6578
HK.00040,70.0,69,0,0,0.0,0.0371
HK.00041,69.0,42,1,1,0.85,0.0719
HK.00042,45.0,13,1,1,0.95,0.4578
HK.00045,45.0,41,0,0,0.55,0.2981
HK.00046,41.0,79,0,0,0.05,0.4968
HK.00048,92.0,87,1,1,0.25,
HK.00050,65.0,60,0,0,0.15,0.0929
HK.00051,61.0,58,0,0,0.15,0.419
HK.00052,55.0,90,0,0,0.15,0.5121
HK.00053,59.0,64,0,0,0.0,0.3253
HK.00055,40.0,42,1,3,0.45,0.5255
HK.00057,54.0,54,1,1,0.2,0.1334
HK.00058,75.0,32,0,0,0.6,
HK.00059,62.0,72,0,0,0.0,
HK.00060,64.0,83,0,0,0.05,0.3379
HK.00061,20.0,26,0,0,0.65,0.5301
HK.00062,66.0,77,0,0,0.05,0.1314
HK.00063,26.0,31,1,3,0.45,0.6802
HK.00064,79.0,85,0,0,0.1,0.0982
HK.00065,6.0,12,1,59,1.0,0.9012
HK.00066,76.0,69,0,0,0.05,0.0716
HK.00069,45.0,50,0,0,0.3,0.4312
HK.00070,61.0,86,0,0,0.6,0.3547
HK.00071,67.0,60,0,0,0.05,0.1332
HK.00072,61.0,59,1,4,0.25,0.2805
HK.00073,81.0,89,0,0,0.1,0.4946
HK.00075,37.0,21,1,1,0.15,
HK.00076,18.0,35,1,1,0.65,0.7801
HK.00077,76.0,89,0,0,0.0,0.3651
HK.00078,17.0,9,1,23,1.0,0.9031
HK.00079,37.0,66,0,0,0.0,0.5298
HK.00081,73.0,22,1,21,1.0,0.1887
HK.00082,59.0,63,0,0,0.5,0.5112
HK.00083,71.0,35,1,28,1.0,0.106
HK.00084,56.0,81,0,0,0.2,0.4767
HK.00085,28.0,40,1,2,0.5,0.4168
HK.00086,75.0,61,0,0,0.0,0.029
HK.00087,75.0,61,0,0,0.0,0.0386
HK.00088,55.0,32,1,5,0.8,0.1342
HK.00089,57.0,51,0,0,0.5,0.2821
HK.00090,82.0,91,0,0,0.1,
HK.00092,57.0,60,0,0,0.25,0.4845
HK.00093,52.0,84,0,0,0.5,0.4586
HK.00094,40.0,17,1,1,0.6,
HK.00095,8.0,5,1,3,0.9,0.8686
HK.00096,41.0,38,1,3,0.7,0.5665
HK.00097,34.0,49,0,0,0.4,
HK.00098,43.0,42,1,1,0.15,0.3239
HK.00099,42.0,29,1,2,0.4,0.4181
HK.00101,46.0,33,1,36,1.0,0.1661
HK.00103,20.0,27,1,2,0.55,0.4891
HK.00104,73.0,80,0,0,0.0,0.0956
HK.00105,64.0,67,0,0,0.0,0.1701
HK.00106,71.0,72,0,0,0.0,
HK.00107,50.0,22,1,20,1.0,0.125
HK.00108,86.0,39,1,1,0.45,
HK.00110,96.0,95,0,0,0.85,0.0
HK.00111,87.0,60,0,0,0.55,
HK.00113,75.0,83,0,0,0.0,0.0829
HK.00114,79.0,75,0,0,0.15,0.0708
HK.00115,81.0,17,1,13,0.75,0.2035
HK.00116,49.0,43,0,0,0.65,0.2038
HK.00117,99.0,99,0,0,0.25,
HK.00118,58.0,78,1,8,0.75,
HK.00119,46.0,16,1,22,1.0,0.2902
HK.00120,5.0,7,1,8,0.65,
HK.00122,40.0,68,0,0,0.1,0.5387
HK.00123,38.0,28,1,12,0.6,0.5484
HK.00124,40.0,39,1,14,0.75,0.6373
HK.00125,30.0,50,0,0,0.2,0.6527
HK.00126,28.0,29,1,4,0.2,0.6578
HK.00127,41.0,49,0,0,0.7,0.3749
HK.00128,93.0,97,0,0,0.0,
HK.00129,25.0,59,0,0,0.35,0.6535
HK.00130,85.0,77,0,0,0.15,
HK.00131,65.0,78,0,0,0.0,0.4332
HK.00132,40.0,65,0,0,0.3,0.6071
HK.00135,44.0,41,1,3,0.6,0.4008
HK.00136,23.0,64,0,0,0.3,0.5323
HK.00137,46.0,55,0,0,0.55,0.499
HK.00138,4.0,7,1,10,0.6,0.7926
HK.00139,37.0,93,0,0,0.3,0.8514
HK.00142,43.0,57,0,0,0.2,0.1526
HK.00144,40.0,30,1,22,1.0,0.1413
HK.00145,31.0,52,0,0,0.35,
HK.00146,55.0,77,0,0,0.0,0.1194
HK.00147,13.0,24,1,14,0.7,
HK.00148,97.0,98,1,1,0.05,0.2883
HK.00149,75.0,79,0,0,0.2,0.1362
HK.00150,56.0,61,0,0,0.4,0.4711
HK.00151,14.0,11,1,3,0.3,0.4763
HK.00152,24.0,29,1,4,0.7,0.312
HK.00154,22.0,16,1,64,1.0,0.3807
HK.00156,79.0,62,0,0,0.1,0.0925
HK.00157,45.0,66,0,0,0.05,0.3441
HK.00158,54.0,60,0,0,0.3,0.3297
HK.00159,29.0,42,0,0,0.35,
HK.00160,25.0,15,1,13,0.65,0.5377
HK.00162,37.0,18,1,12,0.75,
HK.00163,22.0,23,1,6,0.9,0.6967
HK.00164,83.0,74,1,3,0.2,0.6533
HK.00165,27.0,37,1,8,0.75,0.5097
HK.00166,15.0,22,1,9,0.8,0.6705
HK.00167,95.0,91,0,0,0.2,
HK.00168,52.0,51,0,0,0.45,0.2925
HK.00169,42.0,68,1,6,0.3,
HK.00171,3.0,3,1,63,1.0,
