code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,86.0,82,0,0,0.3,0.0245
HK.00002,78.0,82,0,0,0.05,0.154
HK.00003,61.0,58,1,7,0.45,0.2186
HK.00004,37.0,20,1,35,1.0,0.442
HK.00005,87.0,88,0,0,0.0,0.0268
HK.00006,74.0,69,0,0,0.35,0.1663
HK.00007,64.0,73,1,2,0.1,0.3072
HK.00008,72.0,56,1,5,0.35,0.038
HK.00010,47.0,33,1,32,1.0,0.1745
HK.00012,49.0,32,1,32,1.0,0.2011
HK.00013,27.0,48,0,0,0.55,0.6091
HK.00014,70.0,48,1,3,0.5,0.1414
HK.00016,78.0,46,0,0,0.75,0.129
HK.00017,42.0,16,1,37,1.0,0.4447
HK.00018,32.0,45,1,5,0.4,0.4772
HK.00019,84.0,80,0,0,0.1,0.0371
HK.00020,19.0,18,1,42,1.0,0.458
HK.00021,41.0,68,1,4,0.5,0.6522
HK.00022,0.0,3,1,56,1.0,
HK.00023,68.0,58,1,7,0.45,0.07
HK.00025,86.0,93,0,0,0.0,0.1796
HK.00026,72.0,77,0,0,0.05,0.0743
HK.00027,40.0,66,0,0,0.2,0.3
HK.00028,47.0,60,0,0,0.75,0.2724
HK.00029,32.0,37,1,5,0.6,0.364
HK.00030,70.0,90,0,0,0.1,0.0716
HK.00031,79.0,75,1,6,0.3,
HK.00032,52.0,49,1,6,0.35,0.2287
HK.00033,46.0,73,1,2,0.1,
HK.00034,86.0,79,0,0,0.2,0.1901
HK.00035,46.0,51,1,1,0.5,0.5364
HK.00036,73.0,73,1,2,0.1,
HK.00037,73.0,82,0,0,0.1,0.3215
HK.00038,54.0,34,1,3,0.8,0.2848
HK.00039,18.0,73,1,2,0.1,0.6717
HK.00040,72.0,80,1,4,0.2,0.0567
HK.00041,70.0,41,1,6,0.85,0.1066
HK.00042,46.0,11,1,6,0.95,0.5034
HK.00045,51.0,47,1,1,0.65,0.3018
HK.00046,43.0,82,0,0,0.05,0.5084
