code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,83.0,68,1,3,0.15,0.077
HK.00002,76.0,77,0,0,0.05,0.1537
HK.00003,56.0,51,1,3,0.25,0.217
HK.00004,39.0,23,1,31,1.0,0.4148
HK.00005,88.0,86,0,0,0.05,0.012
HK.00006,71.0,59,1,1,0.45,0.1743
HK.00007,62.0,72,0,0,0.0,0.2871
HK.00008,67.0,53,1,1,0.15,0.04
HK.00010,52.0,38,1,28,1.0,0.1425
HK.00012,48.0,31,1,28,1.0,0.1738
HK.00013,27.0,49,0,0,0.7,0.5838
HK.00014,71.0,49,0,0,0.55,0.1231
HK.00016,76.0,39,1,1,0.8,0.1303
HK.00017,46.0,20,1,33,1.0,0.4228
HK.00018,34.0,59,1,1,0.25,0.4434
HK.00019,81.0,65,0,0,0.0,0.069
HK.00020,17.0,9,1,38,1.0,0.4727
HK.00021,38.0,75,1,1,0.35,0.6461
HK.00022,0.0,2,1,52,1.0,
HK.00023,64.0,48,1,3,0.3,0.0771
HK.00025,85.0,94,0,0,0.0,0.1454
HK.00026,70.0,76,0,0,0.0,0.0629
HK.00027,37.0,53,0,0,0.25,0.3085
HK.00028,32.0,30,1,4,0.6,0.3337
HK.00029,39.0,44,1,1,0.45,0.3198
HK.00030,61.0,88,0,0,0.15,0.0849
HK.00031,84.0,92,1,2,0.1,
HK.00032,51.0,55,1,2,0.15,0.2072
HK.00033,42.0,72,0,0,0.0,
HK.00034,86.0,75,0,0,0.15,0.2055
HK.00035,42.0,54,0,0,0.4,0.5254
HK.00036,71.0,72,0,0,0.0,
HK.00037,77.0,83,0,0,0.2,0.2793
HK.00038,57.0,36,0,0,0.75,0.2507
HK.00039,16.0,69,0,0,0.0,0.6622
HK.00040,74.0,79,0,0,0.0,0.0208
HK.00041,68.0,41,1,2,0.85,0.0879
HK.00042,45.0,13,1,1,0.95,0.4578
HK.00045,46.0,43,1,1,0.6,0.3008
HK.00046,41.0,79,0,0,0.0,0.5032
HK.00048,92.0,87,1,1,0.25,
HK.00050,66.0,61,0,0,0.15,0.0975
HK.00051,65.0,59,0,0,0.15,0.4184
HK.00052,55.0,89,0,0,0.1,0.5176
HK.00053,57.0,62,1,1,0.05,0.3373
HK.00055,33.0,37,1,5,0.55,0.5368
HK.00057,57.0,55,1,2,0.25,0.1265
HK.00058,74.0,32,1,1,0.6,
HK.00059,62.0,72,0,0,0.0,
HK.00060,64.0,84,0,0,0.0,0.3462
HK.00061,13.0,13,1,1,0.65,0.5843
HK.00062,66.0,78,0,0,0.05,0.1395
HK.00063,20.0,14,1,4,0.5,0.7064
HK.00064,78.0,84,0,0,0.05,0.1096
HK.00065,6.0,12,1,59,1.0,0.8866
HK.00066,76.0,74,0,0,0.0,0.0757
HK.00069,50.0,58,0,0,0.25,0.4263
HK.00070,60.0,85,0,0,0.55,0.3629
HK.00071,69.0,64,0,0,0.05,0.131
HK.00072,74.0,79,0,0,0.25,0.2175
HK.00073,78.0,81,1,1,0.15,0.5371
HK.00075,55.0,51,1,2,0.2,
HK.00076,18.0,35,1,1,0.65,0.7801
HK.00077,80.0,90,0,0,0.0,0.3606
HK.00078,16.0,8,1,24,1.0,0.9079
HK.00079,34.0,56,1,2,0.1,0.5574
HK.00081,73.0,25,1,22,1.0,0.1907
HK.00082,58.0,51,0,0,0.5,0.5282
HK.00083,69.0,30,1,29,1.0,0.1329
HK.00084,52.0,83,0,0,0.15,0.4826
HK.00085,26.0,31,1,3,0.55,0.4344
HK.00086,73.0,63,1,1,0.05,0.04
HK.00087,75.0,57,1,1,0.05,0.0509
HK.00088,58.0,37,1,6,0.8,0.1232
HK.00089,56.0,50,0,0,0.5,0.2821
HK.00090,82.0,92,0,0,0.1,
HK.00092,58.0,63,0,0,0.2,0.494
HK.00093,52.0,83,0,0,0.45,0.4654
HK.00094,38.0,24,1,3,0.6,
HK.00095,15.0,11,1,4,0.9,0.8579
HK.00096,48.0,51,0,0,0.65,0.5546
HK.00097,39.0,52,0,0,0.35,
HK.00098,48.0,50,1,3,0.25,0.3107
HK.00099,42.0,27,1,3,0.4,0.4255
HK.00101,45.0,32,1,37,1.0,0.1801
HK.00103,18.0,25,1,3,0.55,0.5029
HK.00104,72.0,76,1,1,0.05,0.1207
HK.00105,64.0,66,0,0,0.0,0.1806
HK.00106,72.0,72,0,0,0.0,
HK.00107,51.0,27,1,21,1.0,0.1215
HK.00108,85.0,35,1,2,0.45,
HK.00110,95.0,94,0,0,0.8,0.1122
HK.00111,87.0,45,1,1,0.55,
HK.00113,70.0,79,0,0,0.0,0.1077
HK.00114,81.0,80,0,0,0.15,0.0526
HK.00115,81.0,17,1,14,0.75,0.2184
HK.00116,48.0,49,0,0,0.6,0.2036
HK.00117,99.0,99,1,1,0.3,
HK.00118,55.0,53,1,9,0.75,
HK.00119,44.0,17,1,23,1.0,0.2982
HK.00120,7.0,10,1,9,0.65,
HK.00122,37.0,66,0,0,0.05,0.5221
HK.00123,40.0,31,1,13,0.65,0.5447
HK.00124,40.0,36,1,15,0.8,0.645
HK.00125,34.0,55,0,0,0.15,0.6571
HK.00126,54.0,76,0,0,0.2,0.5831
HK.00127,41.0,48,0,0,0.7,0.3749
HK.00128,93.0,98,0,0,0.0,
HK.00129,17.0,29,1,1,0.4,0.692
HK.00130,84.0,76,0,0,0.15,
HK.00131,66.0,70,1,1,0.05,0.4467
HK.00132,35.0,57,0,0,0.3,0.6218
HK.00135,47.0,46,0,0,0.55,0.3948
HK.00136,21.0,65,0,0,0.25,0.553
HK.00137,44.0,53,1,1,0.5,0.511
HK.00138,4.0,7,1,10,0.6,0.7926
HK.00139,46.0,95,0,0,0.25,0.8427
HK.00142,43.0,57,0,0,0.15,0.1538
HK.00144,44.0,33,1,23,1.0,0.1379
HK.00145,32.0,32,1,1,0.35,
HK.00146,59.0,77,0,0,0.0,0.1305
HK.00147,11.0,23,1,15,0.75,
HK.00148,97.0,98,1,2,0.1,0.3638
HK.00149,60.0,56,1,1,0.2,0.1977
HK.00150,56.0,78,0,0,0.35,0.4611
HK.00151,16.0,15,1,4,0.35,0.4598
HK.00152,28.0,34,0,0,0.65,0.2988
HK.00154,20.0,15,1,65,1.0,0.4028
HK.00156,79.0,64,0,0,0.1,0.104
HK.00157,44.0,66,0,0,0.05,0.3441
HK.00158,56.0,60,0,0,0.25,0.3382
HK.00159,29.0,42,0,0,0.35,
HK.00160,22.0,14,1,14,0.7,0.5551
HK.00162,36.0,19,1,13,0.75,
HK.00163,22.0,21,1,7,0.9,0.7061
HK.00164,83.0,65,1,4,0.2,0.6366
HK.00165,29.0,41,1,9,0.75,0.5081
HK.00166,15.0,21,1,11,0.8,0.6773
HK.00167,95.0,84,0,0,0.2,
HK.00168,54.0,59,0,0,0.4,0.2921
HK.00169,43.0,70,1,7,0.35,
HK.00171,3.0,2,1,64,1.0,
HK.00173,52.0,39,1,5,0.8,0.2083
HK.00174,56.0,87,0,0,0.05,0.4348
HK.00175,66.0,53,0,0,0.55,0.1664
HK.00176,62.0,72,0,0,0.0,0.6946
HK.00177,66.0,53,1,4,0.2,0.0852
HK.00178,89.0,88,0,0,0.05,0.0332
HK.00179,46.0,69,0,0,0.65,0.4167
HK.00180,50.0,68,1,2,0.3,0.5649
HK.00181,54.0,28,1,6,0.3,0.1727
HK.00182,77.0,63,1,4,0.2,0.5275
HK.00183,44.0,77,0,0,0.1,0.5708
HK.00184,68.0,75,1,1,0.05,0.1983
HK.00185,18.0,23,1,2,0.8,0.8488
HK.00186,41.0,68,0,0,0.05,
HK.00187,16.0,21,1,8,0.9,0.4365
HK.00188,60.0,67,1,1,0.2,0.2281
HK.00189,91.0,93,1,2,0.1,0.2368
HK.00191,78.0,21,1,6,0.6,0.2825
HK.00193,54.0,56,1,2,0.15,0.657
HK.00194,60.0,61,0,0,0.05,0.2308
HK.00195,62.0,72,0,0,0.0,0.2871
HK.00196,26.0,23,1,32,1.0,0.3732
HK.00197,80.0,87,0,0,0.1,0.5031
HK.00199,98.0,98,0,0,0.0,
HK.00200,32.0,30,1,1,0.65,0.5183
HK.00201,50.0,57,1,1,0.2,0.4055
HK.00202,7.0,8,1,4,0.95,
HK.00205,91.0,39,1,3,0.6,
HK.00206,70.0,17,1,1,0.9,0.3931
HK.00209,95.0,93,0,0,0.05,
HK.00210,36.0,43,1,3,0.3,0.304
HK.00211,53.0,63,0,0,0.15,0.1204
HK.00212,66.0,68,0,0,0.0,0.1329
