code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,83.0,66,1,4,0.2,0.0781
HK.00002,76.0,79,0,0,0.05,0.1477
HK.00003,56.0,55,1,4,0.3,0.2142
HK.00004,39.0,28,1,32,1.0,0.4164
HK.00005,88.0,88,0,0,0.05,0.0
HK.00006,71.0,60,1,2,0.45,0.1738
HK.00007,63.0,73,0,0,0.0,0.2951
HK.00008,67.0,56,1,2,0.2,0.0351
HK.00010,50.0,36,1,29,1.0,0.1487
HK.00012,49.0,33,1,29,1.0,0.1716
HK.00013,26.0,45,0,0,0.65,0.5956
HK.00014,69.0,48,0,0,0.5,0.1248
HK.00016,75.0,36,1,2,0.8,0.1388
HK.00017,41.0,19,1,34,1.0,0.4322
HK.00018,29.0,48,1,2,0.25,0.4621
HK.00019,80.0,64,0,0,0.0,0.0733
HK.00020,14.0,7,1,39,1.0,0.5056
HK.00021,39.0,76,1,1,0.35,0.6461
HK.00022,0.0,1,1,53,1.0,
HK.00023,67.0,56,1,4,0.35,0.0615
HK.00025,86.0,94,0,0,0.0,0.1246
HK.00026,71.0,77,0,0,0.0,0.0663
HK.00027,37.0,56,0,0,0.2,0.3031
HK.00028,32.0,28,1,5,0.65,0.3399
HK.00029,40.0,46,1,2,0.5,0.3164
HK.00030,72.0,89,0,0,0.15,0.0448
HK.00031,83.0,89,1,3,0.15,
HK.00032,50.0,53,1,3,0.2,0.2032
HK.00033,45.0,73,0,0,0.0,
HK.00034,86.0,80,0,0,0.15,0.1913
HK.00035,34.0,33,1,1,0.45,0.5571
HK.00036,72.0,73,0,0,0.0,
HK.00037,77.0,83,0,0,0.2,0.2888
HK.00038,57.0,35,0,0,0.75,0.256
HK.00039,16.0,71,0,0,0.0,0.666
HK.00040,68.0,65,1,1,0.05,0.0705
HK.00041,66.0,39,1,3,0.85,0.0991
HK.00042,49.0,17,1,3,0.95,0.4705
HK.00045,45.0,40,1,2,0.65,0.313
HK.00046,44.0,78,0,0,0.0,0.5088
HK.00048,92.0,88,1,2,0.3,
HK.00050,67.0,63,0,0,0.15,0.0948
HK.00051,68.0,64,0,0,0.15,0.4211
HK.00052,58.0,90,0,0,0.05,0.5151
HK.00053,61.0,66,0,0,0.05,0.323
HK.00055,33.0,36,1,6,0.6,0.5378
HK.00057,57.0,57,1,3,0.3,0.1277
HK.00058,78.0,35,0,0,0.55,
HK.00059,63.0,73,0,0,0.0,
HK.00060,64.0,84,0,0,0.0,0.3536
HK.00061,14.0,13,1,1,0.65,0.5843
HK.00062,62.0,71,0,0,0.05,0.1527
HK.00063,20.0,14,1,4,0.5,0.7064
HK.00064,78.0,86,0,0,0.05,0.1196
HK.00065,6.0,13,1,60,1.0,0.8878
HK.00066,73.0,61,1,1,0.05,0.1043
HK.00069,44.0,50,1,1,0.3,0.4447
HK.00070,54.0,86,0,0,0.45,0.3668
HK.00071,71.0,68,0,0,0.05,0.1162
HK.00072,74.0,80,0,0,0.25,0.2175
HK.00073,79.0,81,1,1,0.15,0.5371
HK.00075,56.0,53,1,2,0.2,
HK.00076,20.0,38,1,3,0.65,0.7799
HK.00077,81.0,90,0,0,0.0,0.3606
HK.00078,17.0,10,1,25,1.0,0.905
HK.00079,35.0,58,1,2,0.1,0.5574
HK.00081,70.0,25,1,23,1.0,0.2079
HK.00082,57.0,49,0,0,0.5,0.5316
HK.00083,68.0,30,1,30,1.0,0.1328
HK.00084,54.0,83,0,0,0.15,0.4826
HK.00085,29.0,28,1,4,0.6,0.4426
HK.00086,74.0,65,0,0,0.05,0.0351
HK.00087,74.0,55,1,2,0.1,0.0635
HK.00088,57.0,37,1,7,0.8,0.1266
HK.00089,64.0,51,0,0,0.45,0.2902
HK.00090,82.0,90,0,0,0.1,
HK.00092,65.0,64,0,0,0.2,0.4969
HK.00093,43.0,80,0,0,0.4,0.4715
HK.00094,43.0,28,1,4,0.6,
HK.00095,22.0,19,0,0,0.85,0.8466
HK.00096,49.0,53,0,0,0.65,0.5546
HK.00097,39.0,53,0,0,0.35,
HK.00098,45.0,46,1,4,0.3,0.3261
HK.00099,43.0,31,1,4,0.45,0.432
HK.00101,41.0,31,1,38,1.0,0.1874
HK.00103,17.0,30,1,4,0.55,0.5057
HK.00104,72.0,77,1,2,0.1,0.1163
HK.00105,67.0,70,0,0,0.0,0.1898
HK.00106,73.0,73,0,0,0.0,
HK.00107,51.0,31,1,22,1.0,0.1343
HK.00108,85.0,30,1,3,0.45,
HK.00110,95.0,94,0,0,0.75,0.1077
HK.00111,86.0,53,1,2,0.55,
HK.00113,73.0,81,0,0,0.0,0.0872
HK.00114,81.0,80,0,0,0.15,0.0526
HK.00115,81.0,16,1,15,0.8,0.2319
HK.00116,44.0,41,1,1,0.6,0.2233
HK.00117,99.0,99,1,2,0.35,
HK.00118,56.0,22,1,10,0.75,
HK.00119,39.0,14,1,24,1.0,0.3178
HK.00120,7.0,13,1,10,0.65,
HK.00122,40.0,67,0,0,0.05,0.5241
HK.00123,38.0,29,1,14,0.7,0.5563
HK.00124,40.0,36,1,16,0.85,0.645
HK.00125,35.0,64,0,0,0.1,0.661
HK.00126,27.0,22,1,1,0.25,0.66
HK.00127,42.0,51,0,0,0.6,0.3788
HK.00128,93.0,98,0,0,0.0,
HK.00129,24.0,46,0,0,0.4,0.6708
HK.00130,86.0,75,0,0,0.15,
HK.00131,68.0,75,0,0,0.05,0.4439
HK.00132,36.0,59,0,0,0.3,0.6218
HK.00135,49.0,50,1,1,0.55,0.3972
HK.00136,19.0,65,1,1,0.25,0.56
HK.00137,45.0,55,1,1,0.5,0.511
HK.00138,6.0,9,1,11,0.6,0.795
HK.00139,45.0,95,0,0,0.25,0.8476
HK.00142,46.0,60,0,0,0.15,0.1495
HK.00144,49.0,41,1,24,1.0,0.1355
HK.00145,29.0,32,1,2,0.4,
HK.00146,59.0,68,0,0,0.0,0.1403
HK.00147,12.0,17,1,16,0.8,
HK.00148,97.0,97,1,3,0.15,0.3935
HK.00149,62.0,62,1,2,0.2,0.1806
HK.00150,57.0,79,0,0,0.35,0.4611
HK.00151,18.0,18,1,5,0.4,0.4491
HK.00152,28.0,39,0,0,0.6,0.3002
HK.00154,21.0,15,1,65,1.0,0.4028
HK.00156,80.0,66,0,0,0.1,0.1141
HK.00157,47.0,68,0,0,0.05,0.3411
HK.00158,55.0,64,0,0,0.2,0.341
HK.00159,28.0,43,1,1,0.4,
HK.00160,23.0,15,1,15,0.75,0.5528
HK.00162,30.0,24,1,15,0.8,
HK.00163,23.0,27,1,8,0.9,0.6986
HK.00164,83.0,76,1,5,0.25,0.6385
HK.00165,25.0,42,1,10,0.75,0.5198
HK.00166,20.0,24,1,12,0.8,0.6756
HK.00167,95.0,86,0,0,0.2,
HK.00168,52.0,56,0,0,0.35,0.306
HK.00169,45.0,83,1,8,0.4,
HK.00171,3.0,3,1,64,1.0,
HK.00173,49.0,37,1,6,0.8,0.2204
HK.00174,55.0,87,0,0,0.0,0.4412
HK.00175,72.0,65,0,0,0.5,0.1361
HK.00176,63.0,73,0,0,0.0,0.6981
HK.00177,61.0,54,1,5,0.25,0.0864
HK.00178,89.0,87,0,0,0.05,0.0388
HK.00179,35.0,45,1,1,0.65,0.4499
HK.00180,50.0,50,1,3,0.35,0.5698
HK.00181,56.0,30,1,7,0.35,0.182
HK.00182,81.0,76,1,5,0.25,0.5185
HK.00183,45.0,78,0,0,0.1,0.5708
HK.00184,71.0,78,0,0,0.05,0.1836
HK.00185,18.0,13,1,4,0.8,0.8647
HK.00186,41.0,70,0,0,0.05,
HK.00187,18.0,27,1,9,0.9,0.4337
HK.00188,61.0,69,1,1,0.2,0.2281
HK.00189,91.0,90,1,3,0.15,0.2782
HK.00191,80.0,49,1,8,0.6,0.276
HK.00193,53.0,51,1,3,0.2,0.6604
HK.00194,62.0,61,1,1,0.05,0.2395
HK.00195,63.0,73,0,0,0.0,0.2951
HK.00196,29.0,26,0,0,0.95,0.3616
HK.00197,82.0,89,0,0,0.1,0.5006
HK.00199,98.0,97,0,0,0.0,
HK.00200,31.0,29,1,2,0.7,0.5231
HK.00201,52.0,61,0,0,0.2,0.4003
HK.00202,8.0,12,1,6,0.95,
HK.00205,88.0,29,1,4,0.65,
HK.00206,65.0,11,1,2,0.9,0.4362
HK.00209,96.0,94,0,0,0.05,
HK.00210,37.0,44,1,4,0.3,0.3004
HK.00211,56.0,63,0,0,0.15,0.1159
HK.00212,67.0,70,0,0,0.0,0.1329
HK.00213,55.0,47,1,2,0.6,0.5607
HK.00214,10.0,8,1,17,0.85,0.6812
HK.00215,70.0,65,0,0,0.05,0.0769
HK.00216,30.0,21,1,4,0.8,0.4627
HK.00217,61.0,43,1,1,0.3,0.4615
HK.00218,18.0,46,0,0,0.45,
HK.00219,78.0,69,0,0,0.25,0.3555
HK.00220,59.0,79,0,0,0.2,0.2004
HK.00222,84.0,95,0,0,0.25,0.0679
HK.00223,24.0,13,1,2,0.95,0.775
HK.00224,40.0,54,1,2,0.1,0.5002
HK.00225,60.0,68,0,0,0.0,0.1582
HK.00227,18.0,35,1,1,0.95,
HK.00228,23.0,26,1,8,0.8,0.7478
HK.00229,56.0,62,1,1,0.25,0.266
HK.00232,97.0,98,0,0,0.0,
HK.00234,37.0,35,1,2,0.35,0.5359
HK.00235,23.0,32,1,1,0.35,0.5313
HK.00236,74.0,70,0,0,0.05,0.0957
HK.00237,66.0,49,1,3,0.25,0.2292
HK.00239,70.0,76,0,0,0.05,0.2091
HK.00240,73.0,31,1,11,0.85,0.1178
HK.00241,13.0,23,1,1,0.95,0.5185
HK.00242,30.0,35,1,8,0.45,0.5122
HK.00243,85.0,9,1,18,0.9,
HK.00244,48.0,84,1,2,0.25,0.2411
HK.00245,45.0,61,1,2,0.3,0.4248
HK.00247,64.0,73,0,0,0.0,0.1966
HK.00248,46.0,48,1,2,0.85,0.2885
HK.00251,58.0,62,1,1,0.05,0.393
HK.00252,64.0,73,0,0,0.0,0.5802
HK.00253,66.0,56,1,2,0.2,0.3929
HK.00254,1.0,0,1,8,0.4,
HK.00255,65.0,70,0,0,0.0,0.1164
HK.00256,6.0,38,0,0,0.8,0.9463
HK.00257,67.0,44,1,5,0.8,0.1042
HK.00258,42.0,60,0,0,0.05,0.377
HK.00259,84.0,64,1,4,0.3,0.3086
HK.00261,9.0,11,1,3,0.7,0.9334
HK.00262,59.0,58,1,5,0.3,0.2645
HK.00264,57.0,87,1,3,0.15,
HK.00265,82.0,65,0,0,0.0,
HK.00266,52.0,68,0,0,0.0,0.3389
