code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,82.0,51,1,7,0.7
HK.00002,79.0,69,0,0,0.5
HK.00003,74.0,80,0,0,0.7
HK.00004,45.0,73,0,0,0.45
HK.00005,88.0,73,1,4,0.45
HK.00006,77.0,68,0,0,0.6
HK.00007,67.0,55,1,5,0.95
HK.00008,59.0,35,1,21,1.0
HK.00010,41.0,31,1,26,1.0
HK.00012,65.0,81,0,0,0.65
HK.00013,46.0,82,0,0,0.35
HK.00014,56.0,39,1,16,0.85
HK.00016,77.0,69,0,0,0.8
HK.00017,43.0,61,0,0,0.65
HK.00018,21.0,19,1,3,0.75
HK.00019,89.0,89,0,0,0.0
HK.00020,26.0,70,0,0,0.45
HK.00021,46.0,90,1,1,0.4
HK.00022,2.0,7,1,88,1.0
HK.00023,87.0,92,0,0,0.0
HK.00025,83.0,73,1,5,0.95
HK.00026,71.0,63,1,5,0.95
HK.00027,64.0,87,0,0,0.25
HK.00028,37.0,42,1,3,0.9
HK.00029,31.0,22,1,36,1.0
HK.00030,63.0,51,1,6,0.85
HK.00031,42.0,20,1,4,0.9
HK.00032,58.0,46,1,19,0.95
HK.00033,54.0,55,1,5,0.95
HK.00034,80.0,49,1,6,0.95
HK.00035,41.0,40,1,6,0.95
HK.00036,75.0,55,1,5,0.95
HK.00037,63.0,41,1,5,0.8
HK.00038,75.0,77,0,0,0.45
HK.00039,20.0,55,1,5,0.95
HK.00040,68.0,45,1,6,0.95
HK.00041,69.0,62,0,0,0.7
HK.00042,17.0,8,1,37,1.0
HK.00045,44.0,34,1,11,0.6
HK.00046,63.0,76,0,0,0.75
HK.00048,93.0,43,1,5,0.9
HK.00050,71.0,70,0,0,0.9
HK.00051,61.0,53,1,4,0.75
HK.00052,74.0,79,0,0,0.45
HK.00053,65.0,66,0,0,0.45
HK.00055,51.0,72,1,2,0.75
HK.00057,55.0,43,1,2,0.8
HK.00058,88.0,73,0,0,0.5
HK.00059,67.0,55,1,5,0.95
HK.00060,82.0,87,0,0,0.4
HK.00061,9.0,6,1,20,1.0
HK.00062,55.0,35,1,5,0.9
HK.00063,14.0,7,0,0,0.95
HK.00064,83.0,73,0,0,0.1
HK.00065,38.0,94,0,0,0.15
HK.00066,77.0,74,0,0,0.6
HK.00068,,8,1,5,0.65
HK.00069,52.0,58,1,4,0.65
HK.00070,30.0,39,1,3,0.7
HK.00071,64.0,53,0,0,0.85
HK.00072,54.0,49,1,1,0.3
HK.00073,55.0,13,1,11,0.9
HK.00075,21.0,3,1,3,0.45
HK.00076,26.0,36,1,3,0.8
HK.00077,85.0,86,0,0,0.35
HK.00078,24.0,43,1,5,0.7
HK.00079,87.0,92,1,1,0.05
