code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,84.0,77,0,0,0.0,0.0246
HK.00002,74.0,66,0,0,0.2,0.1458
HK.00003,58.0,54,0,0,0.25,0.1906
HK.00004,31.0,22,1,28,1.0,0.4324
HK.00005,87.0,84,0,0,0.05,0.0078
HK.00006,73.0,55,0,0,0.55,0.1395
HK.00007,64.0,73,0,0,0.05,0.2724
HK.00008,65.0,56,0,0,0.1,0.0274
HK.00010,50.0,30,1,25,1.0,0.1475
HK.00012,45.0,27,1,25,1.0,0.1746
HK.00013,24.0,31,0,0,0.85,0.6087
HK.00014,66.0,38,0,0,0.7,0.1357
HK.00016,76.0,30,1,1,0.85,0.1242
HK.00017,46.0,17,1,30,1.0,0.4269
HK.00018,32.0,57,0,0,0.35,0.4255
HK.00019,80.0,68,0,0,0.05,0.0564
HK.00020,22.0,15,1,35,1.0,0.4558
HK.00021,29.0,43,1,4,0.3,0.6643
HK.00022,0.0,4,1,50,1.0,
HK.00023,65.0,50,0,0,0.25,0.0573
HK.00025,76.0,85,0,0,0.0,0.2537
HK.00026,71.0,78,0,0,0.05,0.0345
HK.00027,38.0,49,0,0,0.25,0.3272
HK.00028,37.0,43,1,1,0.55,0.2945
HK.00029,40.0,46,0,0,0.55,0.2966
HK.00030,52.0,85,0,0,0.25,0.0918
HK.00031,86.0,95,0,0,0.0,
HK.00032,52.0,54,0,0,0.15,0.1829
HK.00033,46.0,73,0,0,0.05,
HK.00034,85.0,75,0,0,0.15,0.1977
HK.00035,37.0,39,0,0,0.5,0.5312
HK.00036,71.0,73,0,0,0.05,
HK.00037,68.0,59,0,0,0.35,0.3305
HK.00038,39.0,23,1,15,0.85,0.3008
HK.00039,13.0,64,0,0,0.1,0.6552
HK.00040,72.0,77,0,0,0.0,0.0033
HK.00041,68.0,37,1,2,0.9,0.0792
HK.00042,43.0,10,1,32,1.0,0.4658
HK.00045,44.0,38,0,0,0.65,0.2945
HK.00046,45.0,77,0,0,0.1,0.493
HK.00048,92.0,91,0,0,0.2,
HK.00050,66.0,61,0,0,0.25,0.0763
HK.00051,63.0,62,0,0,0.2,0.4146
HK.00052,57.0,88,0,0,0.25,0.5082
HK.00053,60.0,64,0,0,0.1,0.3175
HK.00055,39.0,41,1,2,0.4,0.5254
HK.00057,55.0,53,1,1,0.15,0.1272
HK.00058,76.0,39,0,0,0.65,
HK.00059,64.0,73,0,0,0.05,
HK.00060,68.0,85,0,0,0.1,0.3191
HK.00061,13.0,14,1,11,0.7,0.5962
HK.00062,62.0,68,0,0,0.15,0.1344
HK.00063,26.0,39,1,1,0.35,0.6737
HK.00064,80.0,82,0,0,0.15,0.0913
HK.00065,7.0,15,1,57,1.0,0.8966
HK.00066,73.0,60,0,0,0.15,0.0867
HK.00069,49.0,53,0,0,0.4,0.4181
HK.00070,58.0,80,0,0,0.65,0.3748
HK.00071,66.0,61,0,0,0.15,0.1216
HK.00072,51.0,57,1,2,0.15,0.2951
HK.00073,82.0,86,0,0,0.1,0.4907
HK.00075,72.0,65,0,0,0.1,
HK.00076,15.0,37,0,0,0.7,0.7773
HK.00077,70.0,81,0,0,0.05,0.4007
HK.00078,20.0,15,1,21,1.0,0.8986
HK.00079,40.0,75,0,0,0.0,0.5262
HK.00081,71.0,26,1,19,0.95,0.1957
HK.00082,57.0,54,0,0,0.45,0.5249
HK.00083,70.0,34,1,26,1.0,0.1051
HK.00084,58.0,83,0,0,0.3,0.4611
HK.00085,34.0,50,0,0,0.4,0.3992
HK.00086,76.0,67,0,0,0.05,0.0091
HK.00087,74.0,60,0,0,0.05,0.0321
HK.00088,59.0,39,1,3,0.8,0.1031
HK.00089,58.0,47,0,0,0.55,0.2891
HK.00090,80.0,88,0,0,0.15,
HK.00092,56.0,62,0,0,0.3,0.4778
HK.00093,57.0,82,0,0,0.55,0.4545
HK.00094,48.0,25,0,0,0.55,
HK.00095,11.0,9,1,1,0.9,0.8587
HK.00096,42.0,38,1,2,0.7,0.5632
HK.00097,38.0,55,0,0,0.5,
HK.00098,51.0,53,0,0,0.1,0.2994
HK.00099,45.0,31,1,1,0.4,0.4137
HK.00101,43.0,28,1,34,1.0,0.1845
HK.00103,26.0,34,0,0,0.55,0.4538
HK.00104,77.0,86,0,0,0.0,0.05
HK.00105,66.0,68,0,0,0.05,0.1638
HK.00106,70.0,73,0,0,0.05,
HK.00107,44.0,21,1,18,0.9,0.1543
HK.00108,86.0,43,0,0,0.5,
HK.00110,94.0,81,0,0,0.95,0.2002
HK.00111,88.0,58,0,0,0.6,
HK.00113,75.0,82,0,0,0.1,0.0805
HK.00114,79.0,76,0,0,0.15,0.0666
HK.00115,81.0,21,1,12,0.75,0.195
HK.00116,46.0,33,1,2,0.7,0.2355
HK.00117,99.0,99,0,0,0.25,
HK.00118,61.0,58,1,6,0.75,
HK.00119,53.0,25,1,20,1.0,0.2518
HK.00120,9.0,18,1,6,0.65,
HK.00122,41.0,65,0,0,0.15,0.5352
HK.00123,32.0,26,1,10,0.5,0.5664
HK.00124,39.0,42,1,12,0.7,0.6336
HK.00125,33.0,51,0,0,0.2,0.6501
HK.00126,38.0,49,1,2,0.15,0.6226
HK.00127,36.0,40,1,2,0.75,0.3911
HK.00128,64.0,73,0,0,0.05,0.2724
HK.00129,21.0,44,1,5,0.4,0.6784
HK.00130,85.0,78,0,0,0.2,
HK.00131,68.0,80,0,0,0.05,0.4289
HK.00132,40.0,59,0,0,0.35,0.6113
HK.00135,44.0,43,1,1,0.6,0.396
HK.00136,25.0,82,0,0,0.3,0.5259
HK.00137,46.0,53,0,0,0.6,0.4952
HK.00138,9.0,26,1,8,0.6,0.7558
HK.00139,25.0,91,0,0,0.4,0.8639
HK.00142,39.0,46,0,0,0.3,0.1731
HK.00144,36.0,24,1,20,1.0,0.1682
HK.00145,29.0,50,0,0,0.4,
HK.00146,59.0,78,0,0,0.05,0.1127
HK.00147,13.0,26,1,12,0.6,
HK.00148,97.0,98,0,0,0.0,0.132
HK.00149,68.0,51,0,0,0.3,0.1719
HK.00150,62.0,70,0,0,0.5,0.4599
HK.00151,18.0,20,1,1,0.25,0.4408
HK.00152,18.0,22,1,2,0.7,0.3245
HK.00154,24.0,21,1,62,1.0,0.3524
HK.00156,80.0,67,0,0,0.15,0.0856
HK.00157,47.0,67,0,0,0.15,0.3306
HK.00158,54.0,60,0,0,0.35,0.3246
HK.00159,20.0,30,1,4,0.3,
HK.00160,31.0,26,1,11,0.6,0.5256
HK.00162,53.0,37,1,11,0.7,
HK.00163,24.0,23,1,4,0.9,0.6905
HK.00164,82.0,63,1,1,0.15,0.6535
HK.00165,18.0,25,1,6,0.75,0.5251
HK.00166,14.0,19,1,8,0.8,0.6828
HK.00167,96.0,91,0,0,0.2,
HK.00168,49.0,46,0,0,0.55,0.3076
HK.00169,45.0,77,1,4,0.2,
HK.00171,3.0,3,1,61,1.0,
HK.00173,51.0,31,1,2,0.8,0.2035
