code,rs_percentile_12m,rs_percentile_3m
HK.00001,83.0,86
HK.00002,71.0,72
HK.00003,55.0,57
HK.00004,60.0,64
HK.00005,83.0,79
HK.00006,76.0,72
HK.00007,53.0,62
HK.00008,68.0,71
HK.00010,71.0,67
HK.00012,71.0,73
HK.00013,25.0,18
HK.00014,74.0,56
HK.00016,84.0,71
HK.00017,74.0,41
HK.00018,22.0,46
HK.00019,77.0,68
HK.00020,33.0,16
HK.00021,16.0,78
HK.00022,1.0,1
HK.00023,70.0,71
HK.00025,58.0,58
HK.00026,59.0,67
HK.00027,27.0,31
HK.00028,39.0,41
HK.00029,37.0,60
HK.00030,41.0,20
HK.00031,64.0,77
HK.00032,57.0,57
HK.00033,21.0,62
HK.00034,83.0,76
HK.00035,34.0,33
HK.00036,49.0,62
HK.00037,67.0,64
HK.00038,54.0,34
HK.00039,3.0,11
HK.00040,51.0,36
HK.00041,77.0,75
HK.00042,83.0,52
HK.00045,49.0,46
HK.00046,26.0,32
HK.00048,93.0,94
HK.00050,67.0,70
HK.00051,65.0,75
HK.00052,24.0,40
HK.00053,50.0,57
HK.00055,21.0,13
HK.00057,61.0,60
HK.00058,91.0,87
HK.00059,53.0,62
HK.00060,40.0,23
HK.00061,23.0,22
HK.00062,61.0,45
HK.00063,28.0,59
HK.00064,81.0,88
HK.00065,7.0,9
HK.00066,65.0,48
HK.00069,40.0,40
HK.00070,30.0,73
HK.00071,64.0,61
HK.00072,41.0,55
HK.00073,58.0,82
HK.00075,64.0,77
HK.00076,11.0,19
HK.00077,58.0,65
HK.00078,50.0,66
HK.00079,13.0,34
HK.00081,79.0,77
HK.00082,52.0,76
HK.00083,78.0,70
HK.00084,49.0,72
HK.00085,21.0,46
HK.00086,72.0,68
HK.00087,72.0,67
HK.00088,75.0,54
HK.00089,71.0,74
HK.00090,23.0,23
HK.00092,46.0,65
HK.00093,42.0,80
HK.00094,79.0,19
HK.00095,18.0,18
HK.00096,45.0,55
HK.00097,48.0,25
HK.00098,49.0,65
HK.00099,59.0,68
HK.00101,61.0,44
HK.00103,22.0,21
HK.00104,65.0,83
HK.00105,59.0,60
HK.00106,58.0,62
HK.00107,75.0,70
HK.00108,91.0,25
HK.00110,94.0,94
HK.00111,88.0,66
HK.00113,63.0,55
HK.00114,74.0,80
HK.00115,92.0,72
HK.00116,72.0,29
HK.00117,99.0,99
HK.00118,74.0,92
HK.00119,74.0,84
