code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00001,84.0,85,0,0,0.0
HK.00002,72.0,73,0,0,0.25
HK.00003,53.0,56,0,0,0.4
HK.00004,52.0,47,1,6,0.3
HK.00005,85.0,82,0,0,0.2
HK.00006,76.0,61,0,0,0.35
HK.00007,56.0,67,0,0,0.5
HK.00008,68.0,63,0,0,0.2
HK.00010,65.0,48,1,3,0.45
HK.00012,69.0,63,1,3,0.15
HK.00013,21.0,15,1,26,1.0
HK.00014,75.0,55,0,0,0.45
HK.00016,82.0,54,1,3,0.35
HK.00017,74.0,42,1,8,0.55
HK.00018,29.0,60,0,0,0.65
HK.00019,78.0,62,1,4,0.35
HK.00020,28.0,12,1,13,0.9
HK.00021,41.0,92,0,0,0.5
HK.00022,1.0,1,1,28,1.0
HK.00023,68.0,64,0,0,0.3
HK.00025,66.0,72,0,0,0.45
HK.00026,60.0,73,0,0,0.3
HK.00027,29.0,32,1,5,0.9
HK.00028,34.0,31,1,10,0.8
HK.00029,41.0,60,0,0,0.4
HK.00030,22.0,7,1,38,1.0
HK.00031,59.0,84,0,0,0.1
HK.00032,58.0,59,0,0,0.55
HK.00033,26.0,67,0,0,0.5
HK.00034,83.0,78,0,0,0.1
HK.00035,34.0,40,1,4,0.95
HK.00036,60.0,67,0,0,0.45
HK.00037,60.0,48,1,1,0.5
HK.00038,63.0,39,1,1,0.5
HK.00039,4.0,24,0,0,0.9
HK.00040,68.0,55,0,0,0.55
HK.00041,73.0,58,1,3,0.15
HK.00042,80.0,27,1,10,0.85
HK.00045,46.0,47,0,0,0.5
HK.00046,30.0,39,0,0,0.7
HK.00048,91.0,93,0,0,0.05
HK.00050,67.0,70,0,0,0.05
HK.00051,59.0,64,0,0,0.2
HK.00052,28.0,50,0,0,0.8
HK.00053,51.0,62,0,0,0.15
HK.00055,32.0,32,1,19,0.95
HK.00057,63.0,71,0,0,0.25
HK.00058,86.0,35,1,3,0.25
HK.00059,56.0,67,0,0,0.5
