code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,86.0,83,0,0,0.3,0.0256
HK.00002,79.0,83,0,0,0.05,0.1553
HK.00003,62.0,59,1,9,0.55,0.2169
HK.00004,38.0,26,1,37,1.0,0.4473
HK.00005,87.0,88,0,0,0.0,0.0391
HK.00006,73.0,65,1,2,0.35,0.1805
HK.00007,65.0,72,1,4,0.2,0.3125
HK.00008,73.0,66,0,0,0.35,0.0274
HK.00010,48.0,34,1,34,1.0,0.1578
HK.00012,48.0,35,1,34,1.0,0.1959
HK.00013,26.0,51,0,0,0.45,0.6094
HK.00014,68.0,54,1,5,0.5,0.1467
HK.00016,77.0,48,1,2,0.75,0.1393
HK.00017,41.0,15,1,39,1.0,0.4485
HK.00018,32.0,41,1,6,0.4,0.4801
HK.00019,83.0,79,0,0,0.1,0.0502
HK.00020,15.0,15,1,44,1.0,0.4961
HK.00021,32.0,31,1,7,0.65,0.6752
HK.00022,0.0,1,1,58,1.0,
HK.00023,71.0,66,0,0,0.45,0.0572
HK.00025,84.0,92,0,0,0.0,0.2187
HK.00026,71.0,75,1,3,0.2,0.0892
HK.00027,40.0,65,1,1,0.25,0.3132
HK.00028,32.0,26,1,1,0.75,0.3517
HK.00029,35.0,45,1,7,0.65,0.3523
HK.00030,70.0,91,0,0,0.0,0.1121
HK.00031,58.0,26,1,8,0.4,
HK.00032,53.0,48,1,8,0.45,0.238
HK.00033,48.0,72,1,4,0.2,
HK.00034,87.0,84,0,0,0.15,0.175
HK.00035,45.0,49,1,3,0.55,0.5461
HK.00036,74.0,72,1,4,0.2,
HK.00037,70.0,67,1,2,0.15,0.3516
HK.00038,54.0,39,1,5,0.8,0.2887
HK.00039,21.0,72,1,4,0.2,0.6742
HK.00040,70.0,76,1,6,0.3,0.0763
HK.00041,67.0,39,1,8,0.85,0.1103
HK.00042,34.0,6,1,8,0.95,0.5426
HK.00045,51.0,55,1,3,0.65,0.3153
HK.00046,38.0,67,1,1,0.1,0.5318
HK.00048,93.0,87,0,0,0.3,
HK.00050,68.0,63,1,5,0.3,0.1153
HK.00051,73.0,65,1,4,0.3,0.3961
HK.00052,60.0,91,0,0,0.0,0.531
HK.00053,63.0,68,1,5,0.3,0.3378
HK.00055,37.0,47,1,10,0.8,0.5449
HK.00057,53.0,46,1,8,0.55,0.1795
HK.00058,83.0,33,1,4,0.65,
HK.00059,65.0,72,1,4,0.2,
HK.00060,66.0,69,1,4,0.2,0.3826
HK.00061,22.0,11,1,1,0.8,0.5628
HK.00062,59.0,60,1,2,0.15,0.2008
HK.00063,17.0,8,1,9,0.75,0.7283
HK.00064,79.0,85,1,2,0.2,0.1413
HK.00065,8.0,13,1,66,1.0,0.8865
HK.00066,75.0,66,1,6,0.3,0.1195
HK.00069,44.0,44,1,6,0.4,0.4639
HK.00070,51.0,52,1,4,0.55,0.421
HK.00071,67.0,58,1,3,0.25,0.1668
HK.00072,51.0,33,1,2,0.35,0.3567
HK.00073,76.0,64,1,4,0.35,0.5394
HK.00075,76.0,60,1,7,0.4,
HK.00076,18.0,35,1,8,0.65,0.7907
HK.00077,82.0,90,0,0,0.0,0.37
HK.00078,17.0,10,1,30,1.0,0.9083
HK.00079,61.0,88,0,0,0.25,0.4963
HK.00081,67.0,21,1,28,1.0,0.232
HK.00082,48.0,37,1,2,0.7,0.5645
HK.00083,71.0,35,1,35,1.0,0.1448
HK.00084,63.0,85,1,4,0.25,0.4953
HK.00085,31.0,35,1,9,0.8,0.4485
HK.00086,73.0,63,1,5,0.3,0.0593
HK.00087,76.0,64,1,1,0.25,0.0492
HK.00088,59.0,35,1,12,0.8,0.1568
HK.00089,73.0,78,0,0,0.5,0.2494
HK.00090,75.0,89,1,1,0.05,
HK.00092,58.0,54,1,5,0.35,0.5356
HK.00093,55.0,70,0,0,0.3,0.4845
HK.00094,46.0,35,1,8,0.7,
HK.00095,46.0,89,0,0,0.6,0.8156
HK.00096,54.0,47,0,0,0.65,0.5569
HK.00097,43.0,52,0,0,0.35,
HK.00098,50.0,48,1,8,0.5,0.3379
HK.00099,80.0,90,0,0,0.5,0.3063
HK.00100,,0,1,15,0.95,0.8014
HK.00101,43.0,34,1,43,1.0,0.1933
HK.00103,14.0,22,1,9,0.65,0.5332
HK.00104,76.0,83,1,1,0.2,0.1142
HK.00105,73.0,80,0,0,0.0,0.1901
HK.00106,75.0,72,1,4,0.2,
HK.00107,57.0,43,1,27,1.0,0.1403
HK.00108,78.0,17,1,8,0.5,
HK.00110,96.0,96,0,0,0.5,0.0
HK.00111,81.0,33,1,7,0.6,
HK.00113,76.0,77,1,2,0.1,0.1203
HK.00114,84.0,85,0,0,0.3,0.0529
HK.00115,86.0,9,1,20,1.0,0.3085
HK.00116,49.0,50,0,0,0.6,0.2258
HK.00117,99.0,99,1,7,0.6,
HK.00118,58.0,18,1,14,0.75,
HK.00119,40.0,12,1,29,1.0,0.3191
HK.00120,10.0,18,0,0,0.75,
HK.00122,41.0,62,1,1,0.05,0.548
HK.00123,40.0,22,1,19,0.95,0.5717
HK.00124,44.0,33,1,21,1.0,0.6486
HK.00125,36.0,61,1,4,0.25,0.6693
HK.00126,38.0,43,1,5,0.45,0.64
HK.00127,38.0,40,1,5,0.6,0.4214
HK.00128,93.0,98,0,0,0.2,
HK.00129,31.0,61,1,1,0.4,0.6735
HK.00130,87.0,65,1,5,0.35,
HK.00131,68.0,68,1,2,0.25,0.4587
HK.00132,29.0,43,1,5,0.45,0.661
HK.00135,54.0,54,1,6,0.75,0.3588
HK.00136,18.0,79,1,2,0.15,0.5753
HK.00137,47.0,52,1,4,0.45,0.5311
HK.00138,7.0,9,1,1,0.7,0.7858
HK.00139,5.0,7,1,4,0.45,
HK.00142,47.0,61,1,3,0.25,0.1774
HK.00144,51.0,46,1,29,1.0,0.1471
HK.00145,32.0,26,1,7,0.5,
HK.00146,54.0,48,1,5,0.25,0.2033
HK.00147,13.0,24,1,21,1.0,
HK.00148,95.0,83,1,8,0.4,0.5526
HK.00149,70.0,76,1,3,0.3,0.1839
HK.00150,43.0,57,1,2,0.3,0.4878
HK.00151,18.0,14,1,10,0.65,0.4837
HK.00152,30.0,35,1,5,0.7,0.3197
HK.00154,20.0,17,1,71,1.0,0.4132
HK.00156,81.0,69,1,4,0.3,0.1272
HK.00157,50.0,75,1,2,0.2,0.3606
HK.00158,60.0,64,1,4,0.35,0.3573
HK.00159,39.0,52,0,0,0.4,
HK.00160,21.0,11,1,20,1.0,0.5801
HK.00162,33.0,14,1,20,1.0,
HK.00163,24.0,25,1,13,0.9,0.7207
HK.00164,84.0,54,1,9,0.45,0.5766
HK.00165,21.0,58,1,15,0.75,0.5168
HK.00166,22.0,25,1,17,0.85,0.6764
HK.00167,94.0,59,1,4,0.3,
HK.00168,47.0,41,1,5,0.6,0.3391
HK.00169,34.0,21,1,13,0.65,
HK.00171,3.0,4,1,70,1.0,
HK.00173,49.0,33,1,11,0.85,0.2435
HK.00174,71.0,86,0,0,0.1,0.4175
HK.00175,53.0,34,1,2,0.55,0.2055
HK.00176,65.0,72,1,4,0.2,0.7055
HK.00177,71.0,55,1,10,0.5,0.0919
HK.00178,89.0,87,1,1,0.05,0.0822
HK.00179,20.0,15,1,6,0.65,0.5329
HK.00180,45.0,42,1,8,0.6,0.5804
HK.00181,62.0,27,1,12,0.6,0.2022
HK.00182,77.0,58,1,10,0.5,0.5607
HK.00183,47.0,81,0,0,0.1,0.5703
HK.00184,73.0,75,1,2,0.2,0.2181
